mode,development,scenarios,mean_bcr_integrated,std_bcr_integrated,min_bcr_integrated,max_bcr_integrated,mean_nb_integrated,std_nb_integrated,viable_scenarios_integrated
Rail,100001,3,7.013894940615512,0.589721507771045,6.446685046534579,7.623806735224762,9331933.491880884,915087.7997692213,3
Rail,100000,3,2.875950769982261,0.24130573243601383,2.643376227586942,3.1251299829171346,2241431.8738044524,288317.99249130866,3
Rail,101016,3,1.927424770597834,0.1644925698844379,1.769779872593326,2.0980016208408343,2962853.0654623886,525506.0360461664,3
Rail,100002,3,1.43176425110852,0.1227848914421583,1.3149068396031132,1.559722724577322,1218182.2388153973,346426.026623774,3
Rail,101012,3,1.328845998039492,0.1149075064065691,1.2192914395933137,1.4484467612118637,2069276.424441571,723060.0202406208,3
Rail,100005,3,1.3256060023431242,0.11349010940931603,1.2175198669649923,1.4438210688946507,1015293.3106386653,353880.91152417974,3
Rail,101007,3,1.2164123209376454,0.10413201611570003,1.1172327156285151,1.3248751326741681,1500304.5872841605,721907.7951968688,3
Rail,101010,3,0.990996250673103,0.084940684065985,0.9101362053358033,1.0795007947708306,-46175.701793841705,435618.04701503983,1
Rail,101011,3,0.9095347955015174,0.10627249640544413,0.803424724774073,1.0159689762303323,-722029.7098753533,848192.4091448815,1
Rail,101001,3,0.7535286047801786,0.06571672704650194,0.6909455019787483,0.8219847178830536,-3282620.6037565544,875245.9165571536,0
Rail,101008,3,0.7235637673147738,0.06270931320951453,0.6637181630147936,0.7887900494304363,-1766100.5182370634,400638.32979421434,0
Rail,101013,3,0.7013941576821358,0.060513376272260125,0.6439791354614701,0.764590871819191,-1536708.0210796252,311418.52409305086,0
Rail,101027,3,0.668387763782705,0.07768641156478194,0.5908530157445775,0.7462249557794706,-3695584.4447154314,865760.2548672049,0
Rail,101014,3,0.6033813725350595,0.05169504255443673,0.5540222497963683,0.6571321426263543,-2444826.01544713,318657.209104243,0
Rail,101015,3,0.5353566049017061,0.056355516995005295,0.47960086357110593,0.5922933344104077,-2119834.2649931074,257109.76892750454,0
Rail,101031,3,0.5348020928391891,0.04577398481478731,0.49119796671254856,0.5824743670414506,-5532517.472806033,544382.0079358752,0
Rail,100004,3,0.5162751960823059,0.04318645450268408,0.4746312857898925,0.5608544323056996,-1301045.7206122929,116156.02789865392,0
Rail,100003,3,0.49008563769656427,0.04159941471951028,0.45028268662398396,0.5332745587656118,-1308469.2616057103,106746.46467180045,0
Rail,101023,3,0.4425106475889868,0.03839546853126093,0.4058871930473164,0.4824615508332897,-11262907.769147128,775700.2334673464,0
Rail,101006,3,0.42936555348394895,0.04679450085422988,0.3829213706877855,0.47650267621159276,-3892334.5540312254,319188.3240235468,0
Rail,101000,3,0.41551465820550443,0.03585739506866687,0.3813220840591058,0.4528323123453174,-6286022.658112734,385639.0943364152,0
Rail,101026,3,0.4027376989077343,0.034530472179017634,0.36986134288402794,0.4387133388800825,-7653041.228892452,442457.40398458875,0
Rail,101002,3,0.33761112644433,0.028743716632725163,0.31005284032070873,0.3674092237575538,-8514697.261429278,369486.9510446194,0
Rail,101003,3,0.3364970432548952,0.028813892511657,0.30905334788674516,0.3665091668751985,-8201352.9759410275,356159.53281984536,0
Rail,101029,3,0.24490238138543727,0.021350210733405414,0.224465156864012,0.267061319804026,-13007070.355981587,367771.90958960017,0
Rail,101030,3,0.22216806772861844,0.019388937039080675,0.2037019816058063,0.24236394012300685,-14629211.418712968,364660.85713470436,0
Rail,101024,3,0.2207160363033772,0.01927999818647418,0.20231466176458715,0.24076846957896056,-15840962.366942199,391915.8354778487,0
Rail,101028,3,0.2029518613012898,0.017374375140813064,0.18640214908400324,0.22104757178607826,-12183718.171464564,265585.5773862912,0
Rail,101017,3,0.1591614625571133,0.014011457619808288,0.14577279142920163,0.1737220906851143,-11316984.778233154,188582.5227355254,0
Rail,101020,3,0.132640564231543,0.011474774231723757,0.12171851242300655,0.14459789923311916,-14187240.176911807,187690.7903320042,0
Rail,101025,3,0.10649167991774527,0.009056941510486995,0.09783287720170797,0.11590016004734655,-11899772.792321071,120620.6408444133,0
Rail,101021,3,0.10108012346921229,0.008577306710700162,0.09287129741868737,0.10998365845204049,-16860993.502383787,160884.0971179868,0
Rail,101004,3,0.08654313618500703,0.010150890634813298,0.07640462892477534,0.09670636503891543,-10913351.562292898,121275.8287298194,0
Rail,101022,3,0.08150541326472571,0.006817871481247603,0.07493082569298416,0.08854296973885388,-17581400.229565438,130504.55490610618,0
Rail,101032,3,0.05445889719740174,0.005871651928396948,0.048636963651461855,0.06037903556870942,-9013558.314223625,55972.68791442364,0
Rail,101009,3,0.018355632246625186,0.0015379822299371362,0.01687370630713713,0.01994412750012408,-7469463.137331851,11702.712254824382,0
Rail,101018,3,0.016358794155609615,0.0013894196207158316,0.015029559150400969,0.017801446109974337,-12299048.688978372,17372.736586341543,0
Rail,101005,3,0.013427038182792853,0.0011231109806437752,0.012344025832988818,0.014586356191890025,-7820809.854458012,8903.180773259726,0
Rail,101019,3,0.007574281270218079,0.0007491365595131528,0.006837672182103138,0.00833534639437373,-16552456.678313391,12494.688734339377,0
Road,334,3,70.03869734043461,49.63609266693284,29.791227185455018,125.50146968315511,81549264.54320264,346396102.71065784,1
Road,0,3,49.37438213126421,35.2902520376307,20.801245818543435,88.82210685524895,-11230335.25228999,243694823.16574922,1
Road,669,3,48.99595674170846,35.549273221861355,20.352001293161866,88.78151019286678,109585599.55153678,234339392.67081624,2
Road,557,3,47.99025366602399,32.87792086280864,21.25678624182614,84.70112946710579,1617192001.5545814,1871787915.7569628,3
Road,254,3,47.22865665286653,31.950515395638945,21.254204250922758,82.90577709910384,2286192319.741135,1853566787.6229641,3
