development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
0,scenario_19,550665471.2926103,-53708190.97613782,152678141.04011753,345276872.71142757,106418648.51720302,2128372.97034406,106418648.517203,152678141.04011753,4392239.543789739,2128372.97034406,2513203.435361913,613355994.1770366,0.0,0.0,154806514.0104616,6905442.979151651,3.5571208021349614,88.82210685524895,261173678.48645747,Road,,,,,,,,,,
2,scenario_19,-704125392.9002198,-1516050890.3596232,194912878.2946077,472959994.5310824,144052624.63371336,2881052.492674267,144052624.63371325,194912878.2946077,5607247.021788821,2881052.492674267,3401974.7116392325,-784286563.9892654,0.0,0.0,197793930.78728196,9009221.733428054,-3.5598938253442842,-87.05375305385458,-1266255780.2537758,Road,,,,,,,,,,
9,scenario_19,3718461673.8386526,398224269.2394645,1345794052.1316106,1102132191.6912076,872311160.7763699,17446223.215527397,872311160.7763696,1345794052.1316106,38715757.300295584,17446223.215527397,20600669.49274701,4141790026.189211,0.0,0.0,1363240275.347138,59316426.79304259,2.7276641844313008,69.82534603171705,2980341407.704961,Road,,,,,,,,,,
12,scenario_19,81872332.74592377,-1363821329.45979,312373893.82249105,884678952.4299979,248640815.95322484,4972816.319064497,248640815.9532249,312373893.82249105,8986361.502359474,4972816.319064497,5871949.71493947,91193090.29689495,0.0,0.0,317346710.14155555,14858311.217298944,0.25799017330100515,6.137513810501051,-808344173.3504019,Road,,,,,,,,,,
15,scenario_19,391029615.1027556,-175423187.89156774,195150622.90997052,244570297.75985953,126731882.32449329,2534637.646489866,126731882.32449329,195150622.90997052,5614086.450758847,2534637.646489866,2992924.703195333,435546390.37204003,0.0,0.0,197685260.55646038,8607011.15395418,1.978041326915593,50.60367444417032,182369081.4582263,Road,,,,,,,,,,
17,scenario_19,251618700.63981616,-4772863133.319474,2357229443.5123625,1162145992.8589256,1505106397.588002,30102127.951760042,1505106397.5880022,2357229443.5123625,67812696.0745481,30102127.951760042,35544884.488848604,280264237.23680395,0.0,0.0,2387331571.4641223,103357580.56339669,0.1053974670495818,2.71159827570555,-985239336.1855183,Road,,,,,,,,,,
25,scenario_19,-411397611.5469201,-1761210709.8805723,153682014.62583685,1088808551.5272884,107322532.18052682,2146450.6436105366,107322532.18052697,153682014.62583685,4421118.9447971415,2146450.6436105366,2534549.7271959586,-458233181.82653177,0.0,0.0,155828465.2694474,6955668.6719931,-2.64006714585529,-65.8790985360762,-1553997402.0258133,Road,,,,,,,,,,
27,scenario_19,-381561913.1365888,-1644225193.0070486,150350312.53158265,1007966102.4209636,104346864.91791353,2086937.2983582704,104346864.91791344,150350312.53158265,4325272.652807869,2086937.2983582704,2464275.7922127983,-425000837.6639706,0.0,0.0,152437249.82994092,6789548.445020667,-2.5030752887647836,-62.596333335784436,-1439756488.529955,Road,,,,,,,,,,
28,scenario_19,467090712.2637149,-4715521329.41921,2450896121.356007,1183821553.6060135,1547894366.7209044,30957887.33441809,1547894366.7209044,2450896121.356007,70507295.86177087,30957887.33441809,36555373.46343454,520266664.8389429,0.0,0.0,2481854008.6904254,107062669.32520542,0.1882023320582744,4.859459119766765,-770617558.0922761,Road,,,,,,,,,,
57,scenario_19,217184170.46986473,-329330026.1511307,141144892.03203666,309258717.1956397,96110587.39331904,1922211.7478663805,96110587.39331901,141144892.03203666,4060451.4304647534,1922211.7478663805,2269766.2653787034,241909507.21018362,0.0,0.0,143067103.77990305,6330217.695843456,1.5180580631868013,38.21503759168126,-73679427.68129957,Road,,,,,,,,,,
