iteration,development,scenario,ID_edge,length_m,flow
2iter,28,scenario_19,129,3327.5142290398862,4263.2745409963245
2iter,28,scenario_19,178,6719.55714161299,4271.261980509967
5iter,28,scenario_19,129,3327.5142290398862,3441.5910798458112
5iter,28,scenario_19,178,6719.55714161299,4127.742094728994
2iter,28,scenario_26,129,3327.5142290398862,1932.067851465305
2iter,28,scenario_26,178,6719.55714161299,1938.5514593518017
5iter,28,scenario_26,129,3327.5142290398862,1889.4850806460208
5iter,28,scenario_26,178,6719.55714161299,1936.0669573912685
2iter,28,scenario_44,129,3327.5142290398862,3262.2960756391453
2iter,28,scenario_44,178,6719.55714161299,3269.848993242304
5iter,28,scenario_44,129,3327.5142290398862,2834.4068149023024
5iter,28,scenario_44,178,6719.55714161299,3189.334432234304
2iter,28,scenario_64,129,3327.5142290398862,4037.870355045671
2iter,28,scenario_64,178,6719.55714161299,4045.777291551404
5iter,28,scenario_64,129,3327.5142290398862,3106.550576628809
5iter,28,scenario_64,178,6719.55714161299,3878.591113051426
2iter,28,scenario_78,129,3327.5142290398862,4427.077501859828
2iter,28,scenario_78,178,6719.55714161299,4435.117530403577
5iter,28,scenario_78,129,3327.5142290398862,3711.493565062545
5iter,28,scenario_78,178,6719.55714161299,4303.335073919269
2iter,109,scenario_19,129,3327.5142290398862,4406.185049334274
2iter,109,scenario_19,178,6719.55714161299,4414.170984062568
5iter,109,scenario_19,129,3327.5142290398862,3681.351180276589
5iter,109,scenario_19,178,6719.55714161299,4280.625065756201
2iter,109,scenario_26,129,3327.5142290398862,1996.7608467156424
2iter,109,scenario_26,178,6719.55714161299,2003.226824381704
5iter,109,scenario_26,129,3327.5142290398862,1949.555847606725
5iter,109,scenario_26,178,6719.55714161299,2000.2661189956648
2iter,109,scenario_44,129,3327.5142290398862,3371.714022874459
2iter,109,scenario_44,178,6719.55714161299,3379.252793978973
5iter,109,scenario_44,129,3327.5142290398862,2814.3479453751365
5iter,109,scenario_44,178,6719.55714161299,3274.0658933386294
2iter,109,scenario_64,129,3327.5142290398862,4173.506571080048
2iter,109,scenario_64,178,6719.55714161299,4181.409171503902
5iter,109,scenario_64,129,3327.5142290398862,3306.532733308711
5iter,109,scenario_64,178,6719.55714161299,4026.396704314523
2iter,109,scenario_78,129,3327.5142290398862,4575.708784306433
2iter,109,scenario_78,178,6719.55714161299,4583.749034707052
5iter,109,scenario_78,129,3327.5142290398862,3863.3301672984703
5iter,109,scenario_78,178,6719.55714161299,4447.147286860827
2iter,254,scenario_19,129,3327.5142290398862,4000.9732176572825
2iter,254,scenario_19,178,6719.55714161299,4008.5260842744856
5iter,254,scenario_19,129,3327.5142290398862,3148.099183335196
5iter,254,scenario_19,178,6719.55714161299,3846.4919066688526
2iter,254,scenario_26,129,3327.5142290398862,1813.3041615021727
2iter,254,scenario_26,178,6719.55714161299,1819.3982301474311
5iter,254,scenario_26,129,3327.5142290398862,1772.639738871514
5iter,254,scenario_26,178,6719.55714161299,1816.74163554911
2iter,254,scenario_44,129,3327.5142290398862,3061.5582040812146
2iter,254,scenario_44,178,6719.55714161299,3068.671384458522
5iter,254,scenario_44,129,3327.5142290398862,3058.072887126371
5iter,254,scenario_44,178,6719.55714161299,3068.278694534062
2iter,254,scenario_64,129,3327.5142290398862,3789.1784435533095
2iter,254,scenario_64,178,6719.55714161299,3796.649032099623
5iter,254,scenario_64,129,3327.5142290398862,3040.851879654744
5iter,254,scenario_64,178,6719.55714161299,3655.631079671394
2iter,254,scenario_78,129,3327.5142290398862,4154.48032710749
2iter,254,scenario_78,178,6719.55714161299,4162.086519726327
5iter,254,scenario_78,129,3327.5142290398862,3356.337710867068
5iter,254,scenario_78,178,6719.55714161299,4012.6356904938543
2iter,267,scenario_19,129,3327.5142290398862,4291.395591300989
2iter,267,scenario_19,178,6719.55714161299,4299.200420604735
5iter,267,scenario_19,129,3327.5142290398862,3469.567539639362
5iter,267,scenario_19,178,6719.55714161299,4134.571311826299
2iter,267,scenario_26,129,3327.5142290398862,1944.7280430654096
2iter,267,scenario_26,178,6719.55714161299,1951.005297053912
5iter,267,scenario_26,129,3327.5142290398862,1902.4845414777085
5iter,267,scenario_26,178,6719.55714161299,1947.5656845273213
2iter,267,scenario_44,129,3327.5142290398862,3283.8353230637285
2iter,267,scenario_44,178,6719.55714161299,3291.1911610773845
5iter,267,scenario_44,129,3327.5142290398862,2804.025818121425
5iter,267,scenario_44,178,6719.55714161299,3189.6639043396376
2iter,267,scenario_64,129,3327.5142290398862,4064.6942018337313
2iter,267,scenario_64,178,6719.55714161299,4072.415428068401
5iter,267,scenario_64,129,3327.5142290398862,3123.1508203864714
5iter,267,scenario_64,178,6719.55714161299,3883.895459648037
2iter,267,scenario_78,129,3327.5142290398862,4456.446598542416
2iter,267,scenario_78,178,6719.55714161299,4464.306512544864
5iter,267,scenario_78,129,3327.5142290398862,3741.8342035774313
5iter,267,scenario_78,178,6719.55714161299,4313.894736823569
