development,scenario,tt_savings_peak_2iter,network_savings_2iter,origin_access_savings_2iter,destination_access_savings_2iter,monetized_savings_2iter,tt_savings_peak_5iter,network_savings_5iter,origin_access_savings_5iter,destination_access_savings_5iter,monetized_savings_5iter,delta_tt_savings_peak_5_minus_2,delta_network_savings_5_minus_2,delta_origin_access_savings_5_minus_2,delta_destination_access_savings_5_minus_2
28,scenario_19,10073.11460826709,7934.57042224356,1069.272093011783,1069.2720930117794,131789916.12482774,31295.14491496852,29156.60072894499,1069.272093011783,1069.2720930117794,409444812.6375048,21222.030306701432,21222.030306701432,0.0,0.0
109,scenario_19,-62193.8276386807,-63483.54267414298,644.8575177311286,644.8575177311286,-813702578.272739,-48805.148381206905,-50094.86341666919,644.8575177311286,644.8575177311286,-638534024.6541237,13388.679257473792,13388.679257473785,0.0,0.0
254,scenario_19,127147.07628585875,122041.1469517349,2552.964667061937,2552.9646670619404,1663507581.406652,132830.12794553116,127724.19861140732,2552.964667061937,2552.9646670619404,1737860840.6206992,5683.051659672405,5683.051659672419,0.0,0.0
267,scenario_19,-532.5033329975558,-707.6406316201901,87.56864931133168,87.56864931133168,-6966918.606718022,29483.849610178386,29308.712311555748,87.56864931133168,87.56864931133168,385747032.3998338,30016.35294317594,30016.352943175938,0.0,0.0
28,scenario_26,-2436.018541252648,-4574.5627287018,1069.272093724565,1069.2720937245613,-31871242.58138881,6646.62823460385,4508.084047154698,1069.272093724565,1069.2720937245613,86960052.73606703,9082.646775856498,9082.646775856498,0.0,0.0
109,scenario_26,-16828.55541355355,-18118.270449264848,644.8575178556384,644.8575178556312,-220173599.99399227,-6227.006452577072,-7516.721488288371,644.8575178556384,644.8575178556312,-81470001.08788335,10601.548960976477,10601.548960976477,0.0,0.0
254,scenario_26,32011.51096652268,26905.58163276804,2552.964666877331,2552.964666877324,418817268.47867167,40415.76331212517,35309.83397837053,2552.964666877331,2552.964666877324,528772903.33363765,8404.25234560249,8404.25234560249,0.0,0.0
267,scenario_26,-309.0967018411029,-484.23400007688906,87.56864911789307,87.56864911789307,-4044015.182421096,8891.673459296988,8716.536161061202,87.56864911789307,87.56864911789307,116332727.7591356,9200.77016113809,9200.77016113809,0.0,0.0
28,scenario_44,3113.730322273681,975.186133887386,1069.2720941932348,1069.2720941932348,40737971.71641399,16246.619013099582,14108.074824713229,1069.2720941932348,1069.2720941932348,212559932.08805287,13132.888690825901,13132.888690825843,0.0,0.0
109,scenario_44,-36919.576176605886,-38209.2912154824,644.8575194382938,644.8575194382938,-483031121.643927,18149.201525882003,16859.486487005488,644.8575194382938,644.8575194382938,237452053.29695615,55068.77770248789,55068.77770248789,0.0,0.0
254,scenario_44,74152.29315200087,69046.36381481693,2552.964668592045,2552.964668592045,970159168.738678,-32336.921026806813,-37442.85036399076,2552.964668592045,2552.964668592045,-423074716.7673891,-106489.21417880768,-106489.21417880768,0.0,0.0
267,scenario_44,-404.003267005668,-579.1405646636849,87.56864882905211,87.56864882905211,-5285709.409990823,29675.60529044387,29500.46799278591,87.56864882905211,87.56864882905211,388255835.8833072,30079.608557449537,30079.608557449596,0.0,0.0
28,scenario_64,8322.95499208488,6184.410805093008,1069.2720934958998,1069.2720934958998,108891994.4797772,24467.97823594045,22329.434048948577,1069.2720934958998,1069.2720934958998,320122715.25355417,16145.023243855569,16145.023243855569,0.0,0.0
109,scenario_64,-55721.75393143785,-57011.46896722191,644.8575178920182,644.8575178920219,-729026280.6029785,-35402.65148112911,-36692.36651691317,644.8575178920182,644.8575178920219,-463184690.2114392,20319.10245030874,20319.10245030874,0.0,0.0
254,scenario_64,113594.2271956628,108488.29786196291,2552.9646668499263,2552.9646668499263,1486191139.1432548,62477.35329471831,57371.423961018445,2552.9646668499263,2552.9646668499263,817412038.9392312,-51116.87390094448,-51116.87390094447,0.0,0.0
267,scenario_64,-515.636995300767,-690.7742936449358,87.56864917209532,87.56864917209168,-6746250.688518369,26635.10271269293,26459.96541434876,87.56864917209532,87.56864917209168,348475927.1577324,27150.739707993696,27150.739707993696,0.0,0.0
28,scenario_78,11509.627777539776,9371.083591779112,1069.2720928802846,1069.2720928802885,150584296.7561454,29604.52089042659,27465.976704665925,1069.2720928802846,1069.2720928802885,387325814.9830812,18094.893112886813,18094.893112886813,0.0,0.0
109,scenario_78,-67291.0318158624,-68580.74685033853,644.8575172380733,644.857517238077,-880390999.5908664,-29799.67361910583,-31089.38865358208,644.8575172380733,644.857517238077,-389879063.1833012,37491.35819675657,37491.35819675645,0.0,0.0
254,scenario_78,137852.73920042522,132746.80986621033,2552.964667107375,2552.964667107375,1803573337.8722296,155056.37943146145,149950.45009724656,2552.964667107375,2552.964667107375,2028654297.5616205,17203.640231036232,17203.640231036232,0.0,0.0
267,scenario_78,-577.1795945232734,-752.3168928362429,87.56864915641563,87.56864915641927,-7551433.02834616,25500.59402594203,25325.45672762906,87.56864915641563,87.56864915641927,333632771.8394082,26077.773620465305,26077.773620465305,0.0,0.0
