development,scenario,weighted_tt_h_2iter,total_demand_2iter,od_rows_2iter,weighted_tt_h_5iter,total_demand_5iter,od_rows_5iter,delta_h_5_minus_2,delta_min_5_minus_2
28,scenario_19,1.555147042740634,10131.425515891278,992,1.1053239378819755,10131.425515891278,992,-0.4498231048586585,-26.98938629151951
28,scenario_26,0.6813300846366152,4598.088676033247,992,0.6659561809065803,4598.088676033247,992,-0.015373903730034888,-0.9224342238020933
28,scenario_44,1.0682194663241862,7757.230992909387,992,0.8728431070298035,7757.230992909387,992,-0.19537635929438268,-11.722581557662961
28,scenario_64,1.4291848546247907,9600.117131298472,992,0.961641721727299,9600.117131298472,992,-0.4675431328974917,-28.052587973849505
28,scenario_78,1.652072663826947,10522.799490591711,992,1.2311930373916837,10522.799490591711,992,-0.4208796264352632,-25.252777586115794
109,scenario_19,1.6623836437183668,10247.288085326818,992,1.2296521278961903,10247.288085326818,992,-0.4327315158221765,-25.96389094933059
109,scenario_26,0.6961736170452315,4650.643463030267,992,0.6786233807577017,4650.643463030267,992,-0.01755023628752983,-1.0530141772517898
109,scenario_44,1.124011381999769,7845.948471774449,992,0.8643229514504471,7845.948471774449,992,-0.2596884305493219,-15.581305832959313
109,scenario_64,1.5233467521680366,9709.963304356686,992,1.0541344331722287,9709.963304356686,992,-0.46921231899580795,-28.152739139748476
109,scenario_78,1.769784470058456,10643.1900165677,992,1.3219083514708474,10643.1900165677,992,-0.44787611858760856,-26.872567115256516
254,scenario_19,1.4093621114951582,9406.061138683031,930,0.9716540098050211,9406.061138683031,930,-0.4377081016901371,-26.262486101408225
254,scenario_26,0.6491508823740618,4269.2836217228005,930,0.6343700254019422,4269.2836217228005,930,-0.014780856972119616,-0.886851418327177
254,scenario_44,0.9857311547673285,7201.796258827182,930,0.9841265166478769,7201.796258827182,930,-0.0016046381194516623,-0.09627828716709974
254,scenario_64,1.2996432356552103,8912.050500429017,930,0.9293279644021117,8912.050500429017,930,-0.3703152712530986,-22.218916275185915
254,scenario_78,1.493561726075062,9768.76621583745,930,1.0608547653735179,9768.76621583745,930,-0.43270696070154413,-25.962417642092646
267,scenario_19,1.5735871081062802,10070.325350513387,992,1.109510495101054,10070.325350513387,992,-0.4640766130052263,-27.844596780313577
267,scenario_26,0.6742113313413819,4570.5612096499935,992,0.6586514010777946,4570.5612096499935,992,-0.015559930263587263,-0.9335958158152358
267,scenario_44,1.0724560387468784,7710.426793717191,992,0.8500477193583867,7710.426793717191,992,-0.2224083193884917,-13.344499163309502
267,scenario_64,1.4441585694348789,9541.856125690307,992,0.9588626983269282,9541.856125690307,992,-0.4852958711079507,-29.11775226647704
267,scenario_78,1.673554571977534,10459.012432458001,992,1.2397428460518702,10459.012432458001,992,-0.43381172592566375,-26.028703555539824
