development_int,scenario_norm,weighted_tt_h,tts_min,flow_129,flow_178,maxiter
28,scenario_19,0.8829730399145523,28120.211884219665,2927.6398997875413,3950.6407195028114,8
28,scenario_26,0.6680045475049705,4596.168043383455,1895.662535762197,1935.3536007002303,8
28,scenario_44,0.954800385727091,-55038.869930337416,3025.64901500972,3222.9023908173044,8
28,scenario_64,0.8168571776155353,-5567.590151349548,2743.671408476787,3742.738155796231,8
28,scenario_78,1.0188244353549445,30620.059435176547,3268.7009371974546,4161.100396018046,8
109,scenario_19,1.01474847581178,-53279.32803470001,3240.487696696276,4133.14947516384,8
109,scenario_26,0.6788794375560017,-7138.092260746576,1950.7162631259064,1999.1379154474675,8
109,scenario_44,0.9032917406861155,-26873.060299211764,2911.975756997349,3282.099719255203,8
109,scenario_64,0.8234729854358812,-13666.041861496167,2759.0857310890487,3824.555363554559,8
109,scenario_78,1.0956934201099946,-17540.717583881808,3424.598018627173,4303.978182602227,8
254,scenario_19,0.8225225352383974,83449.60287856404,2790.095199868322,3707.360086500207,8
254,scenario_26,0.6371617353762257,37943.304678114655,1780.7739229503334,1816.3080649507951,8
254,scenario_44,0.9668326894652283,-42580.791824838845,3020.5342433831547,3064.557558386363,8
254,scenario_64,0.6983578661063202,78093.23351248866,2437.9462740562626,3436.913379650344,8
254,scenario_78,0.8397998253449342,154575.63464978937,2839.4554575208217,3829.606536339739,8
267,scenario_19,0.8868495463450754,26487.738726718584,2973.425256422781,3949.744294975362,8
267,scenario_26,0.6605635932647936,6918.179923268559,1908.102661427512,1947.1250488375813,8
267,scenario_44,0.9329449616877952,-42237.89382786176,2998.0074326209296,3225.560473065701,8
267,scenario_64,0.8067547058956387,1046.29201774986,2752.378989751299,3733.88555421888,8
267,scenario_78,1.018970367405548,31379.45052229252,3292.661965764111,4163.511614352308,8
