kind,development_int,scenario_norm,nit,constraint_violation,solver_time_s
status_quo,,scenario_26,8,0.0325,570.0
status_quo,,scenario_44,8,0.299,810.0
status_quo,,scenario_64,8,0.083,660.0
status_quo,,scenario_19,8,0.057,720.0
status_quo,,scenario_78,8,0.0589,670.0
development,254.0,scenario_78,8,0.0639,2700.0
development,254.0,scenario_44,8,0.0483,3000.0
development,254.0,scenario_64,8,0.0737,3000.0
development,254.0,scenario_19,8,0.0789,3000.0
development,254.0,scenario_26,8,0.0562,3300.0
development,109.0,scenario_64,8,0.0752,3300.0
development,267.0,scenario_78,8,0.0578,3300.0
development,28.0,scenario_19,8,0.0622,3400.0
development,28.0,scenario_78,8,0.0573,3400.0
development,267.0,scenario_19,8,0.0578,3400.0
development,267.0,scenario_64,8,0.0811,3400.0
development,109.0,scenario_19,8,0.0576,3600.0
development,28.0,scenario_64,8,0.0775,3600.0
development,267.0,scenario_26,8,0.0562,3600.0
development,28.0,scenario_26,8,0.0562,3600.0
development,109.0,scenario_78,8,0.0577,3700.0
development,109.0,scenario_26,8,0.0563,3700.0
development,267.0,scenario_44,8,0.0666,3800.0
development,109.0,scenario_44,8,0.0674,3900.0
development,28.0,scenario_44,8,0.0662,4000.0
