development,scenario_norm,tts_min,iteration,weighted_tt_h
28,scenario_19,10073.11460826709,2iter,1.555147042740634
28,scenario_26,-2436.018541252648,2iter,0.6813300846366152
28,scenario_44,3113.730322273681,2iter,1.068219466324186
28,scenario_64,8322.95499208488,2iter,1.4291848546247907
28,scenario_78,11509.627777539776,2iter,1.6520726638269472
109,scenario_19,-62193.8276386807,2iter,1.6623836437183668
109,scenario_26,-16828.55541355355,2iter,0.6961736170452315
109,scenario_44,-36919.576176605886,2iter,1.124011381999769
109,scenario_64,-55721.75393143785,2iter,1.5233467521680366
109,scenario_78,-67291.0318158624,2iter,1.769784470058456
254,scenario_19,127147.07628585875,2iter,1.4093621114951582
254,scenario_26,32011.51096652268,2iter,0.649150882374062
254,scenario_44,74152.29315200087,2iter,0.9857311547673288
254,scenario_64,113594.2271956628,2iter,1.2996432356552106
254,scenario_78,137852.73920042522,2iter,1.4935617260750622
267,scenario_19,-532.5033329975558,2iter,1.5735871081062802
267,scenario_26,-309.0967018411029,2iter,0.6742113313413819
267,scenario_44,-404.003267005668,2iter,1.0724560387468782
267,scenario_64,-515.636995300767,2iter,1.4441585694348786
267,scenario_78,-577.1795945232734,2iter,1.6735545719775335
28,scenario_19,31295.14491496852,5iter,1.1053239378819757
28,scenario_26,6646.62823460385,5iter,0.6659561809065803
28,scenario_44,16246.619013099582,5iter,0.8728431070298036
28,scenario_64,24467.97823594045,5iter,0.961641721727299
28,scenario_78,29604.52089042659,5iter,1.2311930373916842
109,scenario_19,-48805.148381206905,5iter,1.2296521278961905
109,scenario_26,-6227.006452577072,5iter,0.6786233807577017
109,scenario_44,18149.201525882003,5iter,0.8643229514504471
109,scenario_64,-35402.65148112911,5iter,1.0541344331722289
109,scenario_78,-29799.67361910583,5iter,1.3219083514708474
254,scenario_19,132830.12794553116,5iter,0.9716540098050211
254,scenario_26,40415.76331212517,5iter,0.6343700254019424
254,scenario_44,-32336.921026806813,5iter,0.984126516647877
254,scenario_64,62477.35329471831,5iter,0.9293279644021116
254,scenario_78,155056.37943146145,5iter,1.060854765373518
267,scenario_19,29483.849610178386,5iter,1.109510495101054
267,scenario_26,8891.673459296988,5iter,0.6586514010777946
267,scenario_44,29675.60529044387,5iter,0.8500477193583866
267,scenario_64,26635.10271269293,5iter,0.958862698326928
267,scenario_78,25500.59402594203,5iter,1.2397428460518702
28,scenario_19,28120.211884219665,8iter,0.8829730399145523
28,scenario_26,4596.168043383455,8iter,0.6680045475049705
28,scenario_44,-55038.869930337416,8iter,0.954800385727091
28,scenario_64,-5567.590151349548,8iter,0.8168571776155353
28,scenario_78,30620.059435176547,8iter,1.0188244353549445
109,scenario_19,-53279.32803470001,8iter,1.01474847581178
109,scenario_26,-7138.092260746576,8iter,0.6788794375560017
109,scenario_44,-26873.060299211764,8iter,0.9032917406861156
109,scenario_64,-13666.041861496167,8iter,0.8234729854358812
109,scenario_78,-17540.717583881808,8iter,1.0956934201099946
254,scenario_19,83449.60287856404,8iter,0.8225225352383974
254,scenario_26,37943.304678114655,8iter,0.6371617353762257
254,scenario_44,-42580.791824838845,8iter,0.9668326894652284
254,scenario_64,78093.23351248866,8iter,0.6983578661063202
254,scenario_78,154575.63464978937,8iter,0.8397998253449342
267,scenario_19,26487.738726718584,8iter,0.8868495463450754
267,scenario_26,6918.179923268559,8iter,0.6605635932647936
267,scenario_44,-42237.89382786176,8iter,0.9329449616877952
267,scenario_64,1046.29201774986,8iter,0.8067547058956387
267,scenario_78,31379.45052229252,8iter,1.018970367405548
