mode,development,scenario_count,median_net_benefit_mio,mean_net_benefit_mio,std_net_benefit_mio,min_net_benefit_mio,max_net_benefit_mio
Rail,100001,5,316.61,280.38199999999995,135.89862902178226,52.72,397.73
Rail,101016,5,118.45,98.14399999999999,76.57274469417953,-30.08,164.1
Rail,101012,5,111.88,84.596,103.59219917542055,-88.76,173.59
Rail,101007,5,101.32,73.762,104.73943058848468,-101.49,163.8
Rail,100000,5,82.32,70.846,42.93619661777228,-1.1,107.95
Rail,100002,5,58.53,45.354,50.14376112738254,-38.54,88.44
Rail,100005,5,54.18,40.67,51.338321456783135,-45.23,84.8
Rail,101010,5,34.53,17.938,63.10224457180585,-87.64,72.17
Rail,101011,5,28.87,5.634,82.2646529804873,-133.29,75.21
Rail,101001,5,-2.76,-35.361999999999995,124.04818950714274,-242.92,71.08
Rail,101008,5,-9.16,-24.254,57.23780289284347,-120.05,24.92
Rail,101013,5,-10.89,-22.598000000000003,44.72821391470936,-97.4,15.78
Road,267,5,-641.2839497517044,-579.4477746934425,344.5677361129863,-1084.0888239003987,-214.42362711894387
Road,254,5,-1110.7531385667396,-1315.4650291882365,1030.504392244375,-2534.4540720715218,109.36198267787492
Road,109,5,-3425.570310002888,-3443.7570197806845,263.06782039023085,-3877.042409307554,-3176.2671965462423
Road,28,5,-4864.442080019937,-4830.631431932663,401.8372716753554,-5427.482848657239,-4434.997475137705
