development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,total_demand_basis,tts_total_person_min,tts_per_trip_min,status_quo_total_per_trip_min,development_total_per_trip_min
28,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,27596.162980641533,501126.51014491776,27596.162980641537,556318.8361062009,1069.272093011783,25981.667698196132,1069.2720930117794,28120.211884219665,9197652.637130182,367906105.4852073,10004.725529239466,28120.211884219665,2.8106929872325335,58.41630000566824,55.605607018435705
109,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,28020.577555922187,581677.2209132762,28020.577555922187,637718.3760251206,644.8575177311286,-54569.0430701623,644.8575177311286,-53279.32803470001,-17426780.211349793,-697071208.4539917,10004.725529239466,-53279.32803470001,-5.325416262443951,58.41630000566824,63.74171626811219
254,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,26112.47040659138,448764.5042986738,26112.470406591376,500989.44511185656,2552.964667061937,78343.67354444007,2552.9646670619404,83449.60287856404,27294974.274863653,1091798970.9945462,10004.725529239466,83449.60287856404,8.341018715073902,58.41630000566824,50.07528129059434
267,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,28577.866424341984,500795.576415018,28577.866424341984,557951.309263702,87.56864931133168,26312.60142809595,87.56864931133168,26487.738726718584,8663697.875197537,346547915.0079015,10004.725529239466,26487.738726718584,2.6475227780418797,58.41630000566824,55.76877722762636
28,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,27596.1629741454,391428.4614035451,27596.1629741454,446620.7873518359,1069.272093724565,2457.623855934304,1069.2720937245613,4596.168043383455,1503329.964190005,60133198.567600206,4540.663259143899,4596.168043383455,1.0122239375773532,99.37247702448919,98.36025308691185
109,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,28020.577550014328,402313.8925559373,28020.57755001433,458355.0476559659,644.8575178556384,-8427.807296457875,644.8575178556312,-7138.092260746576,-2334751.010285859,-93390040.41143437,4540.663259143899,-7138.092260746576,-1.5720373551973987,99.37247702448919,100.94451437968658
254,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,26112.470400992635,361048.7099151194,26112.47040099264,413273.6507171047,2552.964666877331,32837.375344360014,2552.964666877324,37943.304678114655,12410622.5718,496424902.872,4540.663259143899,37943.304678114655,8.356335300069912,99.37247702448919,91.01614172441928
267,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,28577.866418752077,387143.0426344466,28577.86641875207,444298.7754719508,87.56864911789307,6743.042625032773,87.56864911789307,6918.179923268559,2262821.3499024245,90512853.99609698,4540.663259143899,6918.179923268559,1.5236055898522893,99.37247702448919,97.8488714346369
28,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,27596.162978194625,555908.446427555,27596.162978194625,611100.7723839444,1069.2720941932348,-57177.41411872383,1069.2720941932348,-55038.869930337416,-18002297.03971453,-720091881.5885812,7660.214081615988,-55038.869930337416,-7.185030254236249,72.59090888701388,79.77593914125013
109,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,28020.57755294957,526893.8076469196,28020.57755294957,582934.9627528187,644.8575194382938,-28162.775338088395,644.8575194382938,-26873.060299211764,-8789730.139533848,-351589205.5813539,7660.214081615988,-26873.060299211764,-3.508134369730651,72.59090888701388,76.09904325674454
254,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,26112.47040379581,546417.7534708541,26112.47040379581,598642.6942784458,2552.964668592045,-47686.721162022906,2552.964668592045,-42580.791824838845,-13927467.326041035,-557098693.0416415,7660.214081615988,-42580.791824838845,-5.558694753326797,72.59090888701388,78.14960364034069
267,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,28577.866423558808,541144.0634343511,28577.866423558808,598299.7962814687,87.56864882905211,-42413.03112551989,87.56864882905211,-42237.89382786176,-13815311.106196448,-552612444.2478579,7660.214081615988,-42237.89382786176,-5.513931252813147,72.59090888701388,78.10484013982703
28,scenario_64,28665.435068393672,454876.4945408162,28665.435068393672,512207.3646776035,27596.16297489777,462582.6288791575,27596.16297489777,517774.954828953,1069.2720934958998,-7706.134338341304,1069.2720934958998,-5567.590151349548,-1821065.945337248,-72842637.81348991,9479.923166176048,-5567.590151349548,-0.587303299167494,54.030750639956345,54.61805393912384
