development,n_scenarios,mean_tts_min,median_tts_min,std_tts_min,min_tts_min,max_tts_min,q05_tts_min,q95_tts_min,positive_scenarios,negative_scenarios,mean_network_min,mean_access_min,mean_monetized,positive_share,range_tts_min,cv_abs,mean_tts_mmin,median_tts_mmin,min_tts_mmin,max_tts_mmin,mean_network_mmin,mean_access_mmin,worst_scenario,worst_tts_min,best_scenario,best_tts_min,worst_tts_mmin,best_tts_mmin
334,20,25976.987900908625,19093.15487415722,20003.22999963335,4188.047203286958,76590.65023596864,7289.487481652174,63906.17956083499,20,0,25223.308151780802,753.6797491278063,339865591.7035545,1.0,72402.60303268168,0.7700365444961259,0.025976987900908625,0.01909315487415722,0.004188047203286959,0.07659065023596864,0.025223308151780803,0.0007536797491278063,scenario_26,4188.047203286958,scenario_10,76590.65023596864,0.004188047203286959,0.07659065023596864
469,20,-15978.509972777707,-11237.998093765753,13791.058501124884,-50837.18238045508,-943.3645216015866,-42127.55205507532,-3088.052723737909,0,20,-19209.058779262254,3230.548806484544,-209052172.14384165,0.0,49893.817858853494,0.8631004095263236,-0.015978509972777707,-0.011237998093765753,-0.05083718238045508,-0.0009433645216015866,-0.019209058779262253,0.003230548806484544,scenario_10,-50837.18238045508,scenario_26,-943.3645216015866,-0.05083718238045508,-0.0009433645216015866
789,20,-20537.399527212263,-15215.501590357453,15484.561612716254,-59674.50745261554,-3654.858223026211,-49896.123080590274,-6063.571881887795,0,20,-23678.235470459906,3140.8359432476145,-268697643.81436044,0.0,56019.649229589326,0.7539689527001241,-0.02053739952721226,-0.015215501590357453,-0.05967450745261554,-0.0036548582230262108,-0.023678235470459906,0.0031408359432476144,scenario_10,-59674.50745261554,scenario_26,-3654.858223026211,-0.05967450745261554,-0.0036548582230262108
2,20,-23051.398233426273,-16420.237077929545,19289.770786952395,-71812.18368596816,-2022.884389083425,-59626.11555241644,-5022.0399654051935,0,20,-26936.317413836303,3884.9191804100506,-301589126.8873271,0.0,69789.29929688474,0.836815649602581,-0.023051398233426272,-0.016420237077929545,-0.07181218368596816,-0.002022884389083425,-0.026936317413836303,0.0038849191804100507,scenario_10,-71812.18368596816,scenario_26,-2022.884389083425,-0.07181218368596816,-0.002022884389083425
103,20,-24017.694519138753,-17291.431353635446,19563.9738159627,-73478.39084189478,-2693.13435216836,-61113.67810579231,-5733.200089850156,0,20,-27694.8013198902,3677.106800751449,-314231503.2920653,0.0,70785.25648972642,0.8145650199844512,-0.024017694519138752,-0.017291431353635447,-0.07347839084189478,-0.00269313435216836,-0.0276948013198902,0.003677106800751449,scenario_10,-73478.39084189478,scenario_26,-2693.13435216836,-0.07347839084189478,-0.00269313435216836
895,20,-27058.324884507274,-19955.097475855844,20667.48953042999,-79289.31437342707,-4523.9369348482,-66244.17578480877,-7739.148643623977,0,20,-30249.86353297315,3191.5386484658907,-354013083.90563685,0.0,74765.37743857887,0.7638126018016559,-0.027058324884507275,-0.019955097475855846,-0.07928931437342707,-0.0045239369348482,-0.03024986353297315,0.0031915386484658906,scenario_10,-79289.31437342707,scenario_26,-4523.9369348482,-0.07928931437342707,-0.0045239369348482
689,20,-29128.972800944804,-21618.73361270735,21845.442505031217,-84355.04565556347,-5316.0681967450655,-70548.85831314512,-8711.652584349265,0,20,-31699.749016592465,2570.776215647652,-381104060.8123612,0.0,79038.97745881841,0.7499558139009507,-0.029128972800944803,-0.02161873361270735,-0.08435504565556347,-0.005316068196745066,-0.03169974901659246,0.002570776215647652,scenario_10,-84355.04565556347,scenario_26,-5316.0681967450655,-0.08435504565556347,-0.005316068196745066
249,20,-38346.38124620422,-29156.925911354134,26733.406541791657,-105917.00397694902,-9203.17078087671,-89035.16886158234,-13359.379925656636,0,20,-40116.14592388427,1769.7646776799877,-501698487.97117174,0.0,96713.83319607232,0.6971559159689392,-0.038346381246204216,-0.029156925911354135,-0.10591700397694903,-0.009203170780876709,-0.040116145923884274,0.0017697646776799877,scenario_10,-105917.00397694902,scenario_26,-9203.17078087671,-0.10591700397694903,-0.009203170780876709
201,20,-39389.09897288679,-29825.465129280114,27820.522817709112,-109711.13572600717,-9061.810513655888,-92139.08134120141,-13386.548939402515,0,20,-41195.41885179219,1806.319878905359,-515340711.56193554,0.0,100649.32521235128,0.7063000561870981,-0.039389098972886796,-0.029825465129280113,-0.10971113572600717,-0.009061810513655889,-0.04119541885179219,0.001806319878905359,scenario_10,-109711.13572600717,scenario_26,-9061.810513655888,-0.10971113572600717,-0.009061810513655889
750,20,-39472.42882872616,-30047.622976692917,27417.119538048504,-108776.64443334052,-9584.10546991462,-91456.17333527205,-13846.607952434357,0,20,-41271.499014852765,1799.0701861265406,-516430943.84250057,0.0,99192.5389634259,0.6945891183188512,-0.03947242882872616,-0.030047622976692917,-0.10877664443334052,-0.00958410546991462,-0.04127149901485277,0.0017990701861265407,scenario_10,-108776.64443334052,scenario_26,-9584.10546991462,-0.10877664443334052,-0.00958410546991462
775,20,-43421.19330719543,-32922.401200324995,30538.59559316902,-120620.9650978702,-10132.601511941582,-101323.11143365517,-14879.185336678853,0,20,-44823.061237980764,1401.867930785294,-568093945.7691402,0.0,110488.36358592862,0.703310832042665,-0.04342119330719543,-0.032922401200325,-0.1206209650978702,-0.010132601511941583,-0.044823061237980764,0.001401867930785294,scenario_10,-120620.9650978702,scenario_26,-10132.601511941582,-0.1206209650978702,-0.010132601511941583
662,20,-59430.46793095038,-44898.49419446994,42239.902198211945,-166288.45028176391,-13411.602567340888,-139524.10823633705,-19965.24318458311,0,20,-60757.33409889592,1326.8661679455104,-777548622.0966008,0.0,152876.84771442303,0.7107449035617323,-0.05943046793095038,-0.04489849419446994,-0.16628845028176392,-0.013411602567340888,-0.060757334098895915,0.0013268661679455105,scenario_10,-166288.45028176391,scenario_26,-13411.602567340888,-0.16628845028176392,-0.013411602567340888
