development,scenario,veh_km,case_type
0,scenario_19,540144.3768610478,development
103,scenario_19,555740.259149304,development
104,scenario_19,541988.059017279,development
109,scenario_19,563595.4993590092,development
114,scenario_19,544011.3827429983,development
12,scenario_19,546085.6664550728,development
126,scenario_19,555596.7929620794,development
140,scenario_19,541888.2682862545,development
143,scenario_19,541377.0105449918,development
144,scenario_19,549826.2089951608,development
15,scenario_19,540283.0836133867,development
150,scenario_19,550527.9265536184,development
152,scenario_19,510683.9438029451,development
17,scenario_19,558444.2075616597,development
176,scenario_19,543890.8472709152,development
177,scenario_19,541318.3251348925,development
195,scenario_19,550924.7492486541,development
197,scenario_19,543287.8766343256,development
2,scenario_19,554403.2953093696,development
201,scenario_19,555911.8771997504,development
202,scenario_19,547060.8653534842,development
206,scenario_19,543108.2134903534,development
209,scenario_19,546842.8791109552,development
227,scenario_19,542323.3652794507,development
233,scenario_19,542919.6158375975,development
240,scenario_19,542467.5641588836,development
243,scenario_19,557990.602240085,development
245,scenario_19,550945.360645618,development
249,scenario_19,556022.7427756463,development
25,scenario_19,551770.8292489616,development
250,scenario_19,545219.0157698517,development
254,scenario_19,505506.10461031925,development
255,scenario_19,543817.6065342946,development
261,scenario_19,545941.9724970505,development
267,scenario_19,542200.3989473531,development
27,scenario_19,551423.2168878237,development
270,scenario_19,544145.9659643394,development
273,scenario_19,542871.5336703009,development
277,scenario_19,549820.0475088423,development
28,scenario_19,561010.1617118813,development
284,scenario_19,543849.2449639348,development
285,scenario_19,556448.2495473564,development
289,scenario_19,555762.9413630025,development
308,scenario_19,548227.3015068835,development
331,scenario_19,556222.0355609518,development
334,scenario_19,539551.3928326012,development
348,scenario_19,560338.0516403532,development
351,scenario_19,555366.3230745044,development
356,scenario_19,548926.6506367212,development
358,scenario_19,554524.8054832107,development
390,scenario_19,547309.4714522142,development
392,scenario_19,541452.9027494912,development
394,scenario_19,544431.1947531677,development
423,scenario_19,541399.9497625884,development
459,scenario_19,550032.3483988168,development
464,scenario_19,541248.3929300605,development
469,scenario_19,550531.9861713791,development
486,scenario_19,556460.3475003176,development
493,scenario_19,541287.581651408,development
499,scenario_19,550117.584949329,development
517,scenario_19,542491.7654648062,development
521,scenario_19,561921.2156535609,development
531,scenario_19,552095.8125537718,development
533,scenario_19,545076.146673426,development
538,scenario_19,543566.0667133927,development
540,scenario_19,543392.2688449577,development
546,scenario_19,542621.3492764594,development
550,scenario_19,544498.7727015931,development
552,scenario_19,544609.970154142,development
556,scenario_19,543128.8053683408,development
557,scenario_19,504960.8489904744,development
558,scenario_19,557839.4874835196,development
564,scenario_19,555976.5324992795,development
565,scenario_19,547227.6902868629,development
569,scenario_19,543081.4337421367,development
57,scenario_19,541667.2327123905,development
594,scenario_19,548953.8542721398,development
602,scenario_19,547160.6988178327,development
612,scenario_19,563581.6472061675,development
614,scenario_19,543625.53389325,development
62,scenario_19,541570.5749224005,development
625,scenario_19,544905.4504034212,development
627,scenario_19,544150.7860373621,development
628,scenario_19,543970.123082782,development
629,scenario_19,543176.0423416542,development
63,scenario_19,556827.6093782573,development
648,scenario_19,544340.0758384785,development
662,scenario_19,561800.0833945236,development
669,scenario_19,539824.1257303972,development
670,scenario_19,545211.825360951,development
673,scenario_19,540452.1097438352,development
678,scenario_19,552363.2118016053,development
680,scenario_19,547128.5541040705,development
682,scenario_19,557865.8350544157,development
689,scenario_19,556429.802392506,development
694,scenario_19,545226.0060160308,development
726,scenario_19,543954.2191913808,development
73,scenario_19,546282.6993033699,development
736,scenario_19,541308.2171910864,development
750,scenario_19,556863.3549710199,development
755,scenario_19,545517.375710934,development
759,scenario_19,563594.6973354148,development
761,scenario_19,541168.8605188405,development
764,scenario_19,549079.4281849306,development
767,scenario_19,541187.9266899057,development
770,scenario_19,541501.8125725877,development
775,scenario_19,555973.0684570221,development
776,scenario_19,545023.7656092657,development
780,scenario_19,543895.753881389,development
789,scenario_19,557912.719122471,development
791,scenario_19,547179.4225550706,development
809,scenario_19,547451.2822968924,development
810,scenario_19,548746.9624005486,development
811,scenario_19,541637.2231782787,development
813,scenario_19,549681.7994695336,development
822,scenario_19,543649.2085232224,development
831,scenario_19,544134.5272431455,development
837,scenario_19,543087.6311153354,development
858,scenario_19,548672.4433005521,development
863,scenario_19,547460.8168756657,development
866,scenario_19,543739.36548898,development
873,scenario_19,556146.6700953924,development
878,scenario_19,546432.5574341301,development
887,scenario_19,545826.4881329242,development
895,scenario_19,554988.5642860918,development
9,scenario_19,511725.1431922081,development
90,scenario_19,542802.8833228137,development
935,scenario_19,544279.3005239853,development
938,scenario_19,546288.272271764,development
94,scenario_19,541213.7720025247,development
940,scenario_19,544276.5985773043,development
945,scenario_19,556079.2162043428,development
952,scenario_19,557640.0418248869,development
958,scenario_19,543192.646862725,development
964,scenario_19,541748.97039123,development
970,scenario_19,544697.9241849335,development
971,scenario_19,542770.2254343344,development
987,scenario_19,541300.1774158076,development
status_quo,scenario_19,541239.4593620441,status_quo
0,scenario_26,244901.95509405647,development
103,scenario_26,251940.48466598772,development
104,scenario_26,245704.379528768,development
109,scenario_26,255496.45590340826,development
114,scenario_26,246653.26896372196,development
12,scenario_26,247564.18584011085,development
126,scenario_26,251871.50345357784,development
140,scenario_26,245664.8006831145,development
143,scenario_26,245463.5893319684,development
144,scenario_26,249284.23552839336,development
15,scenario_26,244965.11486615386,development
150,scenario_26,249575.1835452871,development
152,scenario_26,231536.60728936992,development
17,scenario_26,253171.18204761803,development
176,scenario_26,246572.24376749044,development
177,scenario_26,245432.5598342745,development
189,scenario_26,47258.55092207876,development
195,scenario_26,249753.24168577595,development
197,scenario_26,246298.3942217188,development
2,scenario_26,251336.2599567328,development
201,scenario_26,252014.85945550704,development
202,scenario_26,248006.41704680357,development
206,scenario_26,246213.06674546847,development
209,scenario_26,247912.83908697712,development
227,scenario_26,245887.7576132986,development
233,scenario_26,246126.8405646339,development
240,scenario_26,245951.9498080294,development
243,scenario_26,252955.33581094796,development
245,scenario_26,249792.36742932518,development
249,scenario_26,252065.18002309234,development
25,scenario_26,250164.26395935073,development
250,scenario_26,247197.57452682406,development
254,scenario_26,229186.16175636937,development
255,scenario_26,246537.22224568354,development
261,scenario_26,247498.83724614812,development
267,scenario_26,245798.01633205608,development
27,scenario_26,250007.9512935723,development
270,scenario_26,246685.60208535157,development
273,scenario_26,246138.38337267318,development
277,scenario_26,249258.77077232828,development
28,scenario_26,254333.32439599288,development
284,scenario_26,246551.34459855687,development
285,scenario_26,252257.8824664717,development
289,scenario_26,251949.3521361107,development
308,scenario_26,248533.96608316578,development
