development,scenario,total_veh_km,new_link_veh_km,rest_network_veh_km,status_quo_veh_km,delta_total_veh_km,delta_rest_network_veh_km
0,scenario_19,540144.3768610478,3001.9187611131238,537142.4580999347,541239.4593620441,-1095.082500996301,-4097.001262109377
2,scenario_19,554403.2953093696,6992.722163602932,547410.5731457666,541239.4593620441,13163.835947325453,6171.113783722511
9,scenario_19,511725.1431922081,0.0,511725.1431922081,541239.4593620441,-29514.316169836035,-29514.316169836035
12,scenario_19,546085.6664550728,5635.799892847982,540449.8665622248,541239.4593620441,4846.207093028701,-789.5927998193074
15,scenario_19,540283.0836133867,1960.0675171531702,538323.0160962335,541239.4593620441,-956.3757486573886,-2916.443265810609
17,scenario_19,558444.2075616597,17859.942498080018,540584.2650635798,541239.4593620441,17204.748199615628,-655.1942984643392
25,scenario_19,551770.8292489616,2483.6848475796596,549287.144401382,541239.4593620441,10531.369886917528,8047.685039337841
27,scenario_19,551423.2168878237,2806.3401275216615,548616.876760302,541239.4593620441,10183.75752577954,7377.4173982578795
28,scenario_19,561010.1617118813,24123.109172909397,536887.0525389719,541239.4593620441,19770.70234983717,-4352.406823072233
57,scenario_19,541667.2327123905,2406.8131108938246,539260.4196014967,541239.4593620441,427.7733503463678,-1979.0397605474573
62,scenario_19,541570.5749224005,1012.4447160538214,540558.1302063467,541239.4593620441,331.11556035641115,-681.3291556973709
63,scenario_19,556827.6093782573,8502.839038350408,548324.7703399069,541239.4593620441,15588.150016213185,7085.310977862799
73,scenario_19,546282.6993033699,1691.321910827222,544591.3773925427,541239.4593620441,5043.239941325737,3351.9180304985493
90,scenario_19,542802.8833228137,1785.6029212031124,541017.2804016105,541239.4593620441,1563.423960769549,-222.17896043357905
94,scenario_19,541213.7720025247,116.19101922106178,541097.5809833036,541239.4593620441,-25.68735951941926,-141.87837874051183
103,scenario_19,555740.259149304,8183.895174058177,547556.3639752459,541239.4593620441,14500.799787259893,6316.904613201739
104,scenario_19,541988.059017279,865.3972417784448,541122.6617755005,541239.4593620441,748.599655234837,-116.79758654360194
109,scenario_19,563595.4993590092,8627.015160281537,554968.4841987276,541239.4593620441,22356.03999696509,13729.02483668353
114,scenario_19,544011.3827429983,1978.8387491324906,542032.5439938658,541239.4593620441,2771.923380954191,793.0846318217227
126,scenario_19,555596.7929620794,7145.681157251567,548451.1118048278,541239.4593620441,14357.333600035287,7211.652442783699
140,scenario_19,541888.2682862545,485.30825911865963,541402.9600271358,541239.4593620441,648.8089242103742,163.50066509167664
143,scenario_19,541377.0105449918,92.59347889732238,541284.4170660945,541239.4593620441,137.55118294770364,44.95770405035
144,scenario_19,549826.2089951608,2421.219680398029,547404.9893147628,541239.4593620441,8586.749633116648,6165.5299527186435
150,scenario_19,550527.9265536184,3697.7686670532976,546830.1578865651,541239.4593620441,9288.46719157428,5590.698524520965
152,scenario_19,510683.9438029451,0.0,510683.9438029451,541239.4593620441,-30555.515559099033,-30555.515559099033
176,scenario_19,543890.8472709152,5739.218025154499,538151.6292457606,541239.4593620441,2651.387908871053,-3087.830116283498
177,scenario_19,541318.3251348925,683.9740681504214,540634.3510667421,541239.4593620441,78.86577284836676,-605.1082953020232
195,scenario_19,550924.7492486541,4548.553828449282,546376.1954202048,541239.4593620441,9685.28988661,5136.736058160663
197,scenario_19,543287.8766343256,1486.297700041337,541801.5789342843,541239.4593620441,2048.4172722814837,562.1195722401608
201,scenario_19,555911.8771997504,7787.522187779772,548124.3550119706,541239.4593620441,14672.417837706278,6884.895649926504
202,scenario_19,547060.8653534842,3634.202799998984,543426.6625534851,541239.4593620441,5821.405991440057,2187.203191441018
206,scenario_19,543108.2134903534,2271.7303465947602,540836.4831437587,541239.4593620441,1868.754128309316,-402.9762182853883
209,scenario_19,546842.8791109552,7574.418221571698,539268.4608893835,541239.4593620441,5603.419748911052,-1970.9984726606635
227,scenario_19,542323.3652794507,1489.0195107134346,540834.3457687373,541239.4593620441,1083.9059174065478,-405.1135933068581
233,scenario_19,542919.6158375975,1500.1813971397514,541419.4344404577,541239.4593620441,1680.1564755534055,179.9750784136122
240,scenario_19,542467.5641588836,1520.8708329262627,540946.6933259574,541239.4593620441,1228.1047968395287,-292.76603608671576
243,scenario_19,557990.602240085,15237.459675493095,542753.142564592,541239.4593620441,16751.142878040904,1513.6832025478361
245,scenario_19,550945.360645618,2364.104361958698,548581.2562836594,541239.4593620441,9705.901283573941,7341.796921615256
249,scenario_19,556022.7427756463,8316.007753172817,547706.7350224735,541239.4593620441,14783.283413602156,6467.275660429383
250,scenario_19,545219.0157698517,4607.602180382415,540611.4135894693,541239.4593620441,3979.5564078076277,-628.045772574842
254,scenario_19,505506.10461031925,0.0,505506.10461031925,541239.4593620441,-35733.354751724866,-35733.354751724866
255,scenario_19,543817.6065342946,1939.6287346111194,541877.9777996835,541239.4593620441,2578.1471722504357,638.5184376393445
261,scenario_19,545941.9724970505,1814.0504075316742,544127.9220895189,541239.4593620441,4702.513135006418,2888.462727474747
267,scenario_19,542200.3989473531,1625.9068345257474,540574.4921128274,541239.4593620441,960.93958530901,-664.9672492167447
270,scenario_19,544145.9659643394,2384.4595654968243,541761.5063988427,541239.4593620441,2906.506602295325,522.0470367985545
273,scenario_19,542871.5336703009,1793.6209382188038,541077.9127320821,541239.4593620441,1632.074308256735,-161.5466299620457
277,scenario_19,549820.0475088423,4133.601692748056,545686.4458160943,541239.4593620441,8580.588146798196,4446.986454050173
284,scenario_19,543849.2449639348,2979.8831418651002,540869.3618220696,541239.4593620441,2609.785601890646,-370.097539974493
285,scenario_19,556448.2495473564,8852.920406194538,547595.3291411619,541239.4593620441,15208.790185312275,6355.869779117755
289,scenario_19,555762.9413630025,8165.087500273709,547597.8538627288,541239.4593620441,14523.482000958407,6358.394500684692
308,scenario_19,548227.3015068835,7377.711058984979,540849.5904478985,541239.4593620441,6987.842144839349,-389.86891414562706
331,scenario_19,556222.0355609518,7590.520422759313,548631.5151381925,541239.4593620441,14982.576198907685,7392.055776148336
334,scenario_19,539551.3928326012,4438.133241569638,535113.2595910316,541239.4593620441,-1688.0665294429054,-6126.199771012529
348,scenario_19,560338.0516403532,12592.29867950305,547745.7529608501,541239.4593620441,19098.59227830905,6506.29359880602
351,scenario_19,555366.3230745044,1928.6313167165001,553437.6917577878,541239.4593620441,14126.863712460268,12198.232395743718
356,scenario_19,548926.6506367212,2533.0861350382843,546393.5645016829,541239.4593620441,7687.191274677054,5154.105139638763
358,scenario_19,554524.8054832107,7108.061124913739,547416.744358297,541239.4593620441,13285.3461211666,6177.284996252856
390,scenario_19,547309.4714522142,1640.1409163984447,545669.3305358157,541239.4593620441,6070.0120901700575,4429.871173771564
392,scenario_19,541452.9027494912,426.19775722306855,541026.7049922681,541239.4593620441,213.44338744704146,-212.75436977599747
394,scenario_19,544431.1947531677,2755.6977007344904,541675.4970524332,541239.4593620441,3191.7353911235696,436.0376903890865
423,scenario_19,541399.9497625884,4682.200053435251,536717.7497091531,541239.4593620441,160.49040054425132,-4521.709652891033
459,scenario_19,550032.3483988168,8584.525534254151,541447.8228645626,541239.4593620441,8792.889036772656,208.36350251850672
464,scenario_19,541248.3929300605,43.09671199589827,541205.2962180646,541239.4593620441,8.93356801639311,-34.16314397950191
469,scenario_19,550531.9861713791,4875.137719041277,545656.8484523378,541239.4593620441,9292.526809334988,4417.389090293669
486,scenario_19,556460.3475003176,8417.88053419195,548042.4669661256,541239.4593620441,15220.888138273498,6803.007604081533
493,scenario_19,541287.581651408,190.1079463289323,541097.473705079,541239.4593620441,48.12228936387692,-141.9856569650583
499,scenario_19,550117.584949329,2669.597006777762,547447.9879425513,541239.4593620441,8878.125587284914,6208.528580507147
517,scenario_19,542491.7654648062,882.135210202108,541609.6302546042,541239.4593620441,1252.3061027621152,370.17089256003965
521,scenario_19,561921.2156535609,8748.259936531773,553172.9557170292,541239.4593620441,20681.756291516824,11933.49635498505
531,scenario_19,552095.8125537718,5121.32247053022,546974.4900832416,541239.4593620441,10856.353191727656,5735.030721197487
533,scenario_19,545076.146673426,3830.7630896746364,541245.3835837514,541239.4593620441,3836.6873113819165,5.924221707275137
538,scenario_19,543566.0667133927,2095.722678436228,541470.3440349565,541239.4593620441,2326.607351348619,230.88467291241977
540,scenario_19,543392.2688449577,3873.3830191741213,539518.8858257836,541239.4593620441,2152.8094829135807,-1720.5735362605192
546,scenario_19,542621.3492764594,989.6805622042575,541631.6687142552,541239.4593620441,1381.889914415311,392.2093522110954
550,scenario_19,544498.7727015931,2939.120013545899,541559.6526880473,541239.4593620441,3259.3133395490004,320.193326003151
552,scenario_19,544609.970154142,914.6486372317653,543695.3215169102,541239.4593620441,3370.5107920978917,2455.862154866103
556,scenario_19,543128.8053683408,1978.353789991871,541150.451578349,541239.4593620441,1889.3460062966915,-89.00778369512409
557,scenario_19,504960.8489904744,0.0,504960.8489904744,541239.4593620441,-36278.610371569695,-36278.610371569695
558,scenario_19,557839.4874835196,12222.565195985497,545616.9222875341,541239.4593620441,16600.02812147548,4377.462925489992
564,scenario_19,555976.5324992795,8580.349541151736,547396.1829581277,541239.4593620441,14737.073137235362,6156.723596083582
565,scenario_19,547227.6902868629,7226.4441483498995,540001.246138513,541239.4593620441,5988.230924818781,-1238.2132235311437
569,scenario_19,543081.4337421367,2998.470621142135,540082.9631209945,541239.4593620441,1841.974380092579,-1156.4962410496082
594,scenario_19,548953.8542721398,9204.117145801665,539749.7371263382,541239.4593620441,7714.394910095725,-1489.7222357059363
602,scenario_19,547160.6988178327,7079.016435340014,540081.6823824927,541239.4593620441,5921.239455788629,-1157.7769795514178
612,scenario_19,563581.6472061675,8606.22122935263,554975.4259768148,541239.4593620441,22342.187844123342,13735.966614770703
614,scenario_19,543625.53389325,1377.1569622105264,542248.3769310395,541239.4593620441,2386.07453120593,1008.9175689953845
625,scenario_19,544905.4504034212,4075.0042592066175,540830.4461442146,541239.4593620441,3665.9910413770704,-409.0132178295171
627,scenario_19,544150.7860373621,3196.140782827619,540954.6452545344,541239.4593620441,2911.3266753179487,-284.81410750967916
628,scenario_19,543970.123082782,2253.537284324322,541716.5857984577,541239.4593620441,2730.66372073791,477.126436413615
629,scenario_19,543176.0423416542,1868.2324580165548,541307.8098836376,541239.4593620441,1936.5829796100734,68.35052159347106
648,scenario_19,544340.0758384785,3312.1962660212535,541027.8795724573,541239.4593620441,3100.6164764343994,-211.57978958683088
662,scenario_19,561800.0833945236,9427.234504890526,552372.8488896331,541239.4593620441,20560.624032479478,11133.389527588966
669,scenario_19,539824.1257303972,1066.43231651782,538757.6934138794,541239.4593620441,-1415.3336316469358,-2481.7659481647424
670,scenario_19,545211.825360951,3423.6324806728003,541788.1928802782,541239.4593620441,3972.3659989068983,548.7335182341048
673,scenario_19,540452.1097438352,1094.8030321340846,539357.3067117011,541239.4593620441,-787.3496182089439,-1882.1526503430214
678,scenario_19,552363.2118016053,3561.126231809387,548802.0855697959,541239.4593620441,11123.752439561184,7562.626207751804
680,scenario_19,547128.5541040705,6887.3987526850515,540241.1553513855,541239.4593620441,5889.094742026413,-998.3040106586413
682,scenario_19,557865.8350544157,12248.912552361602,545616.9225020541,541239.4593620441,16626.37569237163,4377.463140010019
689,scenario_19,556429.802392506,8746.59988798093,547683.2025045251,541239.4593620441,15190.343030461925,6443.743142480962
694,scenario_19,545226.0060160308,6146.523323052177,539079.4826929786,541239.4593620441,3986.5466539866757,-2159.976669065538
726,scenario_19,543954.2191913808,2611.7462052134724,541342.4729861673,541239.4593620441,2714.759829336661,103.01362412318122
736,scenario_19,541308.2171910864,3.9990733684666484,541304.2181177179,541239.4593620441,68.75782904226799,64.75875567377079
750,scenario_19,556863.3549710199,9019.731535624152,547843.6234353958,541239.4593620441,15623.895608975785,6604.164073351654
755,scenario_19,545517.375710934,4907.00254254209,540610.373168392,541239.4593620441,4277.916348889936,-629.0861936521251
