scenario,status_quo_veh_km,development_mean_veh_km,development_median_veh_km,development_min_veh_km,development_max_veh_km,mean_delta_veh_km,median_delta_veh_km,mean_delta_pct,median_delta_pct,n_developments
scenario_19,541239.4593620441,546736.6656386198,545215.4205654014,504960.8489904744,563595.4993590092,5497.206276575715,3975.961203357263,1.0156699001686316,0.7346029810989216,138
scenario_26,245376.64368814207,246425.96490409126,247180.4665635199,47258.55092207876,255496.6944432409,1049.3212159491902,1803.8228753778385,0.4276369585048241,0.7351241129821554,139
scenario_44,414226.4009526994,418432.88080016803,417273.9677074916,386450.4303533888,431336.9362123303,4206.479847468615,3047.5667547922058,1.0155025941837428,0.7357248953188302,138
scenario_64,512687.96968057886,517898.4267419464,516462.33075111255,478266.86155597115,533889.7961584552,5210.457061367539,3774.3610705336614,1.0163017994383252,0.7361906839525043,138
scenario_70,338579.30395679234,342016.2011609263,341070.6153688713,315906.2816514297,352548.4788819256,3436.897204133956,2491.3114120789687,1.015093705955682,0.7358132593942884,138
scenario_75,415051.19567632925,419266.463082594,418105.1160159021,387214.27192733984,432198.53141630144,4215.267406264751,3053.9203395728255,1.0156017980856407,0.7357936494066564,138
scenario_78,562067.9056858013,567779.9617345278,566204.2465030912,524346.9100016893,585306.321420459,5712.056048726592,4136.340817289834,1.0162572868765896,0.7359147845744584,138
scenario_89,347030.8183515454,350555.4433940644,349586.6067248784,323758.1064322369,361364.3078518157,3524.625042519015,2555.788373333082,1.0156518833864887,0.7364730272295428,138
scenario_96,368308.10862877563,370052.02472848305,371016.67651400086,94389.20286736176,383527.8868362358,1743.9160997074357,2708.5678852252313,0.47349381098344484,0.7354081601160852,139
scenario_100,358854.22068416275,362813.5113273768,361497.32937590015,334802.5358584456,406354.03754125343,3959.290643214057,2643.108691737405,1.1033144979221898,0.7365410630250538,139
