mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100000,scenario_1,7048189.5359754,-1329118.6567644724,1329118.6567644724,5.302904673035811
Rail,100000,scenario_10,7013847.084412595,-1329118.6567644724,1329118.6567644724,5.27706615862777
Rail,100000,scenario_100,4250042.75456093,-1329118.6567644724,1329118.6567644724,3.1976398291684367
Rail,100000,scenario_11,5334185.209988706,-1329118.6567644724,1329118.6567644724,4.013325057804794
Rail,100000,scenario_12,8676506.691261664,-1329118.6567644724,1329118.6567644724,6.528015122730454
Rail,100000,scenario_13,5478886.08025456,-1329118.6567644724,1329118.6567644724,4.1221948487218105
Rail,100000,scenario_14,6039193.58058957,-1329118.6567644724,1329118.6567644724,4.5437580383462715
Rail,100000,scenario_15,4174456.8412865014,-1329118.6567644724,1329118.6567644724,3.140770630252495
Rail,100000,scenario_16,6528970.255375653,-1329118.6567644724,1329118.6567644724,4.912255367229131
Rail,100000,scenario_17,6607227.124926121,-1329118.6567644724,1329118.6567644724,4.971134135616126
Rail,100000,scenario_18,3442921.536415376,-1329118.6567644724,1329118.6567644724,2.5903793607085612
Rail,100000,scenario_19,5244557.471540235,-1329118.6567644724,1329118.6567644724,3.9458910947102908
Rail,100000,scenario_2,3457863.0240525063,-1329118.6567644724,1329118.6567644724,2.601621011377662
Rail,100000,scenario_20,7421112.927293968,-1329118.6567644724,1329118.6567644724,5.5834841302728275
Rail,100000,scenario_21,6679048.930033874,-1329118.6567644724,1329118.6567644724,5.025171301329073
Rail,100000,scenario_22,5448634.240398279,-1329118.6567644724,1329118.6567644724,4.099434021686304
Rail,100000,scenario_23,3712781.303173833,-1329118.6567644724,1329118.6567644724,2.793415986058015
Rail,100000,scenario_24,7089972.180847441,-1329118.6567644724,1329118.6567644724,5.334341027238944
Rail,100000,scenario_25,5533106.676080044,-1329118.6567644724,1329118.6567644724,4.162989246986805
Rail,100000,scenario_26,3397582.0365480096,-1329118.6567644724,1329118.6567644724,2.5562669060856327
Rail,100000,scenario_27,4902231.901818218,-1329118.6567644724,1329118.6567644724,3.6883327736531215
