mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label,rank
Rail,100001,100,18635895.53786586,19293614.17747616,-1733979.1735291178,-1733979.1735291176,10.74747368501362,11.126785414733918,2.948419982625977,1733979.1735291178,1733979.1735291176,18.63589553786586,-1.733979173529118,1.733979173529118,16.901916364336742,G (100001),Rail G (100001),1
Rail,100000,100,5886527.116657844,6094070.04283439,-1329118.6567644724,-1329118.6567644724,4.42889510782104,4.585045896255367,1.2162954106099575,1329118.6567644724,1329118.6567644724,5.8865271166578435,-1.3291186567644724,1.3291186567644724,4.557408459893371,G (100000),Rail G (100000),2
Rail,101016,100,10536145.223664131,10904617.59902443,-3465799.7699635723,-3465799.769963572,3.040032870616433,3.146349565121889,0.8284560254136606,3465799.7699635723,3465799.769963572,10.53614522366413,-3.465799769963572,3.465799769963572,7.070345453700558,X16 (101016),Rail X16 (101016),3
Rail,100002,100,6901938.45192276,7144232.181746602,-3067252.32034274,-3067252.32034274,2.2502023736839254,2.3291961128741745,0.6115313604827085,3067252.32034274,3067252.32034274,6.90193845192276,-3.06725232034274,3.06725232034274,3.83468613158002,G (100002),Rail G (100002),4
Rail,101007,100,14410657.908879656,14916928.08645102,-6768283.354137817,-6768283.354137817,2.129145184217154,2.2039455658031066,0.5791160451478495,6768283.354137817,6768283.354137817,14.410657908879656,-6.768283354137817,6.768283354137817,7.642374554741839,X7 (101007),Rail X7 (101007),5
Rail,100005,100,7063413.027787036,7311554.957253001,-3394544.7283522543,-3394544.7283522543,2.0808130671519205,2.1539132762590234,0.5659438422178414,3394544.7283522543,3394544.7283522543,7.063413027787036,-3.3945447283522543,3.3945447283522543,3.668868299434782,P (100005),Rail P (100005),6
Rail,101012,100,14292808.623802885,14790065.885086544,-6870000.610543769,-6870000.610543769,2.080466863695314,2.1528478268819096,0.5635008745053306,6870000.610543769,6870000.610543769,14.292808623802886,-6.8700006105437685,6.8700006105437685,7.422808013259117,X12 (101012),Rail X12 (101012),7
Rail,101010,100,8684148.930116883,8989058.563065173,-5578279.183805819,-5578279.183805819,1.5567791865505132,1.6114393465929626,0.4231888148201846,5578279.183805819,5578279.183805819,8.684148930116882,-5.578279183805819,5.578279183805819,3.105869746311063,X10 (101010),Rail X10 (101010),8
Rail,101011,100,12632309.952170152,12878595.411381008,-8732862.475517157,-8732862.475517157,1.4465256939045144,1.4747278395241583,0.33730060392462907,8732862.475517157,8732862.475517157,12.632309952170152,-8.732862475517157,8.732862475517157,3.8994474766529947,X11 (101011),Rail X11 (101011),9
Rail,101008,100,7903333.286240043,8177401.213539585,-6198999.814705556,-6198999.814705556,1.2749368482785544,1.3191484849121582,0.3450146604017962,6198999.814705556,6198999.814705556,7.903333286240043,-6.198999814705556,6.198999814705556,1.704333471534487,X8 (101008),Rail X8 (101008),10
