mode,development,score_id,value_mio_chf,development_label,ranking_label,ranking_label_short,bcr_mean,plot_group,plot_order
Rail,100000,rail_accident_cost,-0.01994781541306757,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_airpollution_cost,-0.09069475013109245,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_co2_cost,-0.002667492650914484,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_construction_cost,0.0,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_land_consumption_cost,0.0,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_maint_cost,0.0,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_noise_cost,-0.02098413426554671,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_operation_cost,-1.194824464303851,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100000,rail_tts_cost,6.09407004283439,G (100000),Rail G (100000),G (100000),4.585045896255367,Rail top 10,1
Rail,100001,rail_accident_cost,-0.02590639795283632,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_airpollution_cost,-0.11778604526237783,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_co2_cost,-0.0034642954488934663,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_construction_cost,0.0,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_land_consumption_cost,0.0,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_maint_cost,0.0,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_noise_cost,-0.03509371595164418,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_operation_cost,-1.5517287189133662,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100001,rail_tts_cost,19.29361417747616,G (100001),Rail G (100001),G (100001),11.126785414733918,Rail top 10,0
Rail,100002,rail_accident_cost,-0.026265546000008272,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_airpollution_cost,-0.1194189480000376,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_co2_cost,-0.0035123220000011063,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_construction_cost,-0.732040428190727,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_land_consumption_cost,-0.002701245112781955,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_maint_cost,-0.579195,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_noise_cost,-0.030878038538663798,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_operation_cost,-1.5732407925005205,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
Rail,100002,rail_tts_cost,7.144232181746603,G (100002),Rail G (100002),G (100002),2.3291961128741745,Rail top 10,3
