development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
100000,rail_accident_cost,,standalone_annual_proxy,G (100000),,22
100000,rail_airpollution_cost,,standalone_annual_proxy,G (100000),,22
100000,rail_co2_cost,,standalone_annual_proxy,G (100000),,22
100000,rail_construction_cost,0.0,standalone_annual_proxy,G (100000),0.0,22
100000,rail_land_consumption_cost,,standalone_annual_proxy,G (100000),,22
100000,rail_maint_cost,0.0,standalone_annual_proxy,G (100000),0.0,22
100000,rail_noise_cost,,standalone_annual_proxy,G (100000),,22
100000,rail_operation_cost,1132535.0372548352,standalone_annual_proxy,G (100000),1.1325350372548353,22
100000,rail_tts_cost,4807217.980315198,standalone_annual_proxy,G (100000),4.807217980315198,22
100001,rail_accident_cost,,standalone_annual_proxy,G (100001),,0
100001,rail_airpollution_cost,,standalone_annual_proxy,G (100001),,0
100001,rail_co2_cost,,standalone_annual_proxy,G (100001),,0
100001,rail_construction_cost,0.0,standalone_annual_proxy,G (100001),0.0,0
100001,rail_land_consumption_cost,,standalone_annual_proxy,G (100001),,0
100001,rail_maint_cost,0.0,standalone_annual_proxy,G (100001),0.0,0
100001,rail_noise_cost,,standalone_annual_proxy,G (100001),,0
100001,rail_operation_cost,1470832.908922622,standalone_annual_proxy,G (100001),1.470832908922622,0
100001,rail_tts_cost,15219697.186333433,standalone_annual_proxy,G (100001),15.219697186333432,0
100002,rail_accident_cost,,standalone_annual_proxy,G (100002),,19
100002,rail_airpollution_cost,,standalone_annual_proxy,G (100002),,19
100002,rail_co2_cost,,standalone_annual_proxy,G (100002),,19
100002,rail_construction_cost,457500.0,standalone_annual_proxy,G (100002),0.4575,19
100002,rail_land_consumption_cost,,standalone_annual_proxy,G (100002),,19
100002,rail_maint_cost,549000.0,standalone_annual_proxy,G (100002),0.549,19
100002,rail_noise_cost,,standalone_annual_proxy,G (100002),,19
100002,rail_operation_cost,1491223.5000004936,standalone_annual_proxy,G (100002),1.4912235000004936,19
100002,rail_tts_cost,5634586.490011114,standalone_annual_proxy,G (100002),5.634586490011114,19
100003,rail_accident_cost,,standalone_annual_proxy,P (100003),,32
100003,rail_airpollution_cost,,standalone_annual_proxy,P (100003),,32
100003,rail_co2_cost,,standalone_annual_proxy,P (100003),,32
100003,rail_construction_cost,457500.0,standalone_annual_proxy,P (100003),0.4575,32
100003,rail_land_consumption_cost,,standalone_annual_proxy,P (100003),,32
100003,rail_maint_cost,549000.0,standalone_annual_proxy,P (100003),0.549,32
100003,rail_noise_cost,,standalone_annual_proxy,P (100003),,32
100003,rail_operation_cost,1249186.448497714,standalone_annual_proxy,P (100003),1.249186448497714,32
100003,rail_tts_cost,1756398.2463104248,standalone_annual_proxy,P (100003),1.7563982463104248,32
100004,rail_accident_cost,,standalone_annual_proxy,P (100004),,31
100004,rail_airpollution_cost,,standalone_annual_proxy,P (100004),,31
100004,rail_co2_cost,,standalone_annual_proxy,P (100004),,31
100004,rail_construction_cost,457500.0,standalone_annual_proxy,P (100004),0.4575,31
100004,rail_land_consumption_cost,,standalone_annual_proxy,P (100004),,31
100004,rail_maint_cost,549000.0,standalone_annual_proxy,P (100004),0.549,31
100004,rail_noise_cost,,standalone_annual_proxy,P (100004),,31
100004,rail_operation_cost,1366327.1115340572,standalone_annual_proxy,P (100004),1.3663271115340572,31
100004,rail_tts_cost,1943003.840319013,standalone_annual_proxy,P (100004),1.943003840319013,31
100005,rail_accident_cost,,standalone_annual_proxy,P (100005),,18
100005,rail_airpollution_cost,,standalone_annual_proxy,P (100005),,18
100005,rail_co2_cost,,standalone_annual_proxy,P (100005),,18
100005,rail_construction_cost,457500.0,standalone_annual_proxy,P (100005),0.4575,18
100005,rail_land_consumption_cost,,standalone_annual_proxy,P (100005),,18
100005,rail_maint_cost,549000.0,standalone_annual_proxy,P (100005),0.549,18
100005,rail_noise_cost,,standalone_annual_proxy,P (100005),,18
100005,rail_operation_cost,1772511.8780511147,standalone_annual_proxy,P (100005),1.7725118780511147,18
100005,rail_tts_cost,5766671.263448367,standalone_annual_proxy,P (100005),5.766671263448367,18
101000,rail_accident_cost,,standalone_annual_proxy,X0 (101000),,13
