development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
0,road_accident_cost,,standalone_annual_proxy,0,,2
0,road_airpollution_cost,,standalone_annual_proxy,0,,2
0,road_climate_cost,-219924.64394040313,standalone_annual_proxy,0,-0.21992464394040312,2
0,road_co2_cost,,standalone_annual_proxy,0,,2
0,road_construction_cost,-3816953.5260029384,standalone_annual_proxy,0,-3.8169535260029384,2
0,road_ecological_disruption_cost,-710437.4218694746,standalone_annual_proxy,0,-0.7104374218694746,2
0,road_land_consumption_cost,-46377.68640486368,standalone_annual_proxy,0,-0.04637768640486368,2
0,road_maint_cost,-2128372.97034406,standalone_annual_proxy,0,-2.12837297034406,2
0,road_noise_cost,-7655182.065570948,standalone_annual_proxy,0,-7.655182065570948,2
0,road_tts_cost,2537276.8437483357,standalone_annual_proxy,0,2.5372768437483355,2
103,road_accident_cost,,standalone_annual_proxy,103,,111
103,road_airpollution_cost,,standalone_annual_proxy,103,,111
103,road_climate_cost,-440578.2300220169,standalone_annual_proxy,103,-0.4405782300220169,111
103,road_co2_cost,,standalone_annual_proxy,103,,111
103,road_construction_cost,-6491417.956595839,standalone_annual_proxy,103,-6.491417956595839,111
103,road_ecological_disruption_cost,-1021005.69736768,standalone_annual_proxy,103,-1.02100569736768,111
103,road_land_consumption_cost,-80166.75102873528,standalone_annual_proxy,103,-0.08016675102873527,111
103,road_maint_cost,-4031434.3203598512,standalone_annual_proxy,103,-4.0314343203598515,111
103,road_noise_cost,-10686915.800475284,standalone_annual_proxy,103,-10.686915800475285,111
103,road_tts_cost,-5061930.541310771,standalone_annual_proxy,103,-5.061930541310772,111
104,road_accident_cost,,standalone_annual_proxy,104,,33
104,road_airpollution_cost,,standalone_annual_proxy,104,,33
104,road_climate_cost,-90049.4821352756,standalone_annual_proxy,104,-0.0900494821352756,33
104,road_co2_cost,,standalone_annual_proxy,104,,33
104,road_construction_cost,-3156249.8477229197,standalone_annual_proxy,104,-3.1562498477229197,33
104,road_ecological_disruption_cost,-266283.8302421902,standalone_annual_proxy,104,-0.2662838302421902,33
104,road_land_consumption_cost,-2770.2230637444213,standalone_annual_proxy,104,-0.0027702230637444212,33
104,road_maint_cost,-1656002.2441377095,standalone_annual_proxy,104,-1.6560022441377096,33
104,road_noise_cost,-22779409.5753967,standalone_annual_proxy,104,-22.779409575396702,33
104,road_tts_cost,53668.31989127223,standalone_annual_proxy,104,0.05366831989127223,33
109,road_accident_cost,,standalone_annual_proxy,109,,132
109,road_airpollution_cost,,standalone_annual_proxy,109,,132
109,road_climate_cost,-1013657.6766594506,standalone_annual_proxy,109,-1.0136576766594507,132
109,road_co2_cost,,standalone_annual_proxy,109,,132
