development,scenario,tts_minutes,component
0,scenario_100,5045.080164079904,total
2,scenario_100,-10133.33674671396,total
12,scenario_100,-975.8574298978784,total
15,scenario_100,3621.642338798149,total
17,scenario_100,-4745.749310891086,total
25,scenario_100,-11878.653123218332,total
27,scenario_100,-11212.86186024407,total
28,scenario_100,-1764.3441052132985,total
57,scenario_100,3702.373165420606,total
62,scenario_100,847.377862932859,total
63,scenario_100,-12532.64873148396,total
73,scenario_100,-5350.191412388522,total
90,scenario_100,72.58103616000153,total
94,scenario_100,115.00770059321076,total
103,scenario_100,-11056.65976886818,total
104,scenario_100,101.00764492398594,total
109,scenario_100,-22466.928685746156,total
114,scenario_100,-500.8670606670202,total
126,scenario_100,-12846.45038474386,total
140,scenario_100,-231.92280573077733,total
143,scenario_100,-76.96424305805704,total
144,scenario_100,-9608.864715528442,total
150,scenario_100,-9633.386432145664,total
176,scenario_100,2356.1807861980633,total
177,scenario_100,206.50392953277333,total
195,scenario_100,-9300.741239747964,total
197,scenario_100,-928.3192665939569,total
201,scenario_100,-12204.282073146082,total
202,scenario_100,-4693.655162066745,total
206,scenario_100,52.98149987391662,total
209,scenario_100,-462.8975443957024,total
227,scenario_100,132.54713780549355,total
233,scenario_100,-669.4351826976053,total
240,scenario_100,-24.566346490639265,total
243,scenario_100,-6895.481517817418,total
245,scenario_100,-10839.000088617962,total
249,scenario_100,-11840.635720035643,total
250,scenario_100,749.0856689008651,total
255,scenario_100,-1048.1749946256168,total
261,scenario_100,-4935.911386694177,total
267,scenario_100,70.98018688522279,total
270,scenario_100,-1075.270175291458,total
273,scenario_100,120.51218315272126,total
277,scenario_100,-6881.694639231311,total
284,scenario_100,-639.0000456621638,total
285,scenario_100,-11698.02765950549,total
289,scenario_100,-11414.265641459497,total
308,scenario_100,-1928.6614887500184,total
331,scenario_100,-13052.58444793732,total
334,scenario_100,7597.98527568311,total
348,scenario_100,-13414.172361256671,total
351,scenario_100,-20316.87792633212,total
356,scenario_100,-8974.52292354952,total
358,scenario_100,-10213.600642122035,total
390,scenario_100,-7505.328513519024,total
392,scenario_100,332.83494012837764,total
394,scenario_100,18.141630700032692,total
423,scenario_100,4966.370719855651,total
459,scenario_100,-3085.262807953113,total
464,scenario_100,-9.7636597402161,total
469,scenario_100,-7008.263341744547,total
486,scenario_100,-12098.507107731071,total
493,scenario_100,-20.62097210570937,total
499,scenario_100,-9759.586103291134,total
517,scenario_100,-304.65046451753005,total
521,scenario_100,-19876.12094662513,total
531,scenario_100,-10629.128406856384,total
533,scenario_100,-1079.5325493913842,total
538,scenario_100,252.71957311965525,total
540,scenario_100,1637.958596554352,total
546,scenario_100,-1677.6992161640082,total
550,scenario_100,120.15058297169162,total
552,scenario_100,-4083.71264769102,total
556,scenario_100,-1325.9959070760524,total
558,scenario_100,-10081.761656938235,total
564,scenario_100,-10963.016779298312,total
565,scenario_100,-1278.7586888251244,total
