development,scenario,delta_vkm_peak_hour,delta_vkm_peak_hour_new_link,delta_vkm_peak_hour_existing_network,delta_vkm_peak_hour_noise_relevant,road_accident_cost_annual,road_airpollution_cost_annual,road_co2_cost_annual,road_noise_cost_annual,road_land_consumption_cost,pop_50m_sum,empl_50m_sum,mean_surface_share,mean_settlement_buffer_share,mean_noise_relevant_share,delta_vkm_annualized,delta_vkm_annualized_noise_relevant
0,scenario_100,-716.9348467949944,1990.737299874707,-2707.6721466697018,-537.7209752219114,-37822.79401122843,-8343.329279576748,-9432.174078146649,-5007.526581754051,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-448084.27924687153,-336075.60951369465
0,scenario_19,-1095.0825009961663,3001.918761113124,-4097.00126210929,-814.9745967348172,-57772.446193179,-12744.022605342892,-14407.179153730807,-7589.450932092985,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-684426.5631226039,-509359.1229592607
0,scenario_26,-474.68859408564595,1360.6130313556532,-1835.3016254412992,-362.8802869803687,-25042.79014173086,-5524.188513671705,-6245.121815939281,-3379.3226725046825,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-296680.3713035287,-226800.1793627304
0,scenario_44,-833.7123872011871,2298.6348290188766,-3132.347216220064,-622.6368776819063,-43983.539127282624,-9702.327906053815,-10968.528594115614,-5798.305923412752,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-521070.24200074194,-389148.04855119146
0,scenario_64,-1037.8502357380055,2847.711453540796,-3885.5616892788016,-772.7840723034589,-54753.08649915314,-12077.982118401036,-13654.21716392813,-7196.551673325961,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-648656.3973362535,-482990.0451896618
0,scenario_70,-673.4127642105948,1876.9131402884263,-2550.325904499022,-506.2283396196355,-35526.73214188519,-7836.841043500797,-8859.586679145636,-4714.251412707856,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-420882.97763162176,-316392.7122622722
0,scenario_75,-835.4018606857153,2303.624771991967,-3139.026632677682,-623.9479433397798,-44072.669412800766,-9721.98915373001,-10990.755729646437,-5810.515222351699,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-522126.162928572,-389967.4645873624
0,scenario_78,-1138.557790551757,3120.7029676833768,-4259.260758235134,-847.2147175209286,-60066.039437796135,-13249.96628754607,-14979.150931946557,-7889.687056913647,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-711598.6190948482,-529509.1984505804
0,scenario_89,-692.0912808850094,1926.204403722786,-2618.2956846077955,-519.7945054818805,-36512.14063718979,-8054.212281299297,-9105.325914143406,-4840.586332300012,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-432557.05055313086,-324871.56592617533
0,scenario_96,-737.4523771843992,2045.1560965719343,-2782.6084737563333,-552.6749493742708,-38905.22197383447,-8582.102039483449,-9702.107837332253,-5146.785466047897,102967.78920474809,7251.062678355868,5201.290276065105,0.8069739402204477,0.3287669302916102,0.2609075798711466,-460907.7357402495,-345421.84335891926
2,scenario_100,8722.602249650712,4638.042795509469,4084.559454141243,2190.5556568263096,460171.7849331354,101509.28368031018,114756.73584696716,20399.549554195008,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,5451626.406031695,1369097.2855164434
2,scenario_19,13163.835947325322,6992.722163602932,6171.1137837223905,3306.795427441635,694474.6201960815,153194.14083699847,173186.71668199878,30794.53241805023,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,8227397.467078326,2066747.142151022
2,scenario_26,5959.616268590647,3171.011802294173,2788.6044662964746,1496.360262340036,314407.0057698353,69355.03432572365,78406.2015336457,13934.854943041586,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,3724760.167869155,935225.1639625224
2,scenario_44,10072.26371256063,5354.420774320267,4717.842938240363,2529.715836993461,531374.8624857768,117215.96895492432,132513.21946837578,23557.978732001604,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,6295164.820350395,1581072.3981209132
2,scenario_64,12476.00847182356,6630.9233124088805,5845.08515941468,3133.7308487595137,658187.4219416417,145189.5485908467,164137.48645742872,29182.86852907297,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,7797505.294889725,1958581.780474696
2,scenario_70,8226.813569302472,4373.908696490569,3852.904872811903,2066.04264773069,434015.83336551354,95739.54291275752,108234.01602113564,19240.02215699205,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,5141758.480814045,1291276.6548316814
2,scenario_75,10093.203264989848,5365.751099552639,4727.452165437207,2534.9654774277933,532479.5547486206,117459.65299631936,132788.70545502266,23606.866008546327,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,6308252.040618654,1584353.4233923708
