mode,development,scenario,score_id,standalone_value,integrated_value
Rail,100000,scenario_1,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_1,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_1,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_1,rail_construction_cost,0.0,0.0
Rail,100000,scenario_1,rail_land_consumption_cost,,0.0
Rail,100000,scenario_1,rail_maint_cost,0.0,0.0
Rail,100000,scenario_1,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_1,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_1,rail_tts_cost,7637758.917807182,7048189.5359754
Rail,100000,scenario_2,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_2,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_2,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_2,rail_construction_cost,0.0,0.0
Rail,100000,scenario_2,rail_land_consumption_cost,,0.0
Rail,100000,scenario_2,rail_maint_cost,0.0,0.0
Rail,100000,scenario_2,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_2,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_2,rail_tts_cost,2597965.2813327606,3457863.0240525063
Rail,100000,scenario_3,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_3,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_3,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_3,rail_construction_cost,0.0,0.0
Rail,100000,scenario_3,rail_land_consumption_cost,,0.0
Rail,100000,scenario_3,rail_maint_cost,0.0,0.0
Rail,100000,scenario_3,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_3,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_3,rail_tts_cost,3850417.2484519472,5924051.5209615575
Rail,100000,scenario_4,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_4,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_4,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_4,rail_construction_cost,0.0,0.0
Rail,100000,scenario_4,rail_land_consumption_cost,,0.0
Rail,100000,scenario_4,rail_maint_cost,0.0,0.0
Rail,100000,scenario_4,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_4,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_4,rail_tts_cost,3969922.3049902683,4264556.368871007
Rail,100000,scenario_5,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_5,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_5,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_5,rail_construction_cost,0.0,0.0
Rail,100000,scenario_5,rail_land_consumption_cost,,0.0
Rail,100000,scenario_5,rail_maint_cost,0.0,0.0
Rail,100000,scenario_5,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_5,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_5,rail_tts_cost,4719076.916893939,6241804.501842518
Rail,100000,scenario_6,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_6,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_6,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_6,rail_construction_cost,0.0,0.0
Rail,100000,scenario_6,rail_land_consumption_cost,,0.0
Rail,100000,scenario_6,rail_maint_cost,0.0,0.0
Rail,100000,scenario_6,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_6,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_6,rail_tts_cost,4341206.515230666,5390248.889981115
Rail,100000,scenario_7,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_7,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_7,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_7,rail_construction_cost,0.0,0.0
Rail,100000,scenario_7,rail_land_consumption_cost,,0.0
Rail,100000,scenario_7,rail_maint_cost,0.0,0.0
Rail,100000,scenario_7,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_7,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_7,rail_tts_cost,4204935.509612181,7386575.488479621
Rail,100000,scenario_8,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_8,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_8,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_8,rail_construction_cost,0.0,0.0
Rail,100000,scenario_8,rail_land_consumption_cost,,0.0
Rail,100000,scenario_8,rail_maint_cost,0.0,0.0
Rail,100000,scenario_8,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_8,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_8,rail_tts_cost,2969415.9254501597,4838091.937057193
Rail,100000,scenario_9,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_9,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_9,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_9,rail_construction_cost,0.0,0.0
Rail,100000,scenario_9,rail_land_consumption_cost,,0.0
Rail,100000,scenario_9,rail_maint_cost,0.0,0.0
Rail,100000,scenario_9,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_9,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_9,rail_tts_cost,4348963.789331155,7950140.184882568
Rail,100000,scenario_10,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_10,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_10,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_10,rail_construction_cost,0.0,0.0
Rail,100000,scenario_10,rail_land_consumption_cost,,0.0
Rail,100000,scenario_10,rail_maint_cost,0.0,0.0
Rail,100000,scenario_10,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_10,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_10,rail_tts_cost,5603925.615994563,7013847.084412595
Rail,100000,scenario_11,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_11,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_11,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_11,rail_construction_cost,0.0,0.0
Rail,100000,scenario_11,rail_land_consumption_cost,,0.0
Rail,100000,scenario_11,rail_maint_cost,0.0,0.0
Rail,100000,scenario_11,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_11,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_11,rail_tts_cost,3786285.7593073794,5334185.209988706
Rail,100000,scenario_12,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_12,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_12,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_12,rail_construction_cost,0.0,0.0
Rail,100000,scenario_12,rail_land_consumption_cost,,0.0
