ID_edge,cases,devs,scenarios,mean_delta,min_delta
124,612,62,10,-0.32289069534817705,-1.6342195706638925
129,396,43,10,-0.4376269867951904,-6.316121415798932
178,391,42,10,-0.5002185061799389,-7.187826180605768
174,247,33,10,-0.09670061192630237,-0.8976322965432786
85,246,27,10,-0.10359109786805745,-0.4008729327183449
68,236,33,10,-0.09320722717391267,-0.8306739865063442
61,230,31,10,-0.08938495388180347,-0.7785250975010563
175,221,31,10,-0.08086895211880113,-0.6799626507881102
176,190,30,10,-0.07751707666053823,-0.571097705806066
98,188,30,10,-0.07753875635447528,-0.5678937224973053
32,183,29,10,-0.0727415349319417,-0.5187931216738404
63,176,27,10,-0.06962363441123387,-0.48020865789749134
67,172,27,10,-0.06708130652045181,-0.4536775346415789
130,169,27,10,-0.06154572736179276,-0.4101003287628351
87,163,20,10,-0.06808830821318894,-0.24744549493142642
126,150,26,10,-0.06092190279899846,-0.36759069919016185
34,146,26,10,-0.05717601503178184,-0.33718943553684855
88,146,19,10,-0.05458173541205712,-0.2001719405771083
92,145,25,10,-0.05976602112748518,-0.3516685148916252
86,142,19,10,-0.13708820923257167,-0.5819329694160054
60,136,25,10,-0.056594679675444015,-0.3147381195983576
131,122,19,10,-0.05761571986887872,-0.29298360004062296
94,122,19,10,-0.05732008847365652,-0.29138671499291524
128,119,19,10,-0.057374222846427785,-0.2858443143158236
66,119,19,10,-0.056949639300371876,-0.2837056561442983
91,118,16,10,-0.030215266394213076,-0.09942053295248732
64,116,19,10,-0.057116321695623265,-0.2786034205369332
65,114,19,10,-0.056403332488770636,-0.2712110120106819
29,114,19,10,-0.05470205350352026,-0.26303054509599866
96,96,17,10,-0.054446169727310874,-0.22756083110676695
35,94,17,10,-0.05412342382846348,-0.22220590330340073
62,85,17,10,-0.05132206201182844,-0.19422497121109483
30,84,16,10,-0.05089739672958966,-0.19078960179650117
89,84,13,9,-0.02155002653262745,-0.0511898715456256
132,83,15,10,-0.04973941624688848,-0.18466132605345575
95,76,14,10,-0.05188760919954008,-0.17945625492188189
59,71,14,10,-0.04880964679606885,-0.15982097514679383
97,70,14,10,-0.048638800474034516,-0.1575294055745734
127,67,13,10,-0.04454133337550808,-0.1393669027167832
83,66,13,10,-0.04246782530553517,-0.13125057480238445
84,62,13,10,-0.04283708705203109,-0.12619265154903103
33,60,12,10,-0.041850140738681436,-0.12030930324237343
90,55,13,9,-0.017629281707050134,-0.03614406545564752
82,53,10,10,-0.03942530235726449,-0.10319922889052813
93,37,5,9,-0.03235655550252864,-0.06512023289286262
31,36,4,9,-0.03020512105006612,-0.05969889452160437
81,31,4,9,-0.01938470844352355,-0.03551369610946076
103,29,10,5,-0.01479558069667793,-0.024691433481205394
