development,scenario,total_mmin,network_mmin,max_vcr,max_delay_min,mean_delta_delay_min,max_delta_delay_min,min_delta_delay_min,links_more_delay,links_less_delay
612,scenario_78,-0.06729370103534556,-0.06859542107212532,6.276796441216082,48.67311004860795,0.05910512766303771,3.029608762358265,-0.2760125418282797,39,1
109,scenario_78,-0.06729103181586239,-0.06858074685033853,6.2766924338908545,48.67118488325117,0.05908678934026119,3.0276835970014844,-0.27241873437850606,39,1
759,scenario_78,-0.06631888851667486,-0.06791132885848719,6.272110945700883,48.587039522007906,0.0573021482340673,2.9435382357582185,-0.282449152512791,39,1
612,scenario_19,-0.062194287831858035,-0.06349600786962604,6.044249826207413,44.46282139792583,0.05393981696271036,2.7650247023092547,-0.25146629524693287,39,1
109,scenario_19,-0.0621938276386807,-0.06348354267414298,6.044149587564161,44.46106767252486,0.05392303373936878,2.763270976908288,-0.24819233958079678,39,1
759,scenario_19,-0.06130184127195924,-0.06289428161522258,6.039742646488807,44.384354455554615,0.05229511947186487,2.68655775993804,-0.2573291753910576,39,1
521,scenario_78,-0.06005521804013045,-0.06087371492933913,6.255613587880587,48.28209809537988,0.0510771996477035,2.638596809130192,-0.30455234598979697,39,1
662,scenario_78,-0.056581092939046326,-0.057907959105583724,6.246857162412897,48.120787558598636,0.04790410017242339,2.477286272348948,-0.29110681739271493,39,1
109,scenario_64,-0.05572175393143785,-0.05701146896722191,5.724974720274415,39.040585788839536,0.04739272575178461,2.4291491897235886,-0.21869017430637827,39,1
612,scenario_64,-0.05571932138840121,-0.05702104142645816,5.725069934255101,39.04213200993678,0.04740750344283935,2.4306954108208316,-0.2215752152505024,39,1
521,scenario_19,-0.05557900253317156,-0.0563974994241721,6.023877094379044,44.10616751490489,0.046616680987294885,2.408370819288315,-0.27746307007729687,39,1
759,scenario_64,-0.05492975241930504,-0.056522192761924814,5.720794288120777,38.97320919398302,0.045961613659401594,2.3617725948670696,-0.226742517860405,39,1
662,scenario_19,-0.052363314513050485,-0.053690180681509894,6.015467827836913,43.95923742994041,0.04372627186970566,2.261440734323834,-0.26521803206136196,39,1
521,scenario_64,-0.04988906671743712,-0.05070756360799156,5.705740368758083,38.728555363886535,0.040967430591727756,2.117118764770588,-0.24448678732287954,39,1
945,scenario_78,-0.04715568273995316,-0.04790637185585208,6.235241540587354,47.905345178633205,0.03902798938379654,2.261843892383517,-1.0749767282620533,39,1
662,scenario_64,-0.04699116145448853,-0.0483180276232604,5.697745255675351,38.59908859933562,0.0384204715702423,1.9876520002196756,-0.23369239374672812,38,1
945,scenario_19,-0.043440633826937296,-0.04419132294208626,6.004114997665758,43.759543087223086,0.0355694376748862,2.061746391606512,-0.9796061110458822,39,1
