development,n_scenarios,mean_tts,median_tts,std_tts,min_tts,max_tts,pos,neg,mean_network,mean_access,pos_share,range_tts,cv_abs,mean_mmin,median_mmin,min_mmin,max_mmin,range_mmin
28,10,3636.407634024095,2165.351905298652,4701.77422428611,-2436.018541252648,11509.627777539776,9,1,1497.8634467747004,2138.5441872494057,0.9,13945.646318792424,1.2929722675461077,0.003636407634024095,0.0021653519052986523,-0.002436018541252648,0.011509627777539775,0.013945646318792424
17,10,1877.4784768835584,1093.9187054131762,2508.801105827007,-1360.9119314832496,6084.55284361972,8,2,-136.16217687441957,2013.6406537579965,0.8,7445.46477510297,1.3362609141551312,0.0018774784768835584,0.0010939187054131762,-0.0013609119314832497,0.00608455284361972,0.007445464775102969
694,10,2622.68849500551,1976.318885878427,2071.396112589227,-55.45269319223007,6091.987044210429,9,1,2382.291573204391,240.39692180112215,0.9,6147.439737402659,0.7897987567085717,0.00262268849500551,0.001976318885878427,-5.5452693192230075e-05,0.00609198704421043,0.006147439737402659
209,10,763.5011489081081,264.47384302847786,1601.5118887460453,-1307.9865023995517,3446.146066579852,5,5,996.057827556401,-232.5566786482832,0.5,4754.132568979403,2.097589363207097,0.0007635011489081082,0.00026447384302847785,-0.0013079865023995518,0.0034461460665798516,0.004754132568979403
863,10,-138.7654635533632,-515.7630989030004,1211.4244038469474,-1706.3395823751923,1890.750748707564,3,7,55.694770289718875,-194.46023384310539,0.3,3597.090331082756,8.730013742800535,-0.00013876546355336318,-0.0005157630989030004,-0.0017063395823751924,0.0018907507487075641,0.003597090331082756
780,10,1233.9388867117698,901.3342273143353,1072.5794728726787,-160.28263220610097,3025.8811371847987,9,1,618.8504267428303,615.0884599689355,0.9,3186.1637693908997,0.8692322483902866,0.0012339388867117697,0.0009013342273143353,-0.00016028263220610098,0.003025881137184799,0.0031861637693908996
550,10,934.856569057051,602.124895880057,1072.21788280051,-458.5495030534221,2726.399524518638,9,1,310.87108664623236,623.9854824108261,0.9,3184.94902757206,1.1469330358153331,0.000934856569057051,0.000602124895880057,-0.0004585495030534221,0.0027263995245186377,0.00318494902757206
958,10,1176.9070878308498,852.9810054120608,1044.2696196998697,-180.5304928162368,2921.6433013629867,9,1,897.3760907982826,279.53099703259284,0.9,3102.1737941792235,0.8872999665798229,0.0011769070878308498,0.0008529810054120607,-0.0001805304928162368,0.002921643301362987,0.0031021737941792234
565,10,-1350.719555410708,-1674.7977087553008,1037.6576700731407,-2692.8663942315616,386.2336324963253,2,8,-811.0094726225536,-539.7100827882048,0.2,3079.100026727887,0.7682258437115943,-0.0013507195554107079,-0.0016747977087553008,-0.0026928663942315614,0.0003862336324963253,0.003079100026727887
538,10,1004.2293505159148,695.3386637266376,996.890076292068,-292.29423924774164,2669.606708578416,9,1,639.0630019863602,365.16634852955065,0.9,2961.900947826158,0.9926916354116953,0.0010042293505159148,0.0006953386637266377,-0.00029229423924774164,0.002669606708578416,0.002961900947826158
602,10,-719.5099153892195,-1030.3715668079094,996.2035430620516,-2008.8121127491468,947.7670976637164,3,7,-312.46818229306956,-407.0417330961671,0.3,2956.579210412863,1.3845584636914343,-0.0007195099153892195,-0.0010303715668079094,-0.002008812112749147,0.0009477670976637164,0.0029565792104128633
680,10,-471.1704071918037,-774.6211652237689,973.0572760413646,-1730.2265080148354,1157.127945940243,3,7,-679.2282453284948,208.05783813669876,0.3,2887.3544539550785,2.0651918312120423,-0.0004711704071918037,-0.0007746211652237689,-0.0017302265080148353,0.001157127945940243,0.0028873544539550784
12,10,-292.81586173826946,-568.4568603485241,883.5958748267188,-1435.02212263603,1186.1981079505058,3,7,-443.77790895768555,150.9620472194394,0.3,2621.2202305865358,3.017582003861909,-0.0002928158617382695,-0.000568456860348524,-0.00143502212263603,0.0011861981079505058,0.0026212202305865356
255,10,-516.0733434313094,-311.84882187098265,647.1966425684682,-1599.7317391076358,317.1095309684752,1,9,-1875.8284759958042,1359.7551325644934,0.1,1916.841270076111,1.2540788064450992,-0.0005160733434313094,-0.00031184882187098266,-0.0015997317391076358,0.00031710953096847523,0.0019168412700761109
270,10,-111.40900337565108,15.884384830656934,402.0651256238797,-785.0820135625545,405.3469143697876,5,5,-1505.1643397450796,1393.7553363694558,0.5,1190.428927932342,3.6089105318372567,-0.00011140900337565108,1.5884384830656933e-05,-0.0007850820135625545,0.00040534691436978763,0.001190428927932342
273,10,67.97731258349958,45.299515074759256,83.42870844360424,-49.75780220748857,203.2891891434556,9,1,-536.1115409168357,604.0888535003298,0.9,253.04699135094415,1.227302246482972,6.797731258349959e-05,4.529951507475925e-05,-4.9757802207488566e-05,0.0002032891891434556,0.00025304699135094414
964,10,83.00023227200145,61.34943355526775,73.90412135937416,-16.262667023343965,204.8801473785425,9,1,-40.48634754964151,123.48657982166333,0.9,221.14281440188645,0.8904086089443909,8.300023227200145e-05,6.134943355526775e-05,-1.6262667023343966e-05,0.00020488014737854248,0.00022114281440188644
493,10,48.33279349300428,31.998715648311194,64.97236845303442,-46.17149016197072,151.88239236350637,9,1,40.65000832619262,7.682785166769827,0.9,198.0538825254771,1.3442709133383437,4.833279349300428e-05,3.1998715648311195e-05,-4.617149016197072e-05,0.00015188239236350637,0.0001980538825254771
670,10,59.537540368764894,76.37069839594187,44.25815787220936,-17.933645213022828,107.93267734133406,8,2,-1825.4012219671918,1884.9387623359628,0.8,125.86632255435688,0.7433655740240902,5.9537540368764894e-05,7.637069839594187e-05,-1.7933645213022827e-05,0.00010793267734133406,0.00012586632255435687
240,10,3.226308043382596,-5.539111367077567,39.99578420181667,-58.15464189462364,65.47090845438652,5,5,-435.7476495282375,438.9739575716001,0.5,123.62555034901015,12.396765486746089,3.2263080433825963e-06,-5.5391113670775665e-06,-5.8154641894623635e-05,6.547090845438651e-05,0.00012362555034901016
464,10,-13.2097979997925,-16.66113365109777,24.30754088630371,-55.34328493109206,21.957731949863955,3,7,-21.787239562399918,8.577441562572494,0.3,77.30101688095601,1.8401145033925224,-1.32097979997925e-05,-1.666113365109777e-05,-5.5343284931092055e-05,2.1957731949863956e-05,7.730101688095601e-05
