development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,total_mmin
612,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28014.575047975806,1044874.7840923264,28014.57504797581,1100903.9341882782,650.8600183899143,-68595.42107212532,650.8600183899107,-67293.70103534556,-22010648.04697761,-880425921.8791043,1301.720036779825,-67293.70103534556,-0.06729370103534556
109,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28020.577549127647,1044860.1098705396,28020.577549127644,1100901.264968795,644.8575172380733,-68580.74685033853,644.857517238077,-67291.0318158624,-22009774.98977166,-880390999.5908664,1289.7150344761503,-67291.0318158624,-0.06729103181586239
759,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27869.21489545957,1044190.6918786884,27869.21489545957,1099929.1216696077,796.2201709061519,-67911.32885848719,796.2201709061519,-66318.88851667487,-21691803.118995737,-867672124.7598295,1592.4403418123038,-66318.88851667487,-0.06631888851667486
612,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28014.575054769342,981534.2267459888,28014.575054769342,1037563.3768555276,650.86001888397,-63496.007869626046,650.86001888397,-62194.28783185803,-20342714.978336897,-813708599.1334759,1301.72003776794,-62194.28783185803,-0.062194287831858035
109,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28020.577555922187,981521.7615505058,28020.577555922187,1037562.9166623502,644.8575177311286,-63483.54267414298,644.8575177311286,-62193.8276386807,-20342564.45681848,-813702578.272739,1289.7150354622572,-62193.8276386807,-0.0621938276386807
759,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,27869.21490202168,980932.5004915852,27869.21490202168,1036670.9302956288,796.2201716316376,-62894.28161522257,796.2201716316376,-61301.841271959245,-20050810.582703337,-802032423.3081335,1592.4403432632753,-61301.841271959245,-0.06130184127195924
521,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28256.186621761462,1037153.0779495402,28256.18662176146,1093665.451193063,409.2484446042581,-60873.71492933913,409.24844460426175,-60055.21804013045,-19643060.900626,-785722436.02504,818.4968892085199,-60055.21804013045,-0.06005521804013045
662,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28002.001983097147,1034187.3221257848,28002.00198309715,1090191.326091979,663.4330832685737,-57907.95910558372,663.43308326857,-56581.09293904633,-18506732.4821464,-740269299.285856,1326.8661665371437,-56581.09293904633,-0.056581092939046326
109,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28020.577550501654,900021.7331540599,28020.57755050165,956062.8882550632,644.8575178920182,-57011.46896722191,644.8575178920219,-55721.75393143785,-18225657.01507446,-729026280.6029785,1289.71503578404,-55721.75393143785,-0.05572175393143785
612,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28014.57504936523,900031.3056132961,28014.575049365238,956060.4557120266,650.8600190284415,-57021.04142645816,650.8600190284378,-55719.32138840121,-18224861.37078956,-728994454.8315824,1301.7200380568793,-55719.32138840121,-0.05571932138840121
