ID_edge,link_group,capacity,flow_status_quo,flow_dev28,flow_dev109,flow_dev254,flow_dev267,traffic_count_peak_hour_avg,traffic_count_dwv_per_hour,traffic_count_name,traffic_count_distance_m,model_vs_astra_peak_ratio_status_quo,model_vs_capacity_ratio_status_quo,notes
32,critical_peak,2391.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,"WEININGEN, GUBRIST (AB)",38.852561048432975,,1.2206596535795742,
61,critical_peak,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,THALWIL (AB) - ZH104,395.09759302689366,,1.2510061001752086,
63,critical_peak,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,4809.0,2596.7916666666665,RICHTERSWIL (AB),40.6148119849863,0.6069031465395637,1.2510061001752086,
67,critical_peak,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,5084.0,2528.3333333333335,LACHEN (AB),158.22440524061668,0.5740749865674197,1.2510061001752086,
68,critical_peak,2335.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,3681.5,1854.1666666666667,WANGEN SZ (AB),865.9805870684238,0.7927739322854167,1.2499345746076067,
92,critical_peak,2166.0,3094.627896777081,3079.1698566341183,3076.6019179267264,3064.0960271798585,3021.7680638874963,,,,,,1.428729407560979,
98,critical_peak,1536.0,3212.736943243661,3179.4620651114774,3272.978779519716,3068.1870232049496,3187.129521327407,2331.5,1297.8333333333333,USTER O,180.67019228271715,1.3779699520667643,2.091625614090925,
129,critical_peak,729.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,2459.0,1134.8333333333333,JONA,20.58539698748987,1.186904120255698,4.003562732110784,
174,critical_peak,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,,,,1.3266351053221643,
175,critical_peak,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,3927.0,2458.75,ZUERICH BRUNAU (AB),689.7835337599229,0.7432129441580753,1.3266351053221643,
176,critical_peak,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,6076.5,3717.6666666666665,BIRMENSDORF N (AB) - ZH1103,199.4140025932865,0.48030893305500894,1.3266351053221643,
178,critical_peak,1000.0,3217.551487685965,3189.334432234304,3274.0658933386294,3068.278694534062,3189.6639043396376,,,,,,3.217551487685965,
29,uncritical_validation,2391.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,5736.0,3747.3333333333335,URDORF (AB),29.18589447956624,0.5088209957651258,1.2206596535795742,
35,uncritical_validation,2391.0,2973.643605078896,2895.2221706405016,2893.700706635856,3059.7530407176114,2874.159309974307,6966.5,4468.833333333333,OPFIKON (AB),606.8850832553396,0.4268490066861259,1.2436819761935993,
60,uncritical_validation,2338.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,4495.0,2446.3333333333335,ADLISWIL (AB),89.01359846218837,0.6492986054969436,1.248330723570899,
64,uncritical_validation,2335.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,4598.5,2400.7083333333335,"WOLLERAU, BLATTTUNNEL (AB)",131.7711861134583,0.6346846214436799,1.2499345746076067,
77,uncritical_validation,2391.0,833.0216545400068,834.5933362922802,841.6310040083238,816.3306155787161,835.9486548893393,6966.5,4468.833333333333,OPFIKON (AB),12.706195536845227,0.11957534695184192,0.3483988517524077,
83,uncritical_validation,3262.0,3177.449074907569,3123.625646628031,3195.987677981628,3066.817751709588,3141.705296406367,8961.5,5839.125,WALLISELLEN (AB),143.55386668703002,0.3545666545676024,0.9740800352261094,
96,uncritical_validation,2333.0,3201.641853898468,3161.1910148196025,3248.500745814836,3067.841745303841,3182.475833446303,4382.5,2375.375,NAENIKON,115.12249503195207,0.7305514783567526,1.372328269995057,
102,uncritical_validation,3324.0,260.0037762826881,264.197675939184,281.4333360727909,220.00601939028303,260.8914623622032,7486.0,4621.791666666667,"WINTERTHUR, KEMPTTHAL (AB)",523.1094149332502,0.034732003243746735,0.07822014930285441,
132,uncritical_validation,2343.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,3265.0,1437.2916666666667,SCHMERIKON (AB),51.16391513097371,0.8939042057300954,1.2456667655607176,
