ID_edge,run,case,scenario,flow,capacity,flow_cap,ffs,length_m,length_m_geom,fftt_min,link_tt_min,delay_min
178,2iter_xscen_xdev_test,dev109,scenario_44,3379.252793978973,1000.0,3.379252793978973,80.0,6719.55714161299,6719.55714161299,5.039667856209742,19.427099941182476,14.38743208497273
129,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,729.0,4.625122116425869,96.0,3327.5142290398862,3327.5142290398862,2.079696393149929,13.201785110105536,11.122088716955608
174,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2200.0,1.532597283124754,100.0,6978.5477473254405,6978.5477473254405,4.187128648395264,6.645867569432281,2.4587389210370167
68,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2335.0,1.443988874892702,119.0,8865.80644588534,8865.80644588534,4.470154510530423,6.800338628791213,2.3301841182607896
61,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,120.0,8361.831024084971,8361.831024084971,4.1809155120424855,6.3640645597004735,2.183149047657988
175,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2200.0,1.532597283124754,100.0,5286.2980122217705,5286.2980122217705,3.1717788073330624,5.034290484756446,1.862511677423384
176,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2200.0,1.532597283124754,100.0,4439.9389635413945,4439.9389635413945,2.663963378124837,4.228278925134147,1.5643155470093095
32,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2391.0,1.4101689765263317,86.0,4235.803391000821,4235.803391000821,2.9552116681401075,4.424377818381124,1.469166150241017
98,2iter_xscen_xdev_test,dev109,scenario_44,3379.259698928352,1536.0,2.2000388664898125,108.0,2007.6948653871616,2007.6948653871616,1.115386036326201,2.4650508269561504,1.3496647906299497
63,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,119.0,5114.75070314698,5114.75070314698,2.578865900746377,3.925472551618804,1.3466066508724277
67,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,120.0,4872.77147040362,4872.77147040362,2.4363857352018097,3.708593504579783,1.2722077693779732
92,2iter_xscen_xdev_test,dev109,scenario_44,3376.0354519767047,2166.0,1.5586497931563734,97.0,2550.193392452562,2550.193392452562,1.577439211826327,2.535492649251477,0.95805343742515
34,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2391.0,1.4101689765263317,100.0,3201.231578453541,3201.231578453541,1.9207389470721248,2.875623050607057,0.9548841035349322
126,2iter_xscen_xdev_test,dev109,scenario_44,3374.4454610939474,1811.0,1.8633050585830744,106.0,1897.1851262924465,1897.1851262924465,1.0738783733730828,2.005979495877141,0.9321011225040584
60,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2338.0,1.442136023470684,118.0,3341.26037136498,3341.26037136498,1.6989459515415155,2.582294342389851,0.8833483908483353
131,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2339.0,1.4415194625371777,118.0,3113.508108488663,3113.508108488663,1.583139716180676,2.40557223429638,0.822432518115704
94,2iter_xscen_xdev_test,dev109,scenario_44,3378.3554652230778,2333.0,1.4480734955949754,120.0,3121.847228370543,3121.847228370543,1.5609236141852714,2.379205370693372,0.8182817565081
