ID_edge,distance_to_link_m,mlocid,mlocnr,mlocname,canton,municipality,streetdesignation,aindicator_direction,aindicator_dtv,aindicator_dwv,aindicator_mspw,aindicator_aspw,astra_dwv_per_hour,astra_peak_hour_avg,buffer_m,buffer_cap_style,buffer_join_style
32,38.852561048432975,58977cd1-250a-48fe-ae65-e12f48327c50,287,"WEININGEN, GUBRIST (AB)",ZH,,A 1C,,,,,,,,1000,flat,mitre
61,395.09759302689366,13930882-7f3d-4ac4-bb95-6e9de8f8d900,607,THALWIL (AB) - ZH104,ZH,,A 3,,,,,,,,1000,flat,mitre
63,40.6148119849863,4670aa73-113e-4796-8142-74850bde40f0,55,RICHTERSWIL (AB),ZH,,A 3,13.0,60807.0,62323.0,4461.0,5157.0,2596.7916666666665,4809.0,1000,flat,mitre
67,158.22440524061668,6f267c8b-5539-4086-8cc9-17e4ff06f97e,308,LACHEN (AB),SZ,,A 3,13.0,58879.0,60680.0,4628.0,5540.0,2528.3333333333335,5084.0,1000,flat,mitre
68,865.9805870684238,715c65f0-44cf-4bd8-8e43-e8384ba2dff2,216,WANGEN SZ (AB),SZ,,A 3,13.0,44280.0,44500.0,3279.0,4084.0,1854.1666666666667,3681.5,1000,flat,mitre
98,180.67019228271715,ce63b040-0281-420f-8611-0465392aeb10,760,USTER O,ZH,,A 15,13.0,29764.0,31148.0,2293.0,2370.0,1297.8333333333333,2331.5,1000,flat,mitre
129,20.58539698748987,096c4b6d-2a40-44a9-96eb-91f8154b38ad,766,JONA,SG,,A 15,13.0,25748.0,27236.0,2293.0,2625.0,1134.8333333333333,2459.0,1000,flat,mitre
175,689.7835337599229,f70db2d0-b37c-4c7d-a784-d74f9d74119a,221,ZUERICH BRUNAU (AB),ZH,,A 3,13.0,56255.0,59010.0,3367.0,4487.0,2458.75,3927.0,1000,flat,mitre
175,848.1013446664664,89251fb3-ea48-40cc-94ef-48d0a0c408c3,581,"WOLLISHOFEN, ENTLISBERG (AB) - ZH1213",ZH,,A 3,,,,,,,,1000,flat,mitre
175,946.1368122733318,0b917906-30ab-40ff-8e93-16f36fcb0417,577,UETLIBERGTUNNEL MITTE (AB) - ZH1207,ZH,,A 3,13.0,73169.0,76375.0,5453.0,6189.0,3182.2916666666665,5821.0,1000,flat,mitre
176,199.4140025932865,6c1d1ba5-9f58-4442-8e11-4e47117664e5,301,BIRMENSDORF N (AB) - ZH1103,ZH,,A 4,13.0,86792.0,89224.0,5883.0,6270.0,3717.6666666666665,6076.5,1000,flat,mitre
176,780.2215364766032,b33752ad-219d-402c-9867-2ac6f9d9be14,565,AESCHERTUNNEL (AB) - ZH1201,ZH,,A 3,13.0,90326.0,92722.0,6361.0,6643.0,3863.4166666666665,6502.0,1000,flat,mitre
