ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run
0,37236.74375509389,0.0,status_quo,scenario_44,2305,117,37236.74375509389,19.09576602825328,0.0,19.09576602825328,0.0,2iter_status_quo
1,10819.895495329189,0.0,status_quo,scenario_44,2351,107,10819.895495329189,6.0672311188761805,0.0,6.0672311188761805,0.0,2iter_status_quo
2,2123.634621150368,0.0,status_quo,scenario_44,2337,117,2123.634621150368,1.089043395461727,0.0,1.089043395461727,0.0,2iter_status_quo
3,779.8331461040191,0.0,status_quo,scenario_44,1998,102,779.8331461040191,0.4587253800611877,0.0,0.4587253800611877,0.0,2iter_status_quo
4,9409.23092441937,0.0,status_quo,scenario_44,2333,120,9409.23092441937,4.704615462209684,0.0,4.704615462209684,0.0,2iter_status_quo
5,9097.302692033603,0.0,status_quo,scenario_44,2333,120,9097.302692033603,4.548651346016802,0.0,4.548651346016802,0.0,2iter_status_quo
6,4378.276828732016,0.0,status_quo,scenario_44,2333,120,4378.276828732016,2.189138414366008,0.0,2.189138414366008,0.0,2iter_status_quo
7,3456.727321633321,0.0,status_quo,scenario_44,2333,120,3456.727321633321,1.7283636608166608,0.0,1.7283636608166608,0.0,2iter_status_quo
8,3587.030410135984,0.0,status_quo,scenario_44,2342,115,3587.030410135984,1.8714941270274696,0.0,1.8714941270274696,0.0,2iter_status_quo
9,7103.441939135965,0.0,status_quo,scenario_44,2190,116,7103.441939135965,3.6741941064496375,0.0,3.6741941064496375,0.0,2iter_status_quo
10,4529.7780642419175,0.0,status_quo,scenario_44,2333,120,4529.7780642419175,2.264889032120959,0.0,2.264889032120959,0.0,2iter_status_quo
11,10161.999278378476,0.0,status_quo,scenario_44,2333,120,10161.999278378476,5.080999639189237,0.0,5.080999639189237,0.0,2iter_status_quo
12,8351.740437819251,0.0,status_quo,scenario_44,2340,114,8351.740437819251,4.395652862010132,0.0,4.395652862010132,0.0,2iter_status_quo
13,6557.238504212162,0.0,status_quo,scenario_44,2333,120,6557.238504212162,3.2786192521060813,0.0,3.2786192521060813,0.0,2iter_status_quo
14,1618.3943928055903,0.0,status_quo,scenario_44,2333,119,1618.3943928055903,0.815997172843155,0.0,0.815997172843155,0.0,2iter_status_quo
15,2454.397749167046,0.0,status_quo,scenario_44,2347,110,2454.397749167046,1.3387624086365708,0.0,1.3387624086365708,0.0,2iter_status_quo
16,2707.6929544388604,0.0,status_quo,scenario_44,3174,98,2707.6929544388604,1.6577711965952209,0.0,1.6577711965952209,0.0,2iter_status_quo
17,3366.6204522024627,0.0,status_quo,scenario_44,3383,96,3366.6204522024627,2.1041377826265397,0.0,2.1041377826265397,0.0,2iter_status_quo
18,1792.8277013627728,0.0,status_quo,scenario_44,3383,100,1792.8277013627728,1.0756966208176637,0.0,1.0756966208176637,0.0,2iter_status_quo
19,5241.531215082299,0.0,status_quo,scenario_44,2340,114,5241.531215082299,2.7587006395169995,0.0,2.7587006395169995,0.0,2iter_status_quo
20,4259.587149128142,0.0,status_quo,scenario_44,2333,119,4259.587149128142,2.147690999560408,0.0,2.147690999560408,0.0,2iter_status_quo
21,4431.25231599406,0.0,status_quo,scenario_44,2239,117,4431.25231599406,2.272437085125159,0.0,2.272437085125159,0.0,2iter_status_quo
22,312.37327151232336,0.0,status_quo,scenario_44,2744,80,312.37327151232336,0.2342799536342425,0.0,0.2342799536342425,0.0,2iter_status_quo
23,10429.862112566574,0.0,status_quo,scenario_44,2465,100,10429.862112566574,6.257917267539945,0.0,6.257917267539945,0.0,2iter_status_quo
24,908.422568222344,0.0,status_quo,scenario_44,729,92,908.422568222344,0.5924495010145723,0.0,0.5924495010145723,0.0,2iter_status_quo
26,3097.519920748141,0.0,status_quo,scenario_44,3184,98,3097.519920748141,1.896440767804984,0.0,1.896440767804984,0.0,2iter_status_quo
27,1950.2102913634324,0.0,status_quo,scenario_44,3383,100,1950.2102913634324,1.1701261748180594,0.0,1.1701261748180594,0.0,2iter_status_quo
28,3094.2230215374693,0.0,status_quo,scenario_44,3235,100,3094.2230215374693,1.8565338129224815,0.0,1.8565338129224815,0.0,2iter_status_quo
29,2447.233413479223,3282.8991969095787,status_quo,scenario_44,2391,98,2447.233413479223,1.4983061715178918,1.3730235035171805,2.204455450843267,0.7061492793253752,2iter_status_quo
30,2208.921363389983,3282.8991969095787,status_quo,scenario_44,2608,99,2208.921363389983,1.3387402202363534,1.258780366913182,1.86905806521744,0.5303178449810868,2iter_status_quo
31,782.2308016477537,3282.8991969095787,status_quo,scenario_44,2746,99,782.2308016477537,0.4740792737259113,1.1955204650071298,0.6434759976959905,0.1693967239700792,2iter_status_quo
32,4235.803391000821,3282.8991969095787,status_quo,scenario_44,2391,86,4235.803391000821,2.9552116681401075,1.3730235035171805,4.3479981555620855,1.392786487421978,2iter_status_quo
33,1142.2004966082045,3282.8991969095787,status_quo,scenario_44,2391,100,1142.2004966082045,0.6853202979649226,1.3730235035171805,1.0083106478109205,0.3229903498459977,2iter_status_quo
34,3201.231578453541,3282.8991969095787,status_quo,scenario_44,2391,100,3201.231578453541,1.9207389470721248,1.3730235035171805,2.825980111415125,0.905241164343001,2iter_status_quo
35,1834.4909824602885,3284.1630621505665,status_quo,scenario_44,2391,87,1834.4909824602885,1.2651661948001989,1.3735520962570331,1.8618961779204328,0.5967299831202337,2iter_status_quo
36,3652.46808775102,0.0,status_quo,scenario_44,3250,99,3652.46808775102,2.2136170228794056,0.0,2.2136170228794056,0.0,2iter_status_quo
37,2087.5000694047385,0.0,status_quo,scenario_44,3383,100,2087.5000694047385,1.252500041642843,0.0,1.252500041642843,0.0,2iter_status_quo
38,2.9651927315463684,0.0,status_quo,scenario_44,3383,100,2.9651927315463684,0.0017791156389278,0.0,0.0017791156389278,0.0,2iter_status_quo
39,429.0603753941272,0.0,status_quo,scenario_44,3325,120,429.0603753941272,0.2145301876970635,0.0,0.2145301876970635,0.0,2iter_status_quo
40,4272.879103330798,0.0,status_quo,scenario_44,3083,116,4272.879103330798,2.2101098810331714,0.0,2.2101098810331714,0.0,2iter_status_quo
41,424.7698655376553,0.0,status_quo,scenario_44,1239,92,424.7698655376553,0.2770238253506447,0.0,0.2770238253506447,0.0,2iter_status_quo
42,5584.246522656695,0.0,status_quo,scenario_44,2333,119,5584.246522656695,2.815586482011779,0.0,2.815586482011779,0.0,2iter_status_quo
43,5376.107615468753,0.0,status_quo,scenario_44,2333,119,5376.107615468753,2.710642495194329,0.0,2.710642495194329,0.0,2iter_status_quo
44,4705.268039949857,0.0,status_quo,scenario_44,2335,118,4705.268039949857,2.3925091728558594,0.0,2.3925091728558594,0.0,2iter_status_quo
45,5931.50774269518,0.0,status_quo,scenario_44,2333,120,5931.50774269518,2.96575387134759,0.0,2.96575387134759,0.0,2iter_status_quo
46,3019.908646687248,0.0,status_quo,scenario_44,2338,118,3019.908646687248,1.5355467695019904,0.0,1.5355467695019904,0.0,2iter_status_quo
47,1923.2122059320616,0.0,status_quo,scenario_44,2391,88,1923.2122059320616,1.311281049499133,0.0,1.311281049499133,0.0,2iter_status_quo
48,661.9150670575519,0.0,status_quo,scenario_44,2333,119,661.9150670575519,0.3337386892727152,0.0,0.3337386892727152,0.0,2iter_status_quo
49,3086.7798993936267,0.0,status_quo,scenario_44,2333,120,3086.7798993936267,1.543389949696813,0.0,1.543389949696813,0.0,2iter_status_quo
50,60.406023075776496,0.0,status_quo,scenario_44,1516,109,60.406023075776496,0.0332510218765742,0.0,0.0332510218765742,0.0,2iter_status_quo
51,89.83860284702587,0.0,status_quo,scenario_44,2333,120,89.83860284702587,0.0449193014235129,0.0,0.0449193014235129,0.0,2iter_status_quo
52,161.90388362602724,0.0,status_quo,scenario_44,1516,109,161.90388362602724,0.0891214038308406,0.0,0.0891214038308406,0.0,2iter_status_quo
53,666.8849192453416,0.0,status_quo,scenario_44,1169,105,666.8849192453416,0.3810770967116238,0.0,0.3810770967116238,0.0,2iter_status_quo
54,224.7870581054576,0.0,status_quo,scenario_44,2333,120,224.7870581054576,0.1123935290527288,0.0,0.1123935290527288,0.0,2iter_status_quo
55,3897.802473376,0.0,status_quo,scenario_44,2333,120,3897.8024733759994,1.948901236687999,0.0,1.948901236687999,0.0,2iter_status_quo
56,2953.672126356878,0.0,status_quo,scenario_44,2186,118,2953.672126356878,1.5018671828933277,0.0,1.5018671828933277,0.0,2iter_status_quo
