scenario,total_demand,rank_low_to_high,percentile_low_to_high
scenario_1,14807.659305188688,50,49.494949494949495
scenario_2,12256.636547620774,24,23.232323232323232
scenario_3,15385.11853765933,61,60.60606060606061
scenario_4,13545.11384867756,34,33.333333333333336
scenario_5,13668.650964178443,36,35.35353535353536
scenario_6,11880.166631549066,18,17.171717171717173
scenario_7,15217.083797282276,58,57.57575757575758
scenario_8,11900.1655929934,19,18.181818181818183
scenario_9,16191.735841747213,64,63.63636363636363
scenario_10,22323.981985700815,98,97.97979797979798
scenario_11,14837.868322424973,51,50.505050505050505
scenario_12,20494.355235626757,95,94.94949494949495
scenario_13,11702.343343604069,15,14.141414141414142
scenario_14,14797.159510529633,49,48.484848484848484
scenario_15,10502.258928267252,8,7.070707070707071
scenario_16,15179.309268738249,57,56.56565656565657
scenario_17,19812.49492663899,90,89.8989898989899
scenario_18,8366.46310372021,3,2.0202020202020203
scenario_19,19068.074225620832,88,87.87878787878788
scenario_20,15552.0898337764,62,61.61616161616162
scenario_21,16913.961231409005,73,72.72727272727273
scenario_22,12324.924860484076,25,24.242424242424242
scenario_23,11824.2595336706,16,15.151515151515152
scenario_24,17602.786960402584,76,75.75757575757575
scenario_25,13785.907136826416,38,37.37373737373738
scenario_26,8647.941895411892,4,3.0303030303030303
scenario_27,11286.762334586037,12,11.11111111111111
scenario_28,7371.204862317961,1,0.0
scenario_29,11948.494061884492,21,20.2020202020202
scenario_30,15157.4016478542,56,55.55555555555556
scenario_31,14091.053958248896,43,42.42424242424242
scenario_32,17884.374803421408,80,79.79797979797979
scenario_33,15010.692710343947,54,53.535353535353536
scenario_34,17738.10173986568,78,77.77777777777777
scenario_35,16106.573357937654,63,62.62626262626262
scenario_36,17021.848496666404,74,73.73737373737374
scenario_37,19053.40277840449,87,86.86868686868686
scenario_38,16633.893618177313,69,68.68686868686869
scenario_39,13567.148533412903,35,34.343434343434346
scenario_40,9816.961597263375,6,5.05050505050505
scenario_41,16316.545134635147,65,64.64646464646465
scenario_42,20841.165204828045,96,95.95959595959596
scenario_43,14061.358969577537,42,41.41414141414141
scenario_44,14600.473835003391,47,46.464646464646464
scenario_45,14131.996177021178,44,43.43434343434343
scenario_46,16323.548634017694,66,65.65656565656566
scenario_47,10882.737930652414,10,9.090909090909092
scenario_48,13708.628961531685,37,36.36363636363637
scenario_49,13065.090298214434,31,30.303030303030305
scenario_50,16506.2771801443,68,67.67676767676768
scenario_51,16800.06904017304,72,71.71717171717172
scenario_52,17766.573956633518,79,78.78787878787878
scenario_53,16419.762845692563,67,66.66666666666667
scenario_54,18108.374547203355,82,81.81818181818181
scenario_55,13886.902382180644,40,39.39393939393939
scenario_56,13953.834032516135,41,40.4040404040404
scenario_57,13063.09038725512,30,29.292929292929294
scenario_58,15078.753247257142,55,54.54545454545455
scenario_59,11879.21739461895,17,16.161616161616163
scenario_60,10291.6799149594,7,6.0606060606060606
scenario_61,13872.668181493864,39,38.38383838383838
scenario_62,18382.908282145585,84,83.83838383838383
scenario_63,15372.056309405034,60,59.5959595959596
scenario_64,18079.106080303984,81,80.8080808080808
scenario_65,14266.530908726178,45,44.44444444444444
scenario_66,15345.891669510736,59,58.58585858585859
scenario_67,17342.836569161344,75,74.74747474747475
scenario_68,11306.17209094687,13,12.121212121212121
scenario_69,9114.559975100019,5,4.040404040404041
scenario_70,11928.412081673,20,19.19191919191919
scenario_71,12448.085599123731,26,25.252525252525253
scenario_72,8333.936207644343,2,1.0101010101010102
scenario_73,10990.23951325491,11,10.1010101010101
scenario_74,14496.32135729737,46,45.45454545454545
scenario_75,14630.908165753819,48,47.474747474747474
scenario_76,13184.367115940187,32,31.31313131313131
scenario_77,16661.167029113378,70,69.6969696969697
scenario_78,19814.858347801302,91,90.9090909090909
scenario_79,18956.503068205242,85,84.84848484848484
scenario_80,22331.143071492643,99,98.98989898989899
scenario_81,11446.390416320006,14,13.131313131313131
scenario_82,16726.859197979138,71,70.70707070707071
scenario_83,14931.927872607346,53,52.525252525252526
scenario_84,19974.777033496714,92,91.91919191919192
scenario_85,10855.250340609353,9,8.080808080808081
scenario_86,14867.277939009866,52,51.515151515151516
scenario_87,18132.940608789944,83,82.82828282828282
scenario_88,12232.806667247143,22,21.21212121212121
scenario_89,12235.273509823453,23,22.22222222222222
scenario_90,17713.040269394143,77,76.76767676767676
scenario_91,24501.742086962644,100,100.0
scenario_92,12736.651563920288,28,27.272727272727273
scenario_93,13426.656205571504,33,32.323232323232325
scenario_94,22177.07221984411,97,96.96969696969697
scenario_95,19181.33056567811,89,88.88888888888889
scenario_96,12988.264349813508,29,28.282828282828284
scenario_97,20257.156261018194,93,92.92929292929293
scenario_98,18990.846687677513,86,85.85858585858585
scenario_99,20479.804972244936,94,93.93939393939394
scenario_100,12647.82946932742,27,26.262626262626263
