development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,run
28,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,27596.162980641533,910103.6484541192,27596.162980641537,965295.9744154024,1069.272093011783,7934.57042224356,1069.2720930117794,10073.11460826709,3294747.9031206938,131789916.12482774,2iter_xscen_xdev_test
109,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28020.577555922187,981521.7615505058,28020.577555922187,1037562.9166623502,644.8575177311286,-63483.54267414298,644.8575177311286,-62193.8276386807,-20342564.45681848,-813702578.272739,2iter_xscen_xdev_test
254,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,26112.47040659138,795997.0719246279,26112.470406591376,848222.0127378107,2552.964667061937,122041.1469517349,2552.9646670619404,127147.07628585875,41587689.5351663,1663507581.406652,2iter_xscen_xdev_test
267,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28577.866424341984,918745.859507983,28577.866424341984,975901.592356667,87.56864931133168,-707.6406316201901,87.56864931133168,-532.5033329975558,-174172.96516795055,-6966918.606718022,2iter_xscen_xdev_test
28,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,27596.1629741454,399953.1801744662,27596.1629741454,455145.506122757,1069.272093724565,-4574.5627287018,1069.2720937245613,-2436.018541252648,-796781.0645347203,-31871242.58138881,2iter_xscen_xdev_test
109,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,28020.577550014328,413496.8878950293,28020.57755001433,469538.0429950579,644.8575178556384,-18118.270449264848,644.8575178556312,-16828.55541355355,-5504339.999849807,-220173599.99399227,2iter_xscen_xdev_test
254,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,26112.470400992635,368473.0358129964,26112.47040099264,420697.97661498166,2552.964666877331,26905.58163276804,2552.964666877324,32011.51096652268,10470431.711966792,418817268.47867167,2iter_xscen_xdev_test
267,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,28577.866418752077,395862.8514458413,28577.86641875207,453018.58428334544,87.56864911789307,-484.23400007688906,87.56864911789307,-309.0967018411029,-101100.3795605274,-4044015.182421096,2iter_xscen_xdev_test
28,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,27596.162978194625,625903.6656942551,27596.162978194625,681095.9916506445,1069.2720941932348,975.186133887386,1069.2720941932348,3113.730322273681,1018449.2929103498,40737971.71641399,2iter_xscen_xdev_test
109,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,28020.57755294957,665088.1430436249,28020.57755294957,721129.298149524,644.8575194382938,-38209.2912154824,644.8575194382938,-36919.576176605886,-12075778.041098174,-483031121.643927,2iter_xscen_xdev_test
254,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,26112.47040379581,557832.4880133256,26112.47040379581,610057.4288209173,2552.964668592045,69046.36381481693,2552.964668592045,74152.29315200087,24253979.21846695,970159168.738678,2iter_xscen_xdev_test
267,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,28577.866423558808,627457.9923928062,28577.866423558808,684613.7252399238,87.56864882905211,-579.1405646636849,87.56864882905211,-404.003267005668,-132142.73524977057,-5285709.409990823,2iter_xscen_xdev_test
28,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,27596.16297489777,836825.8533817449,27596.16297489777,892018.1793315405,1069.2720934958998,6184.410805093008,1069.2720934958998,8322.95499208488,2722299.861994429,108891994.4797772,2iter_xscen_xdev_test
109,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28020.577550501654,900021.7331540599,28020.57755050165,956062.8882550632,644.8575178920182,-57011.46896722191,644.8575178920219,-55721.75393143785,-18225657.01507446,-729026280.6029785,2iter_xscen_xdev_test
254,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,26112.470401543746,734521.966324875,26112.470401543746,786746.9071279626,2552.9646668499263,108488.29786196291,2552.9646668499263,113594.2271956628,37154778.47858137,1486191139.1432548,2iter_xscen_xdev_test
267,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28577.866419221577,843701.0384804829,28577.86641922158,900856.771318926,87.56864917209532,-690.7742936449358,87.56864917209168,-515.636995300767,-168656.2672129592,-6746250.688518369,2iter_xscen_xdev_test
28,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27596.16297348544,966908.279428422,27596.162973485432,1022100.6053753928,1069.2720928802846,9371.083591779112,1069.2720928802885,11509.627777539776,3764607.418903635,150584296.7561454,2iter_xscen_xdev_test
109,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28020.577549127647,1044860.1098705396,28020.577549127644,1100901.264968795,644.8575172380733,-68580.74685033853,644.857517238077,-67291.0318158624,-22009774.98977166,-880390999.5908664,2iter_xscen_xdev_test
254,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,26112.470399258345,843532.5531539908,26112.470399258345,895757.4939525074,2552.964667107375,132746.80986621033,2552.964667107375,137852.73920042522,45089333.44680575,1803573337.8722296,2iter_xscen_xdev_test
267,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28577.866417209305,977031.6799130372,28577.8664172093,1034187.412747456,87.56864915641563,-752.3168928362429,87.56864915641927,-577.1795945232734,-188785.825708654,-7551433.02834616,2iter_xscen_xdev_test
28,scenario_19,28665.43507365332,662569.7777861,28665.43507365332,719900.6479334068,27596.162980641533,633413.1770571551,27596.162980641537,688605.5030184382,1069.272093011783,29156.60072894499,1069.2720930117794,31295.14491496852,10236120.31593762,409444812.6375048,5iter_5scen_4dev_test_1542375
