mode,development,scenario,score_id,standalone_value,integrated_value
Road,0,scenario_19,construction,152678141.04011753,4392239.543789739
Road,2,scenario_19,construction,194912878.2946077,5607247.021788821
Road,9,scenario_19,construction,1345794052.1316106,38715757.300295584
Road,12,scenario_19,construction,312373893.82249105,8986361.502359474
Road,15,scenario_19,construction,195150622.90997052,5614086.450758847
Road,17,scenario_19,construction,2357229443.5123625,67812696.0745481
Road,25,scenario_19,construction,153682014.62583685,4421118.9447971415
Road,27,scenario_19,construction,150350312.53158265,4325272.652807869
Road,28,scenario_19,construction,2450896121.356007,70507295.86177087
Road,57,scenario_19,construction,141144892.03203666,4060451.4304647534
Road,62,scenario_19,construction,140830295.48902065,4051401.1278663515
Road,63,scenario_19,construction,1122072298.9151125,32279737.54927389
Road,73,scenario_19,construction,166819302.03902298,4799051.980143475
Road,90,scenario_19,construction,137847332.70199814,3965587.3563496363
Road,94,scenario_19,construction,121470946.13406222,3494472.027213062
Road,103,scenario_19,construction,259656718.26383355,7469795.597454983
Road,104,scenario_19,construction,126249993.90891679,3631955.510279974
Road,109,scenario_19,construction,1719139270.9049108,49456139.79519407
Road,114,scenario_19,construction,153451414.61605844,4414485.051596405
Road,126,scenario_19,construction,481418563.00908685,13849432.768554196
Road,140,scenario_19,construction,141422827.4711255,4068447.067678242
Road,143,scenario_19,construction,429374947.4540389,12352243.814815175
Road,144,scenario_19,construction,161237634.02609128,4638478.74549646
Road,150,scenario_19,construction,521617136.85194135,15005863.967111586
Road,152,scenario_19,construction,2268314320.0625086,65254788.84174534
Road,176,scenario_19,construction,749620226.0889233,21565049.046459354
Road,177,scenario_19,construction,134517491.09974346,3869794.586930625
Road,195,scenario_19,construction,365521611.4676312,10515313.22729447
Road,197,scenario_19,construction,148324872.0083149,4267004.8490523
Road,201,scenario_19,construction,352625123.7916697,10144307.510559477
Road,202,scenario_19,construction,191211564.68119022,5500767.758247435
Road,206,scenario_19,construction,142935970.24447098,4111977.10727141
Road,209,scenario_19,construction,253701155.7129953,7298466.177519016
Road,227,scenario_19,construction,160838770.7169813,4627004.259450816
Road,233,scenario_19,construction,138027096.7062853,3970758.8010816793
Road,240,scenario_19,construction,180428309.50240535,5190555.441773202
Road,243,scenario_19,construction,474497528.1196527,13650328.67337574
Road,245,scenario_19,construction,226783942.1590449,6524112.69787304
Road,249,scenario_19,construction,238071104.51270106,6848821.398733349
Road,250,scenario_19,construction,1561329695.3764071,44916279.31940507
Road,254,scenario_19,construction,1323823495.5568194,38083709.07957804
Road,255,scenario_19,construction,141104681.34951812,4059294.6509242277
Road,261,scenario_19,construction,128951399.92581557,3709669.466255746
Road,267,scenario_19,construction,143075132.13023564,4115980.5116453427
Road,270,scenario_19,construction,443045218.6099368,12745509.70825755
Road,273,scenario_19,construction,142458879.86503434,4098252.1875399556
Road,277,scenario_19,construction,1001643662.0882915,28815250.64059146
Road,284,scenario_19,construction,165840820.01590046,4770903.042741121
Road,285,scenario_19,construction,1081651927.7502804,31116925.69293759
Road,289,scenario_19,construction,1806910338.443409,51981134.86663612
Road,308,scenario_19,construction,1272109016.5535288,36595988.714912
Road,331,scenario_19,construction,1809319030.8791187,52050428.048311494
Road,334,scenario_19,construction,154144214.2024022,4434415.486420476
Road,348,scenario_19,construction,511767627.3162046,14722513.613386558
Road,351,scenario_19,construction,215490664.74718246,6199228.079227231
Road,356,scenario_19,construction,291513841.5784751,8386260.232279089
Road,358,scenario_19,construction,1557411441.409194,44803559.12317945
Road,390,scenario_19,construction,385392973.1395786,11086971.880785288
Road,392,scenario_19,construction,126427411.9691598,3637059.466973926
Road,394,scenario_19,construction,223218285.19308734,6421536.000129825
Road,423,scenario_19,construction,221136245.255448,6361639.946355853
Road,459,scenario_19,construction,1288511994.7396402,37067869.0308115
Road,464,scenario_19,construction,131288839.33600885,3776912.8433280787
Road,469,scenario_19,construction,157735155.08297828,4537719.550955379
Road,486,scenario_19,construction,1776737974.7240279,51113137.33827317
Road,493,scenario_19,construction,127574143.01461123,3670048.5865008635
Road,499,scenario_19,construction,149721588.62910992,4307185.545067666
Road,517,scenario_19,construction,135901440.20503777,3909607.9874963877
Road,521,scenario_19,construction,1340309963.014307,38557991.211983316
Road,531,scenario_19,construction,183125203.2839687,5268139.589917046
Road,533,scenario_19,construction,270883968.7693062,7792780.756314186
Road,538,scenario_19,construction,520403221.32182837,14970942.086625881
Road,540,scenario_19,construction,182656476.46843788,5254655.272906217
Road,546,scenario_19,construction,139232704.69704866,4005441.6905592787
Road,550,scenario_19,construction,241897366.88950434,6958895.184029794
Road,552,scenario_19,construction,143780849.82948923,4136282.5743001364
Road,556,scenario_19,construction,156767661.50513065,4509886.7287711715
Road,557,scenario_19,construction,1295171144.4890049,37259439.223230146
Road,558,scenario_19,construction,2082142906.5445366,59899015.97991827
Road,564,scenario_19,construction,2039196649.1737866,58663539.51553025
Road,565,scenario_19,construction,651838660.2994602,18752072.303434245
Road,569,scenario_19,construction,184817747.65013394,5316830.648401549
Road,594,scenario_19,construction,1471261542.2696161,42325201.76883542
Road,602,scenario_19,construction,692114198.1232255,19910717.599164292
Road,612,scenario_19,construction,1560568518.3662302,44894381.80518891
Road,614,scenario_19,construction,133434475.53122531,3838638.432066679
Road,625,scenario_19,construction,175602227.86178,5051718.890063141
Road,627,scenario_19,construction,167400540.7378984,4815773.03516936
Road,628,scenario_19,construction,175686226.4489187,5054135.358547363
Road,629,scenario_19,construction,402931427.64072055,11591517.5405116
Road,648,scenario_19,construction,1071396212.4812833,30821889.626559883
Road,662,scenario_19,construction,530762211.27003866,15268949.155445866
Road,669,scenario_19,construction,146397842.0088156,4211568.115881399
Road,670,scenario_19,construction,163731572.53603578,4710224.283322206
Road,673,scenario_19,construction,123156084.40216218,3542950.0273215203
Road,678,scenario_19,construction,183630858.38641328,5282686.258623817
Road,680,scenario_19,construction,379273129.26478386,10910916.421335924
Road,682,scenario_19,construction,2012529101.0006804,57896368.40102829
Road,689,scenario_19,construction,248009031.861101,7134715.353071464
Road,694,scenario_19,construction,244000087.32599494,7019386.17368798
Road,726,scenario_19,construction,163141107.3825319,4693237.801964877
Road,736,scenario_19,construction,160242608.0847507,4609853.873220184
Road,750,scenario_19,construction,405667555.44615126,11670230.37171327
Road,755,scenario_19,construction,1595495248.5975742,45899152.78689137
Road,759,scenario_19,construction,2243886982.086268,64552064.01762943
Road,761,scenario_19,construction,194510161.53526613,5595661.679818603
Road,764,scenario_19,construction,1237553924.4870203,35601909.007235095
Road,767,scenario_19,construction,150623175.04687318,4333122.35232289
Road,770,scenario_19,construction,143492675.31249598,4127992.3796434063
Road,775,scenario_19,construction,382970892.88338715,11017293.558747813
Road,776,scenario_19,construction,209077719.4171044,6014740.687128781
Road,780,scenario_19,construction,173941505.44616896,5003943.284364692
Road,789,scenario_19,construction,240556252.56542307,6920314.0529861245
Road,791,scenario_19,construction,218905443.42968664,6297464.315668204
Road,809,scenario_19,construction,219932541.20594823,6327011.829395459
Road,810,scenario_19,construction,335471943.9859319,9650845.4201041
Road,811,scenario_19,construction,133189653.18864092,3831595.3912818176
Road,813,scenario_19,construction,361895853.9050882,10411007.557642573
Road,822,scenario_19,construction,223972069.77134562,6443220.849117179
Road,831,scenario_19,construction,175544162.2241604,5050048.459784447
Road,837,scenario_19,construction,140808329.995619,4050769.225302826
Road,858,scenario_19,construction,695861081.2461154,20018507.804796882
Road,863,scenario_19,construction,259828758.63152117,7474744.848873279
Road,866,scenario_19,construction,157773330.63999507,4538817.784075019
Road,873,scenario_19,construction,937904892.4755925,26981615.894594394
Road,878,scenario_19,construction,258005630.69715536,7422297.166761371
Road,887,scenario_19,construction,125479383.29471019,3609786.610465475
Road,895,scenario_19,construction,1590635580.0951273,45759350.00948823
Road,935,scenario_19,construction,138564866.10173878,3986229.3326722495
Road,938,scenario_19,construction,201434501.61455643,5794860.858585888
Road,940,scenario_19,construction,139805361.10945883,4021915.8506614235
Road,945,scenario_19,construction,171511011.49686155,4934022.917491187
Road,952,scenario_19,construction,1724097680.4831092,49598783.15249003
Road,958,scenario_19,construction,157194165.85115075,4522156.3912220355
Road,964,scenario_19,construction,150458890.59717762,4328396.222888337
Road,970,scenario_19,construction,135600277.14398867,3900944.1388481315
Road,971,scenario_19,construction,374480090.2625369,10773030.439117527
Road,987,scenario_19,construction,162757318.6235116,4682196.980061052
Road,0,scenario_29,construction,152678141.04011753,4392239.543789739
Road,2,scenario_29,construction,194912878.2946077,5607247.021788821
Road,9,scenario_29,construction,1345794052.1316106,38715757.300295584
Road,12,scenario_29,construction,312373893.82249105,8986361.502359474
Road,15,scenario_29,construction,195150622.90997052,5614086.450758847
Road,17,scenario_29,construction,2357229443.5123625,67812696.0745481
Road,25,scenario_29,construction,153682014.62583685,4421118.9447971415
Road,27,scenario_29,construction,150350312.53158265,4325272.652807869
Road,28,scenario_29,construction,2450896121.356007,70507295.86177087
Road,57,scenario_29,construction,141144892.03203666,4060451.4304647534
Road,62,scenario_29,construction,140830295.48902065,4051401.1278663515
Road,63,scenario_29,construction,1122072298.9151125,32279737.54927389
Road,73,scenario_29,construction,166819302.03902298,4799051.980143475
Road,90,scenario_29,construction,137847332.70199814,3965587.3563496363
Road,94,scenario_29,construction,121470946.13406222,3494472.027213062
Road,103,scenario_29,construction,259656718.26383355,7469795.597454983
Road,104,scenario_29,construction,126249993.90891679,3631955.510279974
Road,109,scenario_29,construction,1719139270.9049108,49456139.79519407
Road,114,scenario_29,construction,153451414.61605844,4414485.051596405
Road,126,scenario_29,construction,481418563.00908685,13849432.768554196
Road,140,scenario_29,construction,141422827.4711255,4068447.067678242
Road,143,scenario_29,construction,429374947.4540389,12352243.814815175
Road,144,scenario_29,construction,161237634.02609128,4638478.74549646
Road,150,scenario_29,construction,521617136.85194135,15005863.967111586
Road,152,scenario_29,construction,2268314320.0625086,65254788.84174534
Road,176,scenario_29,construction,749620226.0889233,21565049.046459354
Road,177,scenario_29,construction,134517491.09974346,3869794.586930625
Road,195,scenario_29,construction,365521611.4676312,10515313.22729447
Road,197,scenario_29,construction,148324872.0083149,4267004.8490523
Road,201,scenario_29,construction,352625123.7916697,10144307.510559477
Road,202,scenario_29,construction,191211564.68119022,5500767.758247435
Road,206,scenario_29,construction,142935970.24447098,4111977.10727141
Road,209,scenario_29,construction,253701155.7129953,7298466.177519016
Road,227,scenario_29,construction,160838770.7169813,4627004.259450816
Road,233,scenario_29,construction,138027096.7062853,3970758.8010816793
Road,240,scenario_29,construction,180428309.50240535,5190555.441773202
Road,243,scenario_29,construction,474497528.1196527,13650328.67337574
Road,245,scenario_29,construction,226783942.1590449,6524112.69787304
Road,249,scenario_29,construction,238071104.51270106,6848821.398733349
Road,250,scenario_29,construction,1561329695.3764071,44916279.31940507
Road,254,scenario_29,construction,1323823495.5568194,38083709.07957804
Road,255,scenario_29,construction,141104681.34951812,4059294.6509242277
Road,261,scenario_29,construction,128951399.92581557,3709669.466255746
Road,267,scenario_29,construction,143075132.13023564,4115980.5116453427
Road,270,scenario_29,construction,443045218.6099368,12745509.70825755
Road,273,scenario_29,construction,142458879.86503434,4098252.1875399556
Road,277,scenario_29,construction,1001643662.0882915,28815250.64059146
Road,284,scenario_29,construction,165840820.01590046,4770903.042741121
Road,285,scenario_29,construction,1081651927.7502804,31116925.69293759
Road,289,scenario_29,construction,1806910338.443409,51981134.86663612
Road,308,scenario_29,construction,1272109016.5535288,36595988.714912
Road,331,scenario_29,construction,1809319030.8791187,52050428.048311494
Road,334,scenario_29,construction,154144214.2024022,4434415.486420476
Road,348,scenario_29,construction,511767627.3162046,14722513.613386558
Road,351,scenario_29,construction,215490664.74718246,6199228.079227231
Road,356,scenario_29,construction,291513841.5784751,8386260.232279089
Road,358,scenario_29,construction,1557411441.409194,44803559.12317945
Road,390,scenario_29,construction,385392973.1395786,11086971.880785288
Road,392,scenario_29,construction,126427411.9691598,3637059.466973926
Road,394,scenario_29,construction,223218285.19308734,6421536.000129825
Road,423,scenario_29,construction,221136245.255448,6361639.946355853
Road,459,scenario_29,construction,1288511994.7396402,37067869.0308115
Road,464,scenario_29,construction,131288839.33600885,3776912.8433280787
Road,469,scenario_29,construction,157735155.08297828,4537719.550955379
Road,486,scenario_29,construction,1776737974.7240279,51113137.33827317
Road,493,scenario_29,construction,127574143.01461123,3670048.5865008635
Road,499,scenario_29,construction,149721588.62910992,4307185.545067666
Road,517,scenario_29,construction,135901440.20503777,3909607.9874963877
Road,521,scenario_29,construction,1340309963.014307,38557991.211983316
Road,531,scenario_29,construction,183125203.2839687,5268139.589917046
Road,533,scenario_29,construction,270883968.7693062,7792780.756314186
Road,538,scenario_29,construction,520403221.32182837,14970942.086625881
Road,540,scenario_29,construction,182656476.46843788,5254655.272906217
Road,546,scenario_29,construction,139232704.69704866,4005441.6905592787
Road,550,scenario_29,construction,241897366.88950434,6958895.184029794
Road,552,scenario_29,construction,143780849.82948923,4136282.5743001364
Road,556,scenario_29,construction,156767661.50513065,4509886.7287711715
Road,557,scenario_29,construction,1295171144.4890049,37259439.223230146
Road,558,scenario_29,construction,2082142906.5445366,59899015.97991827
Road,564,scenario_29,construction,2039196649.1737866,58663539.51553025
Road,565,scenario_29,construction,651838660.2994602,18752072.303434245
Road,569,scenario_29,construction,184817747.65013394,5316830.648401549
Road,594,scenario_29,construction,1471261542.2696161,42325201.76883542
Road,602,scenario_29,construction,692114198.1232255,19910717.599164292
Road,612,scenario_29,construction,1560568518.3662302,44894381.80518891
Road,614,scenario_29,construction,133434475.53122531,3838638.432066679
Road,625,scenario_29,construction,175602227.86178,5051718.890063141
Road,627,scenario_29,construction,167400540.7378984,4815773.03516936
Road,628,scenario_29,construction,175686226.4489187,5054135.358547363
Road,629,scenario_29,construction,402931427.64072055,11591517.5405116
Road,648,scenario_29,construction,1071396212.4812833,30821889.626559883
Road,662,scenario_29,construction,530762211.27003866,15268949.155445866
Road,669,scenario_29,construction,146397842.0088156,4211568.115881399
Road,670,scenario_29,construction,163731572.53603578,4710224.283322206
Road,673,scenario_29,construction,123156084.40216218,3542950.0273215203
Road,678,scenario_29,construction,183630858.38641328,5282686.258623817
Road,680,scenario_29,construction,379273129.26478386,10910916.421335924
Road,682,scenario_29,construction,2012529101.0006804,57896368.40102829
Road,689,scenario_29,construction,248009031.861101,7134715.353071464
Road,694,scenario_29,construction,244000087.32599494,7019386.17368798
Road,726,scenario_29,construction,163141107.3825319,4693237.801964877
Road,736,scenario_29,construction,160242608.0847507,4609853.873220184
Road,750,scenario_29,construction,405667555.44615126,11670230.37171327
Road,755,scenario_29,construction,1595495248.5975742,45899152.78689137
Road,759,scenario_29,construction,2243886982.086268,64552064.01762943
Road,761,scenario_29,construction,194510161.53526613,5595661.679818603
Road,764,scenario_29,construction,1237553924.4870203,35601909.007235095
Road,767,scenario_29,construction,150623175.04687318,4333122.35232289
Road,770,scenario_29,construction,143492675.31249598,4127992.3796434063
Road,775,scenario_29,construction,382970892.88338715,11017293.558747813
Road,776,scenario_29,construction,209077719.4171044,6014740.687128781
Road,780,scenario_29,construction,173941505.44616896,5003943.284364692
Road,789,scenario_29,construction,240556252.56542307,6920314.0529861245
Road,791,scenario_29,construction,218905443.42968664,6297464.315668204
Road,809,scenario_29,construction,219932541.20594823,6327011.829395459
Road,810,scenario_29,construction,335471943.9859319,9650845.4201041
Road,811,scenario_29,construction,133189653.18864092,3831595.3912818176
Road,813,scenario_29,construction,361895853.9050882,10411007.557642573
Road,822,scenario_29,construction,223972069.77134562,6443220.849117179
Road,831,scenario_29,construction,175544162.2241604,5050048.459784447
Road,837,scenario_29,construction,140808329.995619,4050769.225302826
Road,858,scenario_29,construction,695861081.2461154,20018507.804796882
Road,863,scenario_29,construction,259828758.63152117,7474744.848873279
Road,866,scenario_29,construction,157773330.63999507,4538817.784075019
Road,873,scenario_29,construction,937904892.4755925,26981615.894594394
Road,878,scenario_29,construction,258005630.69715536,7422297.166761371
Road,887,scenario_29,construction,125479383.29471019,3609786.610465475
Road,895,scenario_29,construction,1590635580.0951273,45759350.00948823
Road,935,scenario_29,construction,138564866.10173878,3986229.3326722495
Road,938,scenario_29,construction,201434501.61455643,5794860.858585888
Road,940,scenario_29,construction,139805361.10945883,4021915.8506614235
Road,945,scenario_29,construction,171511011.49686155,4934022.917491187
Road,952,scenario_29,construction,1724097680.4831092,49598783.15249003
Road,958,scenario_29,construction,157194165.85115075,4522156.3912220355
Road,964,scenario_29,construction,150458890.59717762,4328396.222888337
Road,970,scenario_29,construction,135600277.14398867,3900944.1388481315
Road,971,scenario_29,construction,374480090.2625369,10773030.439117527
Road,987,scenario_29,construction,162757318.6235116,4682196.980061052
Road,0,scenario_30,construction,152678141.04011753,4392239.543789739
Road,2,scenario_30,construction,194912878.2946077,5607247.021788821
Road,9,scenario_30,construction,1345794052.1316106,38715757.300295584
Road,12,scenario_30,construction,312373893.82249105,8986361.502359474
Road,15,scenario_30,construction,195150622.90997052,5614086.450758847
Road,17,scenario_30,construction,2357229443.5123625,67812696.0745481
Road,25,scenario_30,construction,153682014.62583685,4421118.9447971415
Road,27,scenario_30,construction,150350312.53158265,4325272.652807869
Road,28,scenario_30,construction,2450896121.356007,70507295.86177087
Road,57,scenario_30,construction,141144892.03203666,4060451.4304647534
Road,62,scenario_30,construction,140830295.48902065,4051401.1278663515
Road,63,scenario_30,construction,1122072298.9151125,32279737.54927389
Road,73,scenario_30,construction,166819302.03902298,4799051.980143475
Road,90,scenario_30,construction,137847332.70199814,3965587.3563496363
Road,94,scenario_30,construction,121470946.13406222,3494472.027213062
Road,103,scenario_30,construction,259656718.26383355,7469795.597454983
Road,104,scenario_30,construction,126249993.90891679,3631955.510279974
Road,109,scenario_30,construction,1719139270.9049108,49456139.79519407
Road,114,scenario_30,construction,153451414.61605844,4414485.051596405
Road,126,scenario_30,construction,481418563.00908685,13849432.768554196
Road,140,scenario_30,construction,141422827.4711255,4068447.067678242
Road,143,scenario_30,construction,429374947.4540389,12352243.814815175
Road,144,scenario_30,construction,161237634.02609128,4638478.74549646
Road,150,scenario_30,construction,521617136.85194135,15005863.967111586
Road,152,scenario_30,construction,2268314320.0625086,65254788.84174534
Road,176,scenario_30,construction,749620226.0889233,21565049.046459354
Road,177,scenario_30,construction,134517491.09974346,3869794.586930625
Road,195,scenario_30,construction,365521611.4676312,10515313.22729447
Road,197,scenario_30,construction,148324872.0083149,4267004.8490523
Road,201,scenario_30,construction,352625123.7916697,10144307.510559477
Road,202,scenario_30,construction,191211564.68119022,5500767.758247435
Road,206,scenario_30,construction,142935970.24447098,4111977.10727141
Road,209,scenario_30,construction,253701155.7129953,7298466.177519016
Road,227,scenario_30,construction,160838770.7169813,4627004.259450816
Road,233,scenario_30,construction,138027096.7062853,3970758.8010816793
Road,240,scenario_30,construction,180428309.50240535,5190555.441773202
Road,243,scenario_30,construction,474497528.1196527,13650328.67337574
Road,245,scenario_30,construction,226783942.1590449,6524112.69787304
Road,249,scenario_30,construction,238071104.51270106,6848821.398733349
Road,250,scenario_30,construction,1561329695.3764071,44916279.31940507
Road,254,scenario_30,construction,1323823495.5568194,38083709.07957804
Road,255,scenario_30,construction,141104681.34951812,4059294.6509242277
Road,261,scenario_30,construction,128951399.92581557,3709669.466255746
Road,267,scenario_30,construction,143075132.13023564,4115980.5116453427
Road,270,scenario_30,construction,443045218.6099368,12745509.70825755
Road,273,scenario_30,construction,142458879.86503434,4098252.1875399556
Road,277,scenario_30,construction,1001643662.0882915,28815250.64059146
Road,284,scenario_30,construction,165840820.01590046,4770903.042741121
Road,285,scenario_30,construction,1081651927.7502804,31116925.69293759
Road,289,scenario_30,construction,1806910338.443409,51981134.86663612
Road,308,scenario_30,construction,1272109016.5535288,36595988.714912
Road,331,scenario_30,construction,1809319030.8791187,52050428.048311494
Road,334,scenario_30,construction,154144214.2024022,4434415.486420476
Road,348,scenario_30,construction,511767627.3162046,14722513.613386558
Road,351,scenario_30,construction,215490664.74718246,6199228.079227231
Road,356,scenario_30,construction,291513841.5784751,8386260.232279089
Road,358,scenario_30,construction,1557411441.409194,44803559.12317945
Road,390,scenario_30,construction,385392973.1395786,11086971.880785288
Road,392,scenario_30,construction,126427411.9691598,3637059.466973926
Road,394,scenario_30,construction,223218285.19308734,6421536.000129825
Road,423,scenario_30,construction,221136245.255448,6361639.946355853
Road,459,scenario_30,construction,1288511994.7396402,37067869.0308115
Road,464,scenario_30,construction,131288839.33600885,3776912.8433280787
Road,469,scenario_30,construction,157735155.08297828,4537719.550955379
Road,486,scenario_30,construction,1776737974.7240279,51113137.33827317
Road,493,scenario_30,construction,127574143.01461123,3670048.5865008635
Road,499,scenario_30,construction,149721588.62910992,4307185.545067666
Road,517,scenario_30,construction,135901440.20503777,3909607.9874963877
Road,521,scenario_30,construction,1340309963.014307,38557991.211983316
Road,531,scenario_30,construction,183125203.2839687,5268139.589917046
