development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
100001,scenario_29,10620938.839029584,,,,,,,0.0,0.0,0.0,0.0,11830079.858493412,1470832.908922622,1551728.718913366,1470832.908922622,1551728.718913366,7.221036988361493,7.623806735224762,10278351.139580045,Rail,2050.0,63411.87955455191,61497.507016875345,1914.3725376765651,10620938.839029584,259560000.0,7.66,0.0,0.0,1470832.908922622
100001,scenario_30,9711764.409207836,,,,,,,0.0,0.0,0.0,0.0,10817400.44539228,1470832.908922622,1551728.718913366,1470832.908922622,1551728.718913366,6.602901220317172,6.971193040087197,9265671.726478916,Rail,2050.0,57758.83794962566,56008.33967831927,1750.498271306387,9711764.409207836,296770000.0,8.61,0.0,0.0,1470832.908922622
100001,scenario_19,8981057.622745698,,,,,,,0.0,0.0,0.0,0.0,10003506.328497056,1470832.908922622,1551728.718913366,1470832.908922622,1551728.718913366,6.106103261807134,6.446685046534579,8451777.60958369,Rail,2050.0,53134.54225118156,51515.75032206374,1618.791929117826,8981057.622745698,256220000.00000003,7.57,0.0,0.0,1470832.908922622
100000,scenario_29,3352335.094028256,,,,,,,0.0,0.0,0.0,0.0,3733981.757718869,1132535.0372548352,1194824.4643038511,1132535.0372548352,1194824.4643038511,2.960027711066688,3.1251299829171346,2539157.293415018,Rail,2050.0,63411.87955455191,62807.63746838964,604.2420861622668,3352335.094028256,64190000.0,3.14,0.0,0.0,1132535.0372548352
100000,scenario_30,3067228.0281241536,,,,,,,0.0,0.0,0.0,0.0,3416416.6715259384,1132535.0372548352,1194824.4643038511,1132535.0372548352,1194824.4643038511,2.7082853308969965,2.859346099442707,2221592.2072220873,Rail,2050.0,57758.83794962566,57205.98502458526,552.8529250404026,3067228.0281241536,76040000.0,3.53,0.0,0.0,1132535.0372548352
100000,scenario_19,2835556.582573896,,,,,,,0.0,0.0,0.0,0.0,3158370.585080103,1132535.0372548352,1194824.4643038511,1132535.0372548352,1194824.4643038511,2.5037252617340955,2.643376227586942,1963546.120776252,Rail,2050.0,53134.54225118156,52623.44697674503,511.09527443653496,2835556.582573896,63150000.0,3.1,0.0,0.0,1132535.0372548352
101016,scenario_29,6017449.7748482935,,,,,,,18300000.0,668970.1846914588,549000.0,579195.0,6702506.478931267,1845066.0495133616,1946544.6822365965,20694066.049513362,3194709.8669280554,0.2907814133989293,2.0980016208408343,3507796.6120032114,Rail,2050.0,63411.87955455191,62327.26351726851,1084.6160372833983,6017449.7748482935,86810000.0,2.05,18300000.0,549000.0,1845066.0495133616
101016,scenario_30,5491113.192833463,,,,,,,18300000.0,668970.1846914588,549000.0,579195.0,6116249.0969754895,1845066.0495133616,1946544.6822365965,20694066.049513362,3194709.8669280554,0.2653472343083872,1.9144928183593415,2921539.230047434,Rail,2050.0,57758.83794962566,56769.091519771035,989.7464298546256,5491113.192833463,107180000.0,2.3,18300000.0,549000.0,1845066.0495133616
101016,scenario_19,5076050.175595018,,,,,,,18300000.0,668970.1846914588,549000.0,579195.0,5653933.221264576,1845066.0495133616,1946544.6822365965,20694066.049513362,3194709.8669280554,0.24529013116368137,1.769779872593326,2459223.35433652,Rail,2050.0,53134.54225118156,52219.60891023077,914.9333409507964,5076050.175595018,84700000.0,2.03,18300000.0,549000.0,1845066.0495133616
100002,scenario_29,3950828.822322464,,,,,,,18300000.0,668970.1846914588,549000.0,579195.0,4400611.017884616,1491223.5000004936,1573240.7925005206,20340223.50000049,2821405.9771919795,0.1942372374778659,1.559722724577322,1579205.0406926363,Rail,2050.0,63411.87955455191,62699.76188650532,712.1176680465869,3950828.822322464,38220000.0,1.52,18300000.0,549000.0,1491223.5000004936
334,scenario_19,786320238.3894304,124188614.21433878,154144214.2024022,400252070.1311321,107735339.84155726,2154706.796831145,107735339.84155726,154144214.2024022,4434415.486420476,2154706.796831145,2544298.6729521872,875838883.4999136,0.0,0.0,156298920.99923334,6978714.159372663,5.030874387119328,125.50146968315511,468608099.20940876,Road,,,,,,,,,,
0,scenario_19,550665471.2926103,-53708190.97613782,152678141.04011753,345276872.71142757,106418648.51720302,2128372.97034406,106418648.517203,152678141.04011753,4392239.543789739,2128372.97034406,2513203.435361913,613355994.1770366,0.0,0.0,154806514.0104616,6905442.979151651,3.5571208021349614,88.82210685524895,261173678.48645747,Road,,,,,,,,,,
669,scenario_19,525426936.49796,71432353.57553607,146397842.0088156,206801834.96259755,100794905.9510108,2015898.119020216,100794905.9510108,146397842.0088156,4211568.115881399,2015898.119020216,2380392.040612237,585244177.8247114,0.0,0.0,148413740.1278358,6591960.156493636,3.540284990091785,88.78151019286678,371850382.7056202,Road,,,,,,,,,,
557,scenario_19,4329290481.573522,1143099298.396232,1295171144.4890049,1058031572.875066,832988465.813219,16659769.316264382,832988465.8132188,1295171144.4890049,37259439.223230146,16659769.316264382,19672017.104786046,4822158653.190179,0.0,0.0,1311830913.8052692,56931456.32801619,3.300189403995224,84.70112946710579,3707195623.987097,Road,,,,,,,,,,
254,scenario_19,4318077144.925266,1754640780.1762218,1323823495.5568194,395701901.59197915,843910967.6002458,16878219.352004915,843910967.600246,1323823495.5568194,38083709.07957804,16878219.352004915,19929965.02459509,4809668733.980631,0.0,0.0,1340701714.9088244,58013674.10417313,3.220759022612961,82.90577709910384,4355953158.284479,Road,,,,,,,,,,
9,scenario_19,3718461673.8386526,398224269.2394645,1345794052.1316106,1102132191.6912076,872311160.7763699,17446223.215527397,872311160.7763696,1345794052.1316106,38715757.300295584,17446223.215527397,20600669.49274701,4141790026.189211,0.0,0.0,1363240275.347138,59316426.79304259,2.7276641844313008,69.82534603171705,2980341407.704961,Road,,,,,,,,,,
423,scenario_19,557501800.1396784,-445616385.3672172,221136245.255448,632055904.0478072,149926036.20364034,2998520.7240728065,149926036.20364022,221136245.255448,6361639.946355853,2998520.7240728065,3540682.337985838,620970605.034463,0.0,0.0,224134765.97952083,9902322.284341691,2.487350847617354,62.709593487619486,-20987621.29768586,Road,,,,,,,,,,
938,scenario_19,494006666.17382455,-843590340.3906885,201434501.61455643,986212307.9197009,149950197.03025582,2999003.940605116,149950197.0302558,201434501.61455643,5794860.858585888,2999003.940605116,3541252.9247513837,550246866.1234103,0.0,0.0,204433505.55516154,9336113.78333727,2.4164662481930024,58.93746358420238,-445301555.57962775,Road,,,,,,,,,,
334,scenario_30,343491954.7525436,-318639669.42254794,154144214.2024022,400252070.1311321,107735339.84155726,2154706.796831145,107735339.84155726,154144214.2024022,4434415.486420476,2154706.796831145,2544298.6729521872,382596804.016986,0.0,0.0,156298920.99923334,6978714.159372663,2.1976604352516835,54.82339515269368,-24633980.2735188,Road,,,,,,,,,,
673,scenario_19,253660468.28136384,-60365527.63881765,123156084.40216218,110811224.86079405,80058686.65722525,1601173.7331445047,80058686.65722525,123156084.40216218,3542950.0273215203,1601173.7331445047,1890681.4655231787,282538449.96112883,0.0,0.0,124757258.13530669,5433631.492844699,2.03323215075995,51.99808826439386,166293593.60749006,Road,,,,,,,,,,
