kind,development_int,scenario_norm,nit,constraint_violation,solver_time_s
status_quo,,scenario_26,5,0.0252,340.0
status_quo,,scenario_44,5,0.3,340.0
status_quo,,scenario_64,5,0.294,320.0
status_quo,,scenario_19,5,0.298,320.0
status_quo,,scenario_78,5,0.298,320.0
development,254.0,scenario_64,5,0.293,850.0
development,28.0,scenario_64,5,0.312,1000.0
development,254.0,scenario_44,5,0.021,1000.0
development,109.0,scenario_26,5,0.156,1200.0
development,267.0,scenario_44,5,0.3,1300.0
development,254.0,scenario_26,5,0.153,1400.0
development,254.0,scenario_19,5,0.293,1500.0
development,267.0,scenario_19,5,0.299,1400.0
development,267.0,scenario_26,5,0.144,1400.0
development,28.0,scenario_19,5,0.298,1400.0
development,267.0,scenario_78,5,0.298,1500.0
development,109.0,scenario_19,5,0.298,1500.0
development,254.0,scenario_78,5,0.294,1600.0
development,28.0,scenario_78,5,0.298,1500.0
development,109.0,scenario_44,5,0.317,1600.0
development,28.0,scenario_26,5,0.145,1600.0
development,109.0,scenario_78,5,0.305,1600.0
development,109.0,scenario_64,5,0.292,1600.0
development,28.0,scenario_44,5,0.299,1700.0
development,267.0,scenario_64,5,0.311,1700.0
