iteration,development,unweighted_mean,unweighted_std,weighted_mean,weighted_std
2iter,28,0.7799695081183126,0.40273172862271417,0.8507234245608508,0.44686830561462654
2iter,109,-3.2273256959172043,1.7210361632221507,-3.021644834214165,1.6129667192786217
2iter,254,7.475491142798733,3.99801242559589,7.172691840169335,3.825683449990592
2iter,267,-0.05708641669763054,0.02260209318838388,0.0050208381892821626,0.0010826433566209694
5iter,28,3.2558063113363716,0.850207374353091,3.1434519827780862,1.3344342386129144
5iter,109,0.07072011033825154,3.6531566898556007,-0.793348125613217,2.419226599803634
5iter,254,3.7265807529389248,10.593918821129316,5.126159159128742,7.321200993502685
5iter,267,2.6013492314790314,0.8852367597240594,2.248476918906538,0.8033505810698215
8iter,28,0.25609223903090944,4.674294751454761,1.2649077214342301,3.777578131050529
8iter,109,-0.8993307850123197,2.4853094918659604,-1.2548324044576868,1.7618040063883789
8iter,254,2.9425471818613103,8.787112448075948,4.518702751768543,7.322995851512025
8iter,267,-0.03385571555786084,4.002783524651933,0.35441394360111034,2.828280471830432
