mode,development,scenario,net_benefit_mio,scenario_order
Rail,100000,scenario_19,96.96,19
Rail,100000,scenario_26,-1.1,26
Rail,100000,scenario_44,82.32,44
Rail,100000,scenario_64,68.1,64
Rail,100000,scenario_78,107.95,78
Rail,100001,scenario_19,363.34,19
Rail,100001,scenario_26,52.72,26
Rail,100001,scenario_44,316.61,44
Rail,100001,scenario_64,271.51,64
Rail,100001,scenario_78,397.73,78
Rail,100002,scenario_19,76.6,19
Rail,100002,scenario_26,-38.54,26
Rail,100002,scenario_44,58.53,44
Rail,100002,scenario_64,41.74,64
Rail,100002,scenario_78,88.44,78
Rail,100005,scenario_19,72.61,19
Rail,100005,scenario_26,-45.23,26
Rail,100005,scenario_44,54.18,44
Rail,100005,scenario_64,36.99,64
Rail,100005,scenario_78,84.8,78
Rail,101001,scenario_19,42.09,19
Rail,101001,scenario_26,-242.92,26
Rail,101001,scenario_44,-2.76,44
Rail,101001,scenario_64,-44.3,64
Rail,101001,scenario_78,71.08,78
Rail,101007,scenario_19,138.92,19
Rail,101007,scenario_26,-101.49,26
Rail,101007,scenario_44,101.32,44
Rail,101007,scenario_64,66.26,64
Rail,101007,scenario_78,163.8,78
Rail,101008,scenario_19,11.32,19
Rail,101008,scenario_26,-120.05,26
Rail,101008,scenario_44,-9.16,44
Rail,101008,scenario_64,-28.3,64
Rail,101008,scenario_78,24.92,78
Rail,101010,scenario_19,57.23,19
Rail,101010,scenario_26,-87.64,26
Rail,101010,scenario_44,34.53,44
Rail,101010,scenario_64,13.4,64
Rail,101010,scenario_78,72.17,78
Rail,101011,scenario_19,54.44,19
Rail,101011,scenario_26,-133.29,26
Rail,101011,scenario_44,28.87,44
Rail,101011,scenario_64,2.94,64
Rail,101011,scenario_78,75.21,78
Rail,101012,scenario_19,149.05,19
Rail,101012,scenario_26,-88.76,26
Rail,101012,scenario_44,111.88,44
Rail,101012,scenario_64,77.22,64
Rail,101012,scenario_78,173.59,78
Rail,101013,scenario_19,5.44,19
Rail,101013,scenario_26,-97.4,26
Rail,101013,scenario_44,-10.89,44
Rail,101013,scenario_64,-25.92,64
Rail,101013,scenario_78,15.78,78
Rail,101016,scenario_19,145.29,19
Rail,101016,scenario_26,-30.08,26
Rail,101016,scenario_44,118.45,44
Rail,101016,scenario_64,92.96,64
Rail,101016,scenario_78,164.1,78
Road,109,scenario_19,-3877.042409307554,19
Road,109,scenario_26,-3176.2671965462423,26
Road,109,scenario_44,-3425.570310002888,44
Road,109,scenario_64,-3313.7977408214797,64
Road,109,scenario_78,-3426.1074422252586,78
Road,254,scenario_19,-970.5089358943802,19
Road,254,scenario_26,-2070.970982086416,26
Road,254,scenario_44,-2534.4540720715218,44
Road,254,scenario_64,-1110.7531385667396,64
Road,254,scenario_78,109.36198267787492,78
Road,267,scenario_19,-301.39794596719,19
Road,267,scenario_26,-641.2839497517044,26
Road,267,scenario_44,-1084.0888239003987,44
Road,267,scenario_64,-656.0445267289759,64
Road,267,scenario_78,-214.42362711894387,78
Road,28,scenario_19,-4484.674097752175,19
Road,28,scenario_26,-4864.442080019937,26
Road,28,scenario_44,-5427.482848657239,44
Road,28,scenario_64,-4941.560658096259,64
Road,28,scenario_78,-4434.997475137705,78
