scenario,development,od_rows,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,weighted_mean_tt_min,case_type
scenario_100,status_quo,930.0,6637.24180971538,57.406751134793396,62.32867084309775,54.94221855053592,status_quo
scenario_19,status_quo,930.0,10004.725529239464,99.6118791408693,108.22264233074644,94.9980532258082,status_quo
scenario_26,status_quo,930.0,4540.663259143899,42.324208579888726,45.716838897061166,40.683168295948086,status_quo
scenario_44,status_quo,930.0,7660.214081615989,67.7157711196842,73.55513677224324,64.73315484820374,status_quo
scenario_64,status_quo,930.0,9479.923166176046,91.37712042026531,99.29072157910944,87.17667562804667,status_quo
scenario_70,status_quo,930.0,6261.989540893073,54.128093163172544,58.73336642039433,51.84625807849677,status_quo
scenario_75,status_quo,930.0,7675.598406325596,67.8847594987953,73.73910212976361,64.89223595212002,status_quo
scenario_78,status_quo,930.0,10391.082934411694,105.99881345135773,115.13933939965553,101.03038295286393,status_quo
scenario_89,status_quo,930.0,6419.4262517908755,55.46025445503693,60.20904705693813,53.0954767411173,status_quo
scenario_96,status_quo,930.0,6812.882308974937,59.02366281719811,64.0831072121727,56.46528544071534,status_quo
scenario_100,28,992.0,6721.262773873981,57.59827344651117,61.93835757665323,54.64346631503909,development
scenario_100,109,992.0,6798.119125570386,59.521621621296525,64.27341627384324,56.989575724240034,development
scenario_100,254,930.0,6240.204118604868,53.6059628660127,58.13642420378371,50.92391173470232,development
scenario_100,267,992.0,6680.808187109214,57.653625421714445,62.27940603244876,54.61945321441712,development
scenario_19,28,992.0,10131.425515891278,99.24470455328749,107.21701542090423,93.30882256443803,development
scenario_19,109,992.0,10247.288085326818,104.56726753716669,113.32870485593163,99.743018623102,development
scenario_19,254,930.0,9406.061138683031,89.36638797659897,96.99256140860642,84.56172668970949,development
scenario_19,267,992.0,10070.325350513387,100.03686184705957,108.26917969520119,94.41522648637681,development
scenario_26,28,992.0,4598.088676033247,42.70900505964938,45.58783466725119,40.87980507819691,development
scenario_26,109,992.0,4650.643463030267,43.43623660349418,46.61470474008623,41.77041702271389,development
scenario_26,254,930.0,4269.2836217228,40.79826821764112,44.052728925403144,38.94905294244372,development
scenario_26,267,992.0,4570.5612096499935,42.50569255996493,45.72887968331197,40.45267988048291,development
scenario_44,28,992.0,7757.230992909386,67.76109605619723,72.98595877868566,64.09316797945115,development
scenario_44,109,992.0,7845.948471774449,70.51322574855536,76.31926210918576,67.44068291998614,development
scenario_44,254,930.0,7201.796258827181,62.34240868720542,67.64163486859849,59.143869286039724,development
scenario_44,267,992.0,7710.426793717192,67.996479972685,73.55961095728406,64.34736232481269,development
scenario_64,28,992.0,9600.117131298472,91.11841695851022,98.36990405214321,85.75109127748745,development
scenario_64,109,992.0,9709.963304356686,95.78628407658174,103.78826186032084,91.40080513008219,development
scenario_64,254,930.0,8912.050500429017,82.37867698971266,89.4152657172549,77.97859413931263,development
scenario_64,267,992.0,9541.856125690309,91.77270690589226,99.31100257863521,86.64951416609271,development
scenario_70,28,992.0,6341.205688511291,54.36492343043335,58.423382625344765,51.65660946283452,development
scenario_70,109,992.0,6413.694444977131,56.0243323819227,60.48565362709171,53.683703581797516,development
scenario_70,254,930.0,5887.633816675049,50.827202804361576,55.10480292813511,48.32737602680828,development
scenario_70,267,992.0,6303.181396543991,54.362365033295895,58.707694021008415,51.542316797275156,development
scenario_75,28,992.0,7772.826791917885,67.92770164527876,73.16780246686793,64.24613777315565,development
scenario_75,109,992.0,7861.729445720973,70.69409405779638,76.51621660055082,67.6109707015383,development
scenario_75,254,930.0,7216.191665314043,62.48475952453405,67.79633121545051,59.27633354957013,development
scenario_75,267,992.0,7725.889414090995,68.16640365832272,73.74451273838399,64.50582954086534,development
scenario_78,28,992.0,10522.79949059171,105.53927772190447,114.07339775189261,99.12435982961684,development
scenario_78,109,992.0,10643.1900165677,111.38662521840737,120.73022887223706,106.18706820350735,development
scenario_78,254,930.0,9768.76621583745,94.76459512691343,102.84769721193032,89.61370356450374,development
scenario_78,267,992.0,10459.012432458003,106.44959817130241,115.19468963708906,100.41327431865201,development
scenario_89,28,992.0,6500.724343630511,55.67726133749372,59.8510563345095,52.85960554625472,development
scenario_89,109,992.0,6575.069511407109,57.446372753181485,62.02862890334045,55.019563999229725,development
scenario_89,254,930.0,6035.281221506397,51.95315887383378,56.334627958099965,49.37047060607246,development
scenario_89,267,992.0,6461.510000805674,55.69991730156172,60.159786403631855,52.785705706051814,development
scenario_96,28,992.0,6899.20170166612,59.19196661317339,63.66723327334837,56.111157651274816,development
scenario_96,109,992.0,6978.123886791602,61.24764773124139,66.14269492903499,58.61739973781356,development
scenario_96,254,930.0,6405.015035739719,54.97335570414776,59.625955240612775,52.19773138211893,development
scenario_96,267,992.0,6857.486359135405,59.27683904698742,64.04205408596768,56.134466163478066,development
