development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,status_quo_origin_access_tt_min,status_quo_network_tt_min,status_quo_destination_access_tt_min,status_quo_total_tt_min,development_origin_access_tt_min,development_network_tt_min,development_destination_access_tt_min,development_total_tt_min,origin_access_savings_min,network_savings_min,destination_access_savings_min,tt_savings_peak_min,total_tts_min
28,scenario_100,28665.43507225525,532633.6861212831,28665.43507225525,589964.5562657935,27596.162977939417,533921.9571624831,27596.16297793942,589114.2831183621,1069.2720943158383,-1288.2710412000306,1069.2720943158347,850.2731474314351,278110.17530569853,11124407.01222794,1719926.104335315,31958021.167276986,1719926.104335315,35397873.37594761,1655769.778676365,32035317.42974899,1655769.7786763653,35346856.987101726,64156.3256589503,-77296.26247200184,64156.32565895008,51016.388845886104,51016.388845886104
109,scenario_100,28665.43507225525,532633.6861212831,28665.43507225525,589964.5562657935,28020.57755435112,562656.8071281565,28020.57755435111,618697.9622368587,644.8575179041363,-30023.12100687344,644.8575179041436,-28733.405971065164,-9398218.203035897,-375928728.1214359,1719926.104335315,31958021.167276986,1719926.104335315,35397873.37594761,1681234.653261067,33759408.42768939,1681234.6532610666,37121877.73421152,38691.45107424818,-1801387.2604124064,38691.451074248616,-1724004.3582639098,-1724004.3582639098
254,scenario_100,28665.43507225525,532633.6861212831,28665.43507225525,589964.5562657935,26112.470405530494,480758.75932906783,26112.470405530497,532983.7001401288,2552.9646667247616,51874.92679221527,2552.964666724758,56980.85612566466,18637488.35776948,745499534.3107793,1719926.104335315,31958021.167276986,1719926.104335315,35397873.37594761,1566748.2243318297,28845525.55974407,1566748.22433183,31979022.00840773,153177.8800034857,3112495.607532916,153177.88000348548,3418851.3675398794,3418851.3675398794
267,scenario_100,28665.43507225525,532633.6861212831,28665.43507225525,589964.5562657935,28577.86642282183,533172.2143265576,28577.866422821822,590327.9471722012,87.56864943342589,-538.5282052744878,87.56864943342953,-363.39090640773065,-118859.1089708619,-4754364.358834476,1719926.104335315,31958021.167276986,1719926.104335315,35397873.37594761,1714671.9853693098,31990332.859593455,1714671.9853693093,35419676.83033207,5254.118966005553,-32311.69231646927,5254.118966005772,-21803.45438446384,-21803.45438446384
28,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,27596.162980641533,910103.6484541192,27596.162980641537,965295.9744154024,1069.272093011783,7934.57042224356,1069.2720930117794,10073.11460826709,3294747.9031206938,131789916.12482774,1719926.1044191993,55082293.13258177,1719926.1044191993,58522145.34142017,1655769.778838492,54606218.907247156,1655769.7788384922,57917758.46492414,64156.32558070698,476074.2253346136,64156.32558070676,604386.8764960254,604386.8764960254
109,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28020.577555922187,981521.7615505058,28020.577555922187,1037562.9166623502,644.8575177311286,-63483.54267414298,644.8575177311286,-62193.8276386807,-20342564.45681848,-813702578.272739,1719926.1044191993,55082293.13258177,1719926.1044191993,58522145.34142017,1681234.6533553312,58891305.69303034,1681234.6533553312,62253774.99974101,38691.45106386772,-3809012.5604485786,38691.45106386772,-3731629.658320842,-3731629.658320842
254,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,26112.47040659138,795997.0719246279,26112.470406591376,848222.0127378107,2552.964667061937,122041.1469517349,2552.9646670619404,127147.07628585875,41587689.5351663,1663507581.406652,1719926.1044191993,55082293.13258177,1719926.1044191993,58522145.34142017,1566748.2243954828,47759824.31547767,1566748.2243954826,50893320.764268644,153177.8800237162,7322468.817104094,153177.88002371643,7628824.577151526,7628824.577151526
267,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28577.866424341984,918745.859507983,28577.866424341984,975901.592356667,87.56864931133168,-707.6406316201901,87.56864931133168,-532.5033329975558,-174172.96516795055,-6966918.606718022,1719926.1044191993,55082293.13258177,1719926.1044191993,58522145.34142017,1714671.985460519,55124751.570478976,1714671.985460519,58554095.54140002,5254.118958679901,-42458.43789721141,5254.118958679901,-31950.19997985335,-31950.19997985335
28,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,27596.1629741454,399953.1801744662,27596.1629741454,455145.506122757,1069.272093724565,-4574.5627287018,1069.2720937245613,-2436.018541252648,-796781.0645347203,-31871242.58138881,1719926.104072198,23722717.046745867,1719926.1040721978,27162569.25489026,1655769.7784487242,23997190.810467973,1655769.7784487242,27308730.36736542,64156.325623473895,-274473.763722108,64156.32562347368,-146161.11247515888,-146161.11247515888
109,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,28020.577550014328,413496.8878950293,28020.57755001433,469538.0429950579,644.8575178556384,-18118.270449264848,644.8575178556312,-16828.55541355355,-5504339.999849807,-220173599.99399227,1719926.104072198,23722717.046745867,1719926.1040721978,27162569.25489026,1681234.6530008598,24809813.273701757,1681234.65300086,28172282.579703473,38691.451071338306,-1087096.226955891,38691.45107133787,-1009713.324813213,-1009713.324813213
254,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,26112.470400992635,368473.0358129964,26112.47040099264,420697.97661498166,2552.964666877331,26905.58163276804,2552.964666877324,32011.51096652268,10470431.711966792,418817268.47867167,1719926.104072198,23722717.046745867,1719926.1040721978,27162569.25489026,1566748.224059558,22108382.148779783,1566748.2240595582,25241878.5968989,153177.88001263986,1614334.8979660824,153177.88001263945,1920690.6579913609,1920690.6579913609
267,scenario_26,28665.435067869967,395378.6174457644,28665.435067869963,452709.48758150433,28577.866418752077,395862.8514458413,28577.86641875207,453018.58428334544,87.56864911789307,-484.23400007688906,87.56864911789307,-309.0967018411029,-101100.3795605274,-4044015.182421096,1719926.104072198,23722717.046745867,1719926.1040721978,27162569.25489026,1714671.9851251247,23751771.086750478,1714671.9851251242,27181115.057000726,5254.118947073584,-29054.040004613344,5254.118947073584,-18545.802110466175,-18545.802110466175
28,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,27596.162978194625,625903.6656942551,27596.162978194625,681095.9916506445,1069.2720941932348,975.186133887386,1069.2720941932348,3113.730322273681,1018449.2929103498,40737971.71641399,1719926.1043432716,37612731.10968855,1719926.1043432716,41052583.31837509,1655769.7786916774,37554219.94165531,1655769.7786916774,40865759.49903867,64156.32565159409,58511.16803324316,64156.32565159409,186823.81933642086,186823.81933642086
