ID_edge,link_group,capacity,ffs,length_m,fftt_min,flow_status_quo,flow_dev28,flow_dev109,flow_dev254,flow_dev267,traffic_count_name,traffic_count_road,traffic_count_distance_m,traffic_count_dwv,traffic_count_dwv_per_hour,traffic_count_mspw,traffic_count_aspw,traffic_count_peak_hour_avg,model_vs_astra_peak_ratio_status_quo,model_minus_astra_peak_status_quo,model_vs_capacity_ratio_status_quo,traffic_count_source,notes,length_m_geom,flow_cap_dev109,flow_cap_dev254,flow_cap_dev267,flow_cap_dev28,flow_cap_status_quo,delay_min_dev109,delay_min_dev254,delay_min_dev267,delay_min_dev28,delay_min_status_quo,link_tt_min_dev109,link_tt_min_dev254,link_tt_min_dev267,link_tt_min_dev28,link_tt_min_status_quo,traffic_count_mlocnr,traffic_count_direction
32,critical_peak,2391.0,86.0,4235.803391000821,2.9552116681401075,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,"WEININGEN, GUBRIST (AB)",A 1C,38.852561048432975,,,,,,,,1.2206596535795742,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,4235.803391000821,1.1770589482957492,1.2789932610315229,1.1727418729073296,1.1854482705572156,1.2206596535795742,1.0235876282813816,1.2085513669464896,1.0160930140142015,1.0382305797542069,1.1008237269324623,3.978799296421489,4.163763035086597,3.971304682154309,3.9934422478943135,4.05603539507257,287,
61,critical_peak,2333.0,120.0,8361.831024084971,4.1809155120424855,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,THALWIL (AB) - ZH104,A 3,395.09759302689366,,,,,,,,1.2510061001752086,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,8361.831024084971,1.206321451082356,1.3107899216143897,1.201897050202068,1.214919337720661,1.2510061001752086,1.5210290241919902,1.7958811298246644,1.5098921898745958,1.542788132620644,1.6358001923047771,5.701944536234476,5.97679664186715,5.690807701917081,5.7237036446631295,5.816715704347263,607,
63,critical_peak,2333.0,119.0,5114.75070314698,2.578865900746377,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,RICHTERSWIL (AB),A 3,40.6148119849863,62323.0,2596.7916666666665,4461.0,5157.0,4809.0,0.6069031465395637,-1890.4027682912383,1.2510061001752086,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,5114.75070314698,1.206321451082356,1.3107899216143897,1.201897050202068,1.214919337720661,1.2510061001752086,0.9381987924022894,1.1077326471101483,0.9313293873208748,0.9516202123271048,1.0089917684819,3.517064693148666,3.686598547856525,3.510195288067252,3.530486113073481,3.5878576692282764,55,13.0
67,critical_peak,2333.0,120.0,4872.77147040362,2.4363857352018097,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,LACHEN (AB),A 3,158.22440524061668,60680.0,2528.3333333333335,4628.0,5540.0,5084.0,0.5740749865674197,-2165.4027682912383,1.2510061001752086,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,4872.77147040362,1.206321451082356,1.3107899216143897,1.201897050202068,1.214919337720661,1.2510061001752086,0.8863641005648804,1.0465313528149718,0.8798742243193423,0.8990439983608494,0.9532458244354104,3.32274983576669,3.482917088016781,3.316259959521152,3.335429733562659,3.38963155963722,308,13.0
68,critical_peak,2335.0,119.0,8865.80644588534,4.470154510530423,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,WANGEN SZ (AB),A 3,865.9805870684238,44500.0,1854.1666666666667,3279.0,4084.0,3681.5,0.7927739322854167,-762.9027682912383,1.2499345746076067,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,8865.80644588534,1.205288199304127,1.3096671893474825,1.2008675880605677,1.2138787215855684,1.2499345746076067,1.623470316599808,1.916833709311292,1.6115834165817209,1.6466949008041496,1.7459713219514814,6.093624827130231,6.386988219841715,6.081737927112144,6.116849411334573,6.216125832481905,216,13.0
92,critical_peak,2166.0,97.0,2550.193392452562,1.577439211826327,3094.627896777081,3079.1698566341183,3076.6019179267264,3064.0960271798585,3021.7680638874963,,,,,,,,,,,1.428729407560979,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2550.193392452562,1.4204071643244351,1.4146334382178478,1.3950914422379943,1.4215927315946992,1.428729407560979,0.7956431887091433,0.7891880124968262,0.7675346494349451,0.7969719375538962,0.8049939358524829,2.3730824005354703,2.366627224323153,2.344973861261272,2.374411149380223,2.38243314767881,,
98,critical_peak,1536.0,108.0,2007.6948653871616,1.115386036326201,3212.736943243661,3179.4620651114774,3272.978779519716,3068.1870232049496,3187.129521327407,USTER O,A 15,180.67019228271715,31148.0,1297.8333333333333,2293.0,2370.0,2331.5,1.3779699520667643,881.2369432436608,2.091625614090925,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2007.6948653871616,2.130845559583148,1.997517593232389,2.0749541154475306,2.069962281973618,2.091625614090925,1.2661033549190557,1.1126189128290596,1.2005554030501322,1.1947858645446934,1.2199249538888677,2.3814893912452564,2.2280049491552605,2.315941439376333,2.3101719008708943,2.3353109902150684,760,13.0
129,critical_peak,729.0,96.0,3327.5142290398862,2.079696393149929,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,JONA,A 15,20.58539698748987,27236.0,1134.8333333333333,2293.0,2625.0,2459.0,1.186904120255698,459.5972317087617,4.003562732110784,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,3327.5142290398862,3.8605595958506673,4.194887362313266,3.846400299206344,3.88807519190988,4.003562732110784,7.748907371338561,9.1491459423917,7.6921705858053055,7.8597595069749,8.333610974268653,9.82860376448849,11.22884233554163,9.771866978955234,9.939455900124829,10.413307367418582,766,13.0
174,critical_peak,2200.0,100.0,6978.5477473254405,4.187128648395264,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,,,,,,,,,1.3266351053221643,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,6978.5477473254405,1.2792490660796074,1.3900331305119868,1.274557190055193,1.288366734046501,1.3266351053221643,1.7130361602290751,2.0225842281326365,1.7004934673594807,1.7375420302419275,1.842295469553152,5.900164808624339,6.209712876527901,5.887622115754745,5.924670678637192,6.029424117948416,,
175,critical_peak,2200.0,100.0,5286.2980122217705,3.1717788073330624,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,ZUERICH BRUNAU (AB),A 3,689.7835337599229,59010.0,2458.75,3367.0,4487.0,3927.0,0.7432129441580753,-1008.4027682912383,1.3266351053221643,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,5286.2980122217705,1.2792490660796074,1.3900331305119868,1.274557190055193,1.288366734046501,1.3266351053221643,1.297636696998108,1.5321214917281916,1.2881355207096954,1.3162000624184218,1.3955515146194255,4.46941550433117,4.703900299061254,4.459914328042758,4.487978869751484,4.567330321952488,221,13.0
