ID_edge,capacity,flow_status_quo,flow_dev28,flow_dev109,flow_dev254,flow_dev267,traffic_count_peak_hour_avg,traffic_count_dwv_per_hour,traffic_count_name,traffic_count_distance_m,model_vs_astra_peak_ratio_status_quo,model_minus_astra_peak_status_quo,notes
32,2391.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,"WEININGEN, GUBRIST (AB)",38.852561048432975,,,
61,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,THALWIL (AB) - ZH104,395.09759302689366,,,
63,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,4809.0,2596.7916666666665,RICHTERSWIL (AB),40.6148119849863,0.6069031465395637,-1890.4027682912383,
67,2333.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,5084.0,2528.3333333333335,LACHEN (AB),158.22440524061668,0.5740749865674197,-2165.4027682912383,
68,2335.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,3681.5,1854.1666666666667,WANGEN SZ (AB),865.9805870684238,0.7927739322854167,-762.9027682912383,
92,2166.0,3094.627896777081,3079.1698566341183,3076.6019179267264,3064.0960271798585,3021.7680638874963,,,,,,,
98,1536.0,3212.736943243661,3179.4620651114774,3272.978779519716,3068.1870232049496,3187.129521327407,2331.5,1297.8333333333333,USTER O,180.67019228271715,1.3779699520667643,881.2369432436608,
129,729.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,2459.0,1134.8333333333333,JONA,20.58539698748987,1.186904120255698,459.5972317087617,
174,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,,,,,,,
175,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,3927.0,2458.75,ZUERICH BRUNAU (AB),689.7835337599229,0.7432129441580753,-1008.4027682912383,
176,2200.0,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,6076.5,3717.6666666666665,BIRMENSDORF N (AB) - ZH1103,199.4140025932865,0.48030893305500894,-3157.9027682912383,
178,1000.0,3217.551487685965,3189.334432234304,3274.0658933386294,3068.278694534062,3189.6639043396376,,,,,,,
