development,scenario,rank_type,rank_value,ID_edge,length_m,flow,capacity,flow_capacity_ratio,fftt_min,tt_min,delay_min
9,scenario_19,flow_capacity_ratio,3.379796342759391,178,6719.55714161299,3379.796342759391,1000.0,3.379796342759391,5.039667856209742,28.464646278541128,23.424978422331385
9,scenario_19,flow_capacity_ratio,2.286447989948435,87,794.1532861069165,1666.8205846724093,729.0,2.286447989948435,0.4764919716641499,1.3434194743930967,0.8669275027289468
9,scenario_19,flow_capacity_ratio,2.182842435893252,98,2007.6948653871616,3352.8459815320352,1536.0,2.182842435893252,1.115386036326201,2.9309808916789604,1.8155948553527594
9,scenario_19,flow_capacity_ratio,2.061364626752343,124,1877.417300305622,1502.734812902458,729.0,2.061364626752343,1.425886557194143,3.4488896627775345,2.0230031055833915
9,scenario_19,flow_capacity_ratio,1.8593850741446132,85,910.3365754780752,1355.491719051423,729.0,1.8593850741446132,0.5462019452868452,1.1512357887290052,0.60503384344216
9,scenario_19,flow_capacity_ratio,1.8593850741446132,86,2224.3324582106734,1355.491719051423,729.0,1.8593850741446132,1.3480802777034384,2.8413634831653756,1.4932832054619372
9,scenario_19,flow_capacity_ratio,1.5255474427390694,97,1687.4477039097997,3559.102183910249,2333.0,1.5255474427390694,0.8437238519548999,1.4249726384099917,0.5812487864550918
9,scenario_19,flow_capacity_ratio,1.5128509889112045,96,2437.745041650941,3529.48135712984,2333.0,1.5128509889112045,1.2188725208254705,2.0418900081613005,0.82301748733583
9,scenario_19,flow_capacity_ratio,1.5091936294160155,95,1906.501637835958,3520.948737427564,2333.0,1.5091936294160155,0.9612613300013235,1.6065728115812317,0.6453114815799081
9,scenario_19,flow_capacity_ratio,1.4615294378219412,94,3121.847228370543,3409.748178438589,2333.0,1.4615294378219412,1.5609236141852714,2.5311203762867076,0.9701967621014362
9,scenario_19,delay_min,23.424978422331385,178,6719.55714161299,3379.796342759391,1000.0,3.379796342759391,5.039667856209742,28.464646278541128,23.424978422331385
9,scenario_19,delay_min,2.0230031055833915,124,1877.417300305622,1502.734812902458,729.0,2.061364626752343,1.425886557194143,3.4488896627775345,2.0230031055833915
9,scenario_19,delay_min,1.8155948553527594,98,2007.6948653871616,3352.8459815320352,1536.0,2.182842435893252,1.115386036326201,2.9309808916789604,1.8155948553527594
9,scenario_19,delay_min,1.4932832054619372,86,2224.3324582106734,1355.491719051423,729.0,1.8593850741446132,1.3480802777034384,2.8413634831653756,1.4932832054619372
9,scenario_19,delay_min,0.9903251093036634,91,4008.729740907578,2943.4916400313373,2391.0,1.2310713676417135,2.4052378445445464,3.3955629538482097,0.9903251093036634
