scenario,rank,net_benefit_mio_chf
scenario_19,1,-6062.184488115365
scenario_19,2,-5385.955724367524
scenario_19,3,-5113.366310495446
scenario_19,4,-4992.335802426899
scenario_19,5,-4881.821187071072
scenario_19,6,-4772.863133319474
scenario_19,7,-4715.521329419211
scenario_19,8,-4697.068443710911
scenario_19,9,-4578.06271171952
scenario_19,10,-4483.134326701305
scenario_19,11,-4454.3036580448725
scenario_19,12,-4382.827641594588
scenario_19,13,-4138.7223955945665
scenario_19,14,-3910.3393059777122
scenario_19,15,-3691.61891224983
scenario_19,16,-3549.1792646755407
scenario_19,17,-3355.488060978993
scenario_19,18,-3195.0789945953147
scenario_19,19,-3187.894726193261
scenario_19,20,-3153.7046246038726
scenario_19,21,-3025.043119076754
scenario_19,22,-3011.716895473594
scenario_19,23,-2979.1275098345864
scenario_19,24,-2978.2404989390047
scenario_19,25,-2923.838377889201
scenario_19,26,-2668.4686896426106
scenario_19,27,-2545.6676898579817
scenario_19,28,-2522.913704702125
scenario_19,29,-2505.062104924402
scenario_19,30,-2500.3772679771246
scenario_19,31,-2464.627511337125
scenario_19,32,-2432.701002040575
scenario_19,33,-2277.1310794900737
scenario_19,34,-2235.4788142401285
scenario_19,35,-2174.7655349856673
scenario_19,36,-2149.6828261699666
scenario_19,37,-2145.074370841808
scenario_19,38,-2100.3418008781377
scenario_19,39,-1961.8188888758941
scenario_19,40,-1914.1962265688585
scenario_19,41,-1908.678189952592
scenario_19,42,-1889.7198588686995
scenario_19,43,-1882.663989191753
scenario_19,44,-1865.1071112644065
scenario_19,45,-1853.4155806462695
scenario_19,46,-1845.193885357181
scenario_19,47,-1812.8025351322242
scenario_19,48,-1763.8437846267982
scenario_19,49,-1761.2107098805723
scenario_19,50,-1724.285460850346
scenario_19,51,-1717.5791831359647
scenario_19,52,-1679.4472212860112
scenario_19,53,-1674.2449650374238
scenario_19,54,-1644.2251930070486
scenario_19,55,-1636.3396313690248
scenario_19,56,-1634.3101918821344
scenario_19,57,-1559.2092804338165
scenario_19,58,-1544.5022668954896
scenario_19,59,-1540.8527123095912
scenario_19,60,-1516.0508903596233
scenario_19,61,-1506.3057784468556
scenario_19,62,-1500.4085884065485
scenario_19,63,-1443.1887826002583
scenario_19,64,-1441.915208129211
scenario_19,65,-1404.7731190841773
scenario_19,66,-1393.6929323314519
scenario_19,67,-1363.82132945979
scenario_19,68,-1357.521136041646
scenario_19,69,-1351.3712921581205
scenario_19,70,-1346.3704761103024
scenario_19,71,-1342.710983525097
scenario_19,72,-1326.4204228619556
scenario_19,73,-1285.2649457069178
scenario_19,74,-1214.5159632369343
scenario_19,75,-1208.0124384415358
scenario_19,76,-1177.215500191967
scenario_19,77,-1150.4030944595834
scenario_19,78,-1145.9867744820374
scenario_19,79,-1130.0679769513458
scenario_19,80,-1102.8277209648363
scenario_19,81,-1085.670537162446
scenario_19,82,-1079.5598473514412
scenario_19,83,-1050.8668825307432
scenario_19,84,-1047.1643871042984
scenario_19,85,-1035.3067577674904
scenario_19,86,-1029.9779740779727
scenario_19,87,-1010.9808360319016
scenario_19,88,-1008.0430171353582
scenario_19,89,-997.3704303578202
scenario_19,90,-974.2624622645691
scenario_19,91,-967.3561723920329
scenario_19,92,-921.4091070948481
scenario_19,93,-904.9497196333592
scenario_19,94,-899.5720258565624
scenario_19,95,-879.4408561174088
scenario_19,96,-861.9925369144228
scenario_19,97,-843.5903403906885
scenario_19,98,-836.9795722561568
scenario_19,99,-835.7839627774224
scenario_19,100,-800.8043293857718
scenario_19,101,-800.0443196278804
scenario_19,102,-797.1838183182938
scenario_19,103,-792.5119972263155
scenario_19,104,-789.1383802861325
scenario_19,105,-787.7937051832247
scenario_19,106,-775.9887148108244
scenario_19,107,-775.8850995622041
scenario_19,108,-758.4206978262218
scenario_19,109,-723.015394485787
scenario_19,110,-688.1867352283417
scenario_19,111,-681.3645533984859
scenario_19,112,-673.4072418464136
scenario_19,113,-652.0688211726443
scenario_19,114,-651.415205778102
scenario_19,115,-588.0397480600111
scenario_19,116,-580.2133384929081
scenario_19,117,-549.0558591814852
scenario_19,118,-508.12927335496425
scenario_19,119,-454.4451401462244
scenario_19,120,-445.61638536721716
scenario_19,121,-423.36026480639043
scenario_19,122,-382.37148936198577
scenario_19,123,-365.83483138841575
scenario_19,124,-329.33002615113065
scenario_19,125,-328.3555944518576
scenario_19,126,-299.0951106178116
scenario_19,127,-265.54158885889075
scenario_19,128,-256.3142644639734
scenario_19,129,-228.9627021074789
scenario_19,130,-195.65036684507518
scenario_19,131,-175.42318789156775
scenario_19,132,-60.36552763881765
scenario_19,133,-53.708190976137814
scenario_19,134,71.43235357553607
scenario_19,135,124.18861421433878
scenario_19,136,398.22426923946455
scenario_19,137,1143.099298396232
scenario_19,138,1754.6407801762218
scenario_29,1,-5147.5108692802105
scenario_29,2,-5007.931001328169
scenario_29,3,-4704.5897383266265
scenario_29,4,-4594.231783105294
scenario_29,5,-4585.330381395371
scenario_29,6,-4084.097984291153
scenario_29,7,-3929.082892917756
