development,scenario_10,scenario_11,scenario_23,scenario_26,scenario_31,scenario_35,scenario_36,scenario_38,scenario_39,scenario_41,scenario_47,scenario_55,scenario_63,scenario_81,scenario_84,scenario_85,scenario_96,scenario_97,scenario_98,scenario_100
2,-0.07181218368596816,-0.018207469144850386,-0.007344836856265552,-0.002022884389083425,-0.014633005011008704,-0.023326140211700926,-0.027085403332077432,-0.026162293159837834,-0.012034114329784875,-0.026034193985598628,-0.005179890258895816,-0.014117504739302792,-0.0221557396133584,-0.008042963705007919,-0.0494820309020055,-0.005825262549671112,-0.012483717269895599,-0.05898474354538741,-0.04647634180210624,-0.009617246176718735
103,-0.07347839084189478,-0.019101554489129455,-0.008086572880296036,-0.00269313435216836,-0.015481308218141436,-0.024299319374574812,-0.02810924692695216,-0.027171792342398082,-0.012844963118812069,-0.027040527294692585,-0.005893203549728147,-0.01495701242723479,-0.023110021420040636,-0.008795281393786427,-0.05081674599573226,-0.0065472628195439465,-0.013300884079586248,-0.0604629037512606,-0.04777173069790821,-0.010392034408894019
201,-0.10971113572600717,-0.03240421647509129,-0.01673689225814736,-0.009061810513655889,-0.02724671378346893,-0.03978409350161045,-0.045205664593585534,-0.04387548304027575,-0.023498927327522196,-0.043691828984653576,-0.01361416675128392,-0.02650434575622564,-0.03809622263390431,-0.017743419851702406,-0.07751130841741408,-0.014544940854922752,-0.02414712260990171,-0.09121423637358006,-0.07317600150011154,-0.020013448504671336
249,-0.10591700397694903,-0.03163581078712665,-0.016579711223887628,-0.009203170780876709,-0.026678041035581614,-0.03872515075726924,-0.04393536471832567,-0.042657997162633576,-0.023076699933745785,-0.042481821780477415,-0.0135781277753819,-0.02596493881770491,-0.03710395741631114,-0.017546649910734034,-0.07498192391125741,-0.014472722670125542,-0.02369949848087202,-0.08814665122393146,-0.07081475255904231,-0.01972763000185031
334,0.07659065023596864,0.020931346262021457,0.009683709161162377,0.004188047203286959,0.017254963486292983,0.026275849338383648,0.030163072837064278,0.02919552515958436,0.014559037067165716,0.029053988647480492,0.0074527211805135015,0.01671382098440791,0.02504884663976496,0.010412133035485169,0.05334259800280887,0.00811928132105316,0.015025462338739077,0.0632385758410911,0.050243584314814536,0.01204654496108333
469,-0.05083718238045508,-0.012516269145661733,-0.004749346558432677,-0.0009433645216015866,-0.009959727041869773,-0.016174632527890382,-0.018862346257436317,-0.018203035917746833,-0.008101898821479292,-0.01811180293587572,-0.0032009310501661383,-0.009591082513806293,-0.015338109384043725,-0.005248412031534128,-0.034876379262633164,-0.0036624844656343337,-0.008422956514431397,-0.041669150459002706,-0.0327271991062786,-0.006373888559574261
662,-0.16628845028176392,-0.04878717149351863,-0.025028108868424898,-0.013411602567340888,-0.04100981689542125,-0.060053955179389565,-0.06827027258297941,-0.06623003789989883,-0.03531683642334421,-0.065935526840623,-0.02031017163812218,-0.03986780771925987,-0.05747235728852218,-0.026562478160717173,-0.11723569179060706,-0.02171862050300755,-0.03630185941051087,-0.1381154586549988,-0.11067954540764004,-0.030013589012917133
689,-0.08435504565556347,-0.02364142356223054,-0.011340949243283249,-0.005316068196745066,-0.019596043663184157,-0.029441346101132686,-0.03369776959976391,-0.032651389791538005,-0.0166527654356031,-0.03250584310970362,-0.00889036755211791,-0.01901169637845934,-0.02811497113846615,-0.012131638825849281,-0.05905732006258913,-0.00962093388342741,-0.017161924797534478,-0.06982221687407046,-0.055655093582130735,-0.01391464856550342
750,-0.10877664443334052,-0.03258853827433056,-0.017148316879464196,-0.00958410546991462,-0.02750670767905528,-0.03986257660381613,-0.04520560650000582,-0.04389388659190596,-0.02381295397889137,-0.04371260953121912,-0.014070950188356452,-0.02677482800835499,-0.038199187046221925,-0.01814042104257224,-0.07704077624051203,-0.01498826176518458,-0.024451898775866603,-0.09054456959326845,-0.07276805271923611,-0.02037768525300629
775,-0.1206209650978702,-0.03575138690993306,-0.018555353845214353,-0.010132601511941583,-0.030093415490716927,-0.043855611278837546,-0.04980695555306971,-0.048345190658500875,-0.02597938538402866,-0.04814242031350825,-0.015129005537980819,-0.02927749162608164,-0.042002611707785166,-0.019660593751736684,-0.08526370257453295,-0.01615042197114311,-0.026691181267325184,-0.10030743492501228,-0.08050545334453835,-0.02215268339415139
789,-0.05967450745261554,-0.01665204062186368,-0.007929802719416098,-0.0036548582230262108,-0.013778962558851228,-0.02075629349820246,-0.02377529931655363,-0.02303535010269284,-0.01169259642206342,-0.02293396813088749,-0.006190346284985775,-0.013365984764865717,-0.01981854051927349,-0.008489691775338258,-0.0417590648437771,-0.006708770789360628,-0.012053589228963013,-0.04938147127153631,-0.0393437765038847,-0.009753075516087702
895,-0.07928931437342707,-0.02187396527753409,-0.010231787873795603,-0.0045239369348482,-0.018036229674177597,-0.027348980808637804,-0.031379161658917555,-0.03039293455357291,-0.015252517846146132,-0.030258445632277288,-0.007908370312506916,-0.01748628400275181,-0.026097891288466984,-0.010978475926864194,-0.05538805254005757,-0.008600564240164706,-0.015733910777868704,-0.06555758954330254,-0.05216357985122944,-0.012664504573598388
