development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,network_share,total_tts_mmin,network_savings_mmin,access_savings_mmin
2,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,26722.97547714028,2512680.411827066,26722.97547714028,2566126.362781347,1942.459590816252,-75697.10286760004,1942.4595908162555,-71812.18368596816,-23488568.41395209,-939542736.5580834,3884.9191816325074,-71812.18368596816,1.0540983295901498,-0.07181218368596816,-0.07569710286760004,0.0038849191816325073
103,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,26826.881666943857,2514138.8066033856,26826.881666943857,2567792.5699372734,1838.553401012676,-77155.49764391966,1838.553401012676,-73478.39084189478,-24033557.004536416,-961342280.1814568,3677.106802025352,-73478.39084189478,1.0500433768335646,-0.07347839084189478,-0.07715549764391966,0.003677106802025352
201,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27762.275129815025,2548500.764561756,27762.275129815025,2604025.314821386,903.1599381415072,-111517.45560228964,903.1599381415072,-109711.13572600717,-35884683.97704817,-1435387359.0819268,1806.3198762830143,-109711.13572600717,1.0164643257435013,-0.10971113572600717,-0.11151745560228964,0.0018063198762830143
249,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27780.552731518364,2544670.0776092918,27780.552731518364,2600231.183072328,884.8823364381678,-107686.76864982536,884.8823364381678,-105917.00397694902,-34643686.71746041,-1385747468.6984162,1769.7646728763357,-105917.00397694902,1.0167089759568868,-0.10591700397694903,-0.10768676864982536,0.0017697646728763357
334,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,28288.595193133144,2361146.3384731435,28288.595193133144,2417723.52885941,376.8398748233885,75836.97048632242,376.8398748233885,76590.65023596864,25051525.181348074,1002061007.2539228,753.679749646777,76590.65023596864,0.9901596376669449,0.07659065023596864,0.07583697048632242,0.0007536797496467771
469,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27050.16066422353,2491051.0401473865,27050.16066422354,2545151.3614758337,1615.2744037329976,-54067.73118792055,1615.274403732994,-50837.18238045508,-16627995.070273848,-665119802.810954,3230.5488074659916,-50837.18238045508,1.063546968108671,-0.05083718238045508,-0.054067731187920555,0.0032305488074659914
662,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,28002.00198323395,2604598.625410675,28002.00198323395,2660602.6293771425,663.4330847225829,-167615.31645120913,663.4330847225829,-166288.45028176391,-54390180.61299361,-2175607224.5197444,1326.8661694451657,-166288.45028176391,1.0079793044387444,-0.16628845028176392,-0.16761531645120914,0.0013268661694451657
689,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27380.04695946725,2523909.130832008,27380.04695946725,2578669.224750942,1285.3881084892782,-86925.82187254168,1285.3881084892782,-84355.04565556347,-27591129.51650722,-1103645180.6602888,2570.7762169785565,-84355.04565556347,1.0304756662390433,-0.08435504565556347,-0.08692582187254168,0.0025707762169785565
750,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27765.89997438295,2547559.023579953,27765.899974382948,2603090.823528719,899.5350935735805,-110575.7146204873,899.5350935735842,-108776.64443334052,-35579027.4500718,-1423161098.002872,1799.0701871471647,-108776.64443334052,1.0165391219458813,-0.10877664443334052,-0.11057571462048729,0.0017990701871471648
775,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27964.501102524988,2559006.141988199,27964.50110252499,2614935.144193249,700.9339654315445,-122022.83302873326,700.9339654315409,-120620.9650978702,-39453107.334095046,-1578124293.363802,1401.8679308630853,-120620.9650978702,1.0116220918123613,-0.1206209650978702,-0.12202283302873326,0.0014018679308630854
789,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27095.01709629276,2499798.6523554088,27095.01709629276,2553988.686547994,1570.4179716637736,-62815.34339594282,1570.41797166377,-59674.50745261554,-19518536.81262633,-780741472.5050533,3140.8359433275436,-59674.50745261554,1.0526327920816316,-0.05967450745261554,-0.06281534339594282,0.0031408359433275435
895,scenario_10,28665.43506795653,2436983.308959466,28665.43506795653,2494314.1790953786,27069.665743825903,2519464.161981154,27069.665743825903,2573603.4934688057,1595.769324130626,-82480.85302168783,1595.769324130626,-79289.31437342707,-25934213.242975105,-1037368529.7190042,3191.538648261252,-79289.31437342707,1.0402518129142806,-0.07928931437342707,-0.08248085302168782,0.0031915386482612522
2,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,26722.975481951675,613352.1893115734,26722.975481951675,666798.1402754768,1942.4595903035809,-13502.165357325692,1942.4595903035809,-9617.246176718734,-3145640.9369684192,-125825637.47873676,3884.9191806071617,-9617.246176718734,1.403953388446217,-0.009617246176718735,-0.013502165357325692,0.0038849191806071617
103,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,26826.881671950727,613919.1651637508,26826.881671950723,667572.9285076521,1838.5534003045289,-14069.141209503054,1838.5534003045325,-10392.034408894018,-3399061.254575752,-135962450.18303007,3677.1068006090613,-10392.034408894018,1.3538389747306827,-0.010392034408894019,-0.014069141209503054,0.0036771068006090615
201,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,27762.275132436356,621669.7923385568,27762.27513243635,677194.3426034295,903.1599398189028,-21819.768384309136,903.1599398189064,-20013.448504671334,-6546065.448402916,-261842617.93611664,1806.3198796378092,-20013.448504671334,1.0902553040379916,-0.020013448504671336,-0.021819768384309136,0.0018063198796378092
249,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,27780.552732679324,621347.4186352498,27780.552732679324,676908.5241006084,884.8823395759318,-21497.39468100213,884.8823395759318,-19727.63000185031,-6452578.979771872,-258103159.19087487,1769.7646791518637,-19727.63000185031,1.0897099488882258,-0.01972763000185031,-0.02149739468100213,0.0017697646791518637
334,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,28288.59519904972,588557.1587395754,28288.595199049723,645134.3491376748,376.8398732055357,11292.865214672289,376.83987320553206,12046.544961083331,3940224.081021006,157608963.24084026,753.6797464110678,12046.544961083331,0.9374360242836578,0.01204654496108333,0.01129286521467229,0.0007536797464110678
469,scenario_100,28665.43507225525,599850.0239542477,28665.43507225525,657180.8940987581,27050.16066863803,609454.4613210562,27050.160668638026,663554.7826583324,1615.2744036172262,-9604.437366808532,1615.2744036172337,-6373.888559574261,-2084792.716360748,-83391708.65442991,3230.5488072344597,-6373.888559574261,1.5068411185792763,-0.006373888559574261,-0.009604437366808532,0.0032305488072344596
