scenario,n_developments,mean_tts_min,median_tts_min,min_tts_min,max_tts_min,positive_developments,mean_tts_mmin
scenario_10,12,-79514.1811391572,-81822.18001449527,-166288.45028176391,76590.65023596864,1,-0.0795141811391572
scenario_11,12,-22685.708326604054,-22757.69441988232,-48787.17149351863,20931.346262021456,1,-0.022685708326604055
scenario_23,12,-11170.66417045544,-10786.368558539427,-25028.108868424897,9683.709161162376,1,-0.01117066417045544
scenario_26,12,-5529.957521492965,-4920.002565796633,-13411.602567340888,4188.047203286958,1,-0.0055299575214929645
scenario_31,12,-18897.083963765326,-18816.136668680876,-41009.816895421245,17254.96348629298,1,-0.018897083963765327
scenario_35,12,-28112.68754205653,-28395.163454885245,-60053.955179389566,26275.849338383647,1,-0.02811268754205653
scenario_36,12,-32097.50151688357,-32538.46562934073,-68270.2725829794,30163.07283706428,1,-0.03209750151688357
scenario_38,12,-31118.655505118095,-31522.162172555458,-66230.03789989883,29195.52515958436,1,-0.031118655505118095
scenario_39,12,-16142.051829521282,-15952.641640874615,-35316.83642334421,14559.037067165717,1,-0.016142051829521283
scenario_41,12,-30982.916657669684,-31382.144370990456,-65935.526840623,29053.98864748049,1,-0.030982916657669685
scenario_47,12,-8876.067476584372,-8399.368932312413,-20310.171638122178,7452.721180513501,1,-0.008876067476584372
scenario_55,12,-18350.42964746999,-18248.990190605575,-39867.80771925987,16713.82098440791,1,-0.018350429647469992
scenario_63,12,-26871.730234719096,-27106.431213466567,-57472.35728852218,25048.84663976496,1,-0.026871730234719095
scenario_81,12,-11910.657778363131,-11555.057376356737,-26562.47816071717,10412.133035485169,1,-0.01191065777836313
scenario_84,12,-55839.19987819245,-57222.68630132335,-117235.69179060706,53342.59800280887,1,-0.05583919987819245
scenario_85,12,-9560.080432594375,-9110.749061796058,-21718.62050300755,8119.28132105316,1,-0.009560080432594376
scenario_96,12,-16618.59007283473,-16447.91778770159,-36301.859410510864,15025.462338739077,1,-0.01661859007283473
scenario_97,12,-65913.98753118834,-67689.9032086865,-138115.4586549988,63238.57584109111,1,-0.06591398753118834
scenario_98,12,-52653.16189660764,-53909.33671668009,-110679.54540764003,50243.584314814536,1,-0.05265316189660764
scenario_100,12,-13579.490750490804,-13289.576569550904,-30013.58901291713,12046.544961083331,1,-0.013579490750490805
