development,score_id,value,value_mode,development_label,value_mio_chf
100000,rail_accident_cost,,standalone_annual_proxy,G (100000),
100000,rail_airpollution_cost,,standalone_annual_proxy,G (100000),
100000,rail_co2_cost,,standalone_annual_proxy,G (100000),
100000,rail_construction_cost,0.0,standalone_annual_proxy,G (100000),0.0
100000,rail_land_consumption_cost,,standalone_annual_proxy,G (100000),
100000,rail_maint_cost,0.0,standalone_annual_proxy,G (100000),0.0
100000,rail_noise_cost,,standalone_annual_proxy,G (100000),
100000,rail_operation_cost,1132535.0372548352,standalone_annual_proxy,G (100000),1.1325350372548353
100000,rail_tts_cost,4697254.824573794,standalone_annual_proxy,G (100000),4.697254824573794
100001,rail_accident_cost,,standalone_annual_proxy,G (100001),
100001,rail_airpollution_cost,,standalone_annual_proxy,G (100001),
100001,rail_co2_cost,,standalone_annual_proxy,G (100001),
100001,rail_construction_cost,0.0,standalone_annual_proxy,G (100001),0.0
100001,rail_land_consumption_cost,,standalone_annual_proxy,G (100001),
100001,rail_maint_cost,0.0,standalone_annual_proxy,G (100001),0.0
100001,rail_noise_cost,,standalone_annual_proxy,G (100001),
100001,rail_operation_cost,1470832.908922622,standalone_annual_proxy,G (100001),1.470832908922622
100001,rail_tts_cost,14878282.708076734,standalone_annual_proxy,G (100001),14.878282708076734
100002,rail_accident_cost,,standalone_annual_proxy,G (100002),
100002,rail_airpollution_cost,,standalone_annual_proxy,G (100002),
100002,rail_co2_cost,,standalone_annual_proxy,G (100002),
100002,rail_construction_cost,457500.0,standalone_annual_proxy,G (100002),0.4575
100002,rail_land_consumption_cost,,standalone_annual_proxy,G (100002),
100002,rail_maint_cost,549000.0,standalone_annual_proxy,G (100002),0.549
100002,rail_noise_cost,,standalone_annual_proxy,G (100002),
100002,rail_operation_cost,1491223.5000004936,standalone_annual_proxy,G (100002),1.4912235000004936
100002,rail_tts_cost,5504963.19022743,standalone_annual_proxy,G (100002),5.50496319022743
100003,rail_accident_cost,,standalone_annual_proxy,P (100003),
100003,rail_airpollution_cost,,standalone_annual_proxy,P (100003),
100003,rail_co2_cost,,standalone_annual_proxy,P (100003),
100003,rail_construction_cost,457500.0,standalone_annual_proxy,P (100003),0.4575
100003,rail_land_consumption_cost,,standalone_annual_proxy,P (100003),
100003,rail_maint_cost,549000.0,standalone_annual_proxy,P (100003),0.549
100003,rail_noise_cost,,standalone_annual_proxy,P (100003),
100003,rail_operation_cost,1249186.448497714,standalone_annual_proxy,P (100003),1.249186448497714
100003,rail_tts_cost,1717468.6210500728,standalone_annual_proxy,P (100003),1.717468621050073
100004,rail_accident_cost,,standalone_annual_proxy,P (100004),
100004,rail_airpollution_cost,,standalone_annual_proxy,P (100004),
100004,rail_co2_cost,,standalone_annual_proxy,P (100004),
100004,rail_construction_cost,457500.0,standalone_annual_proxy,P (100004),0.4575
100004,rail_land_consumption_cost,,standalone_annual_proxy,P (100004),
100004,rail_maint_cost,549000.0,standalone_annual_proxy,P (100004),0.549
100004,rail_noise_cost,,standalone_annual_proxy,P (100004),
100004,rail_operation_cost,1366327.1115340572,standalone_annual_proxy,P (100004),1.3663271115340572
100004,rail_tts_cost,1898258.996158105,standalone_annual_proxy,P (100004),1.8982589961581051
100005,rail_accident_cost,,standalone_annual_proxy,P (100005),
100005,rail_airpollution_cost,,standalone_annual_proxy,P (100005),
100005,rail_co2_cost,,standalone_annual_proxy,P (100005),
100005,rail_construction_cost,457500.0,standalone_annual_proxy,P (100005),0.4575
100005,rail_land_consumption_cost,,standalone_annual_proxy,P (100005),
100005,rail_maint_cost,549000.0,standalone_annual_proxy,P (100005),0.549
100005,rail_noise_cost,,standalone_annual_proxy,P (100005),
100005,rail_operation_cost,1772511.8780511147,standalone_annual_proxy,P (100005),1.7725118780511147
100005,rail_tts_cost,5634717.538009515,standalone_annual_proxy,P (100005),5.634717538009515
101000,rail_accident_cost,,standalone_annual_proxy,X0 (101000),
101000,rail_airpollution_cost,,standalone_annual_proxy,X0 (101000),
101000,rail_co2_cost,,standalone_annual_proxy,X0 (101000),
101000,rail_construction_cost,1583300.0,standalone_annual_proxy,X0 (101000),1.5833
101000,rail_land_consumption_cost,,standalone_annual_proxy,X0 (101000),
101000,rail_maint_cost,1234974.0,standalone_annual_proxy,X0 (101000),1.234974
101000,rail_noise_cost,,standalone_annual_proxy,X0 (101000),
101000,rail_operation_cost,6764695.075241824,standalone_annual_proxy,X0 (101000),6.764695075241824
101000,rail_tts_cost,6091224.502843339,standalone_annual_proxy,X0 (101000),6.091224502843339
101001,rail_accident_cost,,standalone_annual_proxy,X1 (101001),
101001,rail_airpollution_cost,,standalone_annual_proxy,X1 (101001),
101001,rail_co2_cost,,standalone_annual_proxy,X1 (101001),
101001,rail_construction_cost,1583300.0,standalone_annual_proxy,X1 (101001),1.5833
101001,rail_land_consumption_cost,,standalone_annual_proxy,X1 (101001),
101001,rail_maint_cost,1234974.0,standalone_annual_proxy,X1 (101001),1.234974
101001,rail_noise_cost,,standalone_annual_proxy,X1 (101001),
101001,rail_operation_cost,9194709.592311688,standalone_annual_proxy,X1 (101001),9.194709592311687
101001,rail_tts_cost,13666346.101573084,standalone_annual_proxy,X1 (101001),13.666346101573083
101002,rail_accident_cost,,standalone_annual_proxy,X2 (101002),
101002,rail_airpollution_cost,,standalone_annual_proxy,X2 (101002),
101002,rail_co2_cost,,standalone_annual_proxy,X2 (101002),
101002,rail_construction_cost,1583300.0,standalone_annual_proxy,X2 (101002),1.5833
101002,rail_land_consumption_cost,,standalone_annual_proxy,X2 (101002),
101002,rail_maint_cost,1234974.0,standalone_annual_proxy,X2 (101002),1.234974
101002,rail_noise_cost,,standalone_annual_proxy,X2 (101002),
101002,rail_operation_cost,8754960.406377172,standalone_annual_proxy,X2 (101002),8.754960406377172
101002,rail_tts_cost,5929518.1207040325,standalone_annual_proxy,X2 (101002),5.929518120704032
101003,rail_accident_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_airpollution_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_co2_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_construction_cost,1583300.0,standalone_annual_proxy,X3 (101003),1.5833
101003,rail_land_consumption_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_maint_cost,1234974.0,standalone_annual_proxy,X3 (101003),1.234974
101003,rail_noise_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_operation_cost,8286864.190406665,standalone_annual_proxy,X3 (101003),8.286864190406666
101003,rail_tts_cost,5670049.278099442,standalone_annual_proxy,X3 (101003),5.670049278099442
101004,rail_accident_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_airpollution_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_co2_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_construction_cost,1583300.0,standalone_annual_proxy,X4 (101004),1.5833
101004,rail_land_consumption_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_maint_cost,1234974.0,standalone_annual_proxy,X4 (101004),1.234974
101004,rail_noise_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_operation_cost,7895035.997189831,standalone_annual_proxy,X4 (101004),7.895035997189831
101004,rail_tts_cost,1410109.4316918994,standalone_annual_proxy,X4 (101004),1.4101094316918994
101005,rail_accident_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_airpollution_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_co2_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_construction_cost,1622750.0,standalone_annual_proxy,X5 (101005),1.62275
101005,rail_land_consumption_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_maint_cost,1457895.0,standalone_annual_proxy,X5 (101005),1.457895
101005,rail_noise_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_operation_cost,3806954.046847058,standalone_annual_proxy,X5 (101005),3.806954046847058
101005,rail_tts_cost,145506.54996556474,standalone_annual_proxy,X5 (101005),0.14550654996556475
101006,rail_accident_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_airpollution_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_co2_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_construction_cost,1622750.0,standalone_annual_proxy,X6 (101006),1.62275
101006,rail_land_consumption_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_maint_cost,1457895.0,standalone_annual_proxy,X6 (101006),1.457895
101006,rail_noise_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_operation_cost,2758437.9295488927,standalone_annual_proxy,X6 (101006),2.7584379295488928
101006,rail_tts_cost,3992796.385450677,standalone_annual_proxy,X6 (101006),3.992796385450677
101007,rail_accident_cost,,standalone_annual_proxy,X7 (101007),
