development,scenario,tts_annual,access_only_minutes,cost_annual,mode,value_mode,cost_annual_negative,net_annual
0,scenario_100,87056.83962758051,311.26467799805323,-13702484.545691762,Road,access_only_integrated_proxy,13702484.545691762,13789541.385319343
0,scenario_19,131172.9155489874,468.99813380643536,-13731809.896275062,Road,access_only_integrated_proxy,13731809.896275062,13862982.81182405
0,scenario_26,59598.28892631551,213.08885426168672,-13683698.348794151,Road,access_only_integrated_proxy,13683698.348794151,13743296.637720468
0,scenario_44,100446.66638147992,359.13891890585,-13711540.643950261,Road,access_only_integrated_proxy,13711540.643950261,13811987.310331741
0,scenario_64,124265.94867321738,444.30283324502307,-13727371.534104291,Road,access_only_integrated_proxy,13727371.534104291,13851637.482777508
0,scenario_70,82153.33459790096,293.7325929757353,-13699109.408187341,Road,access_only_integrated_proxy,13699109.408187341,13781262.742785241
0,scenario_75,100652.45151696177,359.8746869880197,-13711671.662618987,Road,access_only_integrated_proxy,13711671.662618987,13812324.114135949
0,scenario_78,136195.08612785474,486.95449788730184,-13735181.404980099,Road,access_only_integrated_proxy,13735181.404980099,13871376.491107954
0,scenario_89,84194.30620392507,301.0299216229723,-13700557.927155443,Road,access_only_integrated_proxy,13700557.927155443,13784752.233359369
0,scenario_96,89332.85193951146,319.4023756496499,-13704075.68017346,Road,access_only_integrated_proxy,13704075.68017346,13793408.532112971
103,scenario_100,252624.0905996787,903.2369719765047,-20544801.233552907,Road,access_only_integrated_proxy,20544801.233552907,20797425.324152585
103,scenario_19,381414.0136909999,1363.7149092862564,-20165397.80495769,Road,access_only_integrated_proxy,20165397.80495769,20546811.818648692
103,scenario_26,172192.37527407636,615.6598892480943,-20780908.96062778,Road,access_only_integrated_proxy,20780908.96062778,20953101.335901856
103,scenario_44,292031.01837993937,1044.1332500735261,-20429467.135406755,Road,access_only_integrated_proxy,20429467.135406755,20721498.153786693
103,scenario_64,362553.61565485765,1296.2810839056365,-20224027.605810944,Road,access_only_integrated_proxy,20224027.605810944,20586581.2214658
103,scenario_70,237848.7385507851,850.4088976117455,-20587220.00969814,Road,access_only_integrated_proxy,20587220.00969814,20825068.748248927
103,scenario_75,292700.7864112044,1046.5279514143622,-20427664.736788798,Road,access_only_integrated_proxy,20427664.736788798,20720365.5232
103,scenario_78,397251.5214593919,1420.3406353855353,-20121454.68284294,Road,access_only_integrated_proxy,20121454.68284294,20518706.204302333
103,scenario_89,244591.9025521456,874.5185342646546,-20569209.827461712,Road,access_only_integrated_proxy,20569209.827461712,20813801.73001386
103,scenario_96,259996.0057943729,929.5946575888192,-20524751.34301932,Road,access_only_integrated_proxy,20524751.34301932,20784747.348813694
104,scenario_100,58776.53734730001,210.1507480573855,-27556626.953216545,Road,access_only_integrated_proxy,27556626.953216545,27615403.490563847
104,scenario_19,88576.75014896557,316.69899494602214,-27536377.98705762,Road,access_only_integrated_proxy,27536377.98705762,27624954.737206586
104,scenario_26,40233.69291920781,143.85230987873183,-27569015.975880533,Road,access_only_integrated_proxy,27569015.975880533,27609249.668799743
104,scenario_44,67817.23001372698,242.47501233958246,-27550563.789137024,Road,access_only_integrated_proxy,27550563.789137024,27618381.019150753
104,scenario_64,83874.18517172917,299.88535480394785,-27539716.023805078,Road,access_only_integrated_proxy,27539716.023805078,27623590.20897681
104,scenario_70,55476.655574523225,198.3522880876808,-27558802.037648395,Road,access_only_integrated_proxy,27558802.037648395,27614278.693222918
104,scenario_75,67948.28143493317,242.943576080208,-27550484.1934667,Road,access_only_integrated_proxy,27550484.1934667,27618432.474901635
104,scenario_78,91948.42579800711,328.75414810460643,-27534184.954248793,Road,access_only_integrated_proxy,27534184.954248793,27626133.3800468
104,scenario_89,56833.11315732284,203.2021922943386,-27557971.711367406,Road,access_only_integrated_proxy,27557971.711367406,27614804.82452473
104,scenario_96,60303.305156042756,215.60958268082322,-27555658.09373771,Road,access_only_integrated_proxy,27555658.09373771,27615961.39889375
109,scenario_100,81166.96858977294,290.2059212148306,-73549575.09619588,Road,access_only_integrated_proxy,73549575.09619588,73630742.06478564
