development,score_id,value,value_mode,development_label,value_mio_chf
0,road_accident_cost,,standalone_annual_proxy,0,
0,road_airpollution_cost,,standalone_annual_proxy,0,
0,road_climate_cost,-219924.64394040313,standalone_annual_proxy,0,-0.21992464394040312
0,road_co2_cost,,standalone_annual_proxy,0,
0,road_construction_cost,-3816953.5260029384,standalone_annual_proxy,0,-3.8169535260029384
0,road_ecological_disruption_cost,-710437.4218694746,standalone_annual_proxy,0,-0.7104374218694746
0,road_land_consumption_cost,-46377.68640486368,standalone_annual_proxy,0,-0.04637768640486368
0,road_maint_cost,-2128372.97034406,standalone_annual_proxy,0,-2.12837297034406
0,road_noise_cost,-7655182.065570948,standalone_annual_proxy,0,-7.655182065570948
0,road_tts_cost,1854976.10465712,standalone_annual_proxy,0,1.85497610465712
103,road_accident_cost,,standalone_annual_proxy,103,
103,road_airpollution_cost,,standalone_annual_proxy,103,
103,road_climate_cost,-440578.2300220169,standalone_annual_proxy,103,-0.4405782300220169
103,road_co2_cost,,standalone_annual_proxy,103,
103,road_construction_cost,-6491417.956595839,standalone_annual_proxy,103,-6.491417956595839
103,road_ecological_disruption_cost,-1021005.69736768,standalone_annual_proxy,103,-1.02100569736768
103,road_land_consumption_cost,-80166.75102873528,standalone_annual_proxy,103,-0.08016675102873527
103,road_maint_cost,-4031434.3203598512,standalone_annual_proxy,103,-4.0314343203598515
103,road_noise_cost,-10686915.800475284,standalone_annual_proxy,103,-10.686915800475285
103,road_tts_cost,-3892574.192300995,standalone_annual_proxy,103,-3.892574192300995
104,road_accident_cost,,standalone_annual_proxy,104,
104,road_airpollution_cost,,standalone_annual_proxy,104,
104,road_climate_cost,-90049.4821352756,standalone_annual_proxy,104,-0.0900494821352756
104,road_co2_cost,,standalone_annual_proxy,104,
104,road_construction_cost,-3156249.8477229197,standalone_annual_proxy,104,-3.1562498477229197
104,road_ecological_disruption_cost,-266283.8302421902,standalone_annual_proxy,104,-0.2662838302421902
104,road_land_consumption_cost,-2770.2230637444213,standalone_annual_proxy,104,-0.0027702230637444212
104,road_maint_cost,-1656002.2441377095,standalone_annual_proxy,104,-1.6560022441377096
104,road_noise_cost,-22779409.5753967,standalone_annual_proxy,104,-22.779409575396702
104,road_tts_cost,38606.42073568961,standalone_annual_proxy,104,0.03860642073568961
109,road_accident_cost,,standalone_annual_proxy,109,
109,road_airpollution_cost,,standalone_annual_proxy,109,
109,road_climate_cost,-1013657.6766594506,standalone_annual_proxy,109,-1.0136576766594507
109,road_co2_cost,,standalone_annual_proxy,109,
109,road_construction_cost,-42978481.77262277,standalone_annual_proxy,109,-42.97848177262277
109,road_ecological_disruption_cost,-2069349.4931752032,standalone_annual_proxy,109,-2.0693494931752032
109,road_land_consumption_cost,-403190.0702812184,standalone_annual_proxy,109,-0.4031900702812184
109,road_maint_cost,-21997233.397928752,standalone_annual_proxy,109,-21.997233397928753
109,road_noise_cost,-9319668.629144125,standalone_annual_proxy,109,-9.319668629144125
109,road_tts_cost,-7968157.024158484,standalone_annual_proxy,109,-7.968157024158485
114,road_accident_cost,,standalone_annual_proxy,114,
114,road_airpollution_cost,,standalone_annual_proxy,114,
114,road_climate_cost,-223437.22652392564,standalone_annual_proxy,114,-0.22343722652392564
114,road_co2_cost,,standalone_annual_proxy,114,
114,road_construction_cost,-3836285.365401461,standalone_annual_proxy,114,-3.836285365401461
114,road_ecological_disruption_cost,-722031.4714329287,standalone_annual_proxy,114,-0.7220314714329287
114,road_land_consumption_cost,-45100.85583241588,standalone_annual_proxy,114,-0.04510085583241588
114,road_maint_cost,-2142185.759122142,standalone_annual_proxy,114,-2.142185759122142
114,road_noise_cost,-6852863.336530978,standalone_annual_proxy,114,-6.8528633365309775
114,road_tts_cost,-182239.00638569985,standalone_annual_proxy,114,-0.18223900638569984
12,road_accident_cost,,standalone_annual_proxy,12,
12,road_airpollution_cost,,standalone_annual_proxy,12,
12,road_climate_cost,-670219.4033113153,standalone_annual_proxy,12,-0.6702194033113154
12,road_co2_cost,,standalone_annual_proxy,12,
12,road_construction_cost,-7809347.345562276,standalone_annual_proxy,12,-7.809347345562276
12,road_ecological_disruption_cost,-1763514.656397349,standalone_annual_proxy,12,-1.763514656397349
12,road_land_consumption_cost,-134783.92284051736,standalone_annual_proxy,12,-0.13478392284051735
12,road_maint_cost,-4972816.319064497,standalone_annual_proxy,12,-4.972816319064497
12,road_noise_cost,-19548455.828200765,standalone_annual_proxy,12,-19.548455828200765
