development,scenario_count,mean_delta_vkm_annualized,median_delta_vkm_annualized,std_delta_vkm_annualized,mean_delta_vkm_peak_hour,median_delta_vkm_peak_hour,std_delta_vkm_peak_hour
0,10,-514699.0398958422,-490988.9888704957,131668.41136415614,-823.5184638333474,-785.5823821927931,210.66945818264986
103,10,6870120.039031355,6550818.739899025,1691551.3646368522,10992.192062450169,10481.30998383844,2706.482183418963
104,10,350513.52647078555,333018.6080247225,89572.09442253808,560.821642353257,532.829772839556,143.31535107606092
109,10,10594539.989216097,10103222.958466044,2609092.932963444,16951.263982745753,16165.156733545671,4174.548692741511
114,10,1319741.9373703233,1259251.732657105,319786.95192822244,2111.587099792517,2014.802772251368,511.659123085156
12,10,2294963.1463537905,2188019.3333520805,567238.6121903022,3671.9410341660646,3500.8309333633288,907.5817795044836
126,10,6801349.747703524,6485213.25376229,1675598.1532188426,10882.159596325637,10376.341206019664,2680.9570451501477
140,10,304785.97948970145,289798.951683389,76620.69790616378,487.6575671835223,463.6783226934224,122.59311664986205
143,10,70600.20796530545,67540.93429233263,11287.730391757867,112.96033274448871,108.0654948677322,18.06036862681259
144,10,4074286.477510878,3885416.4586547986,998867.5948547247,6518.858364017405,6216.666333847677,1598.1881517675592
15,10,-448793.29260437406,-428070.04813317023,115545.70152088946,-718.0692681669985,-684.9120770130723,184.87312243342316
150,10,4399638.04121721,4194944.710825178,1085306.2982838852,7039.420865947535,6711.911537320284,1736.4900772542167
17,10,8152213.926326154,7773531.007885203,2004497.36989319,13043.542282121847,12437.649612616326,3207.1957918291037
176,10,1255132.9765819493,1196569.392342009,310602.3430277066,2008.2127625311186,1914.5110277472145,496.96374884433055
177,10,41445.16921702997,39486.30763261432,5532.264311711969,66.31227074724795,63.17809221218292,8.851622898739148
195,10,4587578.5808071215,4374205.9711331185,1132056.625951592,7340.125729291396,6998.729553812989,1811.2906015225471
197,10,967691.1893017667,921870.5373136007,239440.4914243281,1548.3059028828266,1474.992859701761,383.1047862789249
2,10,6236510.110312188,5946435.26815499,1535241.2157067065,9978.4161764995,9514.296429047983,2456.3859451307303
