mode,score_id,n_developments,n_scenarios,n_rows,standalone_missing,integrated_missing
Rail,rail_accident_cost,39,100,3900,3900,0
Rail,rail_airpollution_cost,39,100,3900,3900,0
Rail,rail_co2_cost,39,100,3900,3900,0
Rail,rail_construction_cost,39,100,3900,0,0
Rail,rail_land_consumption_cost,39,100,3900,3900,0
Rail,rail_maint_cost,39,100,3900,0,0
Rail,rail_noise_cost,39,100,3900,3900,0
Rail,rail_operation_cost,39,100,3900,0,0
Rail,rail_tts_cost,39,100,3900,0,0
Road,road_accident_cost,139,10,1383,1383,0
Road,road_airpollution_cost,139,10,1383,1383,0
Road,road_climate_cost,139,10,1383,3,1383
Road,road_co2_cost,139,10,1383,1383,0
Road,road_construction_cost,138,10,1380,0,0
Road,road_ecological_disruption_cost,139,10,1383,3,1383
Road,road_land_consumption_cost,139,10,1383,3,0
Road,road_maint_cost,138,10,1380,0,0
Road,road_noise_cost,139,10,1383,3,0
Road,road_tts_cost,138,10,1380,0,0
