mode,development,scenario,tts_hours,tts_minutes,tts_chf_yearly,tts_minutes_metric
Road,0,scenario_100,84.08466940133172,5045.080164079904,1411045.858391098,weighted_peak_minutes
Road,2,scenario_100,-168.88894577856598,-10133.33674671396,-2834167.6213465612,weighted_peak_minutes
Road,12,scenario_100,-16.264290498297974,-975.8574298978784,-272935.1249245629,weighted_peak_minutes
Road,15,scenario_100,60.360705646635815,3621.642338798149,1012928.0916326072,weighted_peak_minutes
Road,17,scenario_100,-79.09582184818477,-4745.749310891086,-1327326.7603898505,weighted_peak_minutes
Road,25,scenario_100,-197.97755205363885,-11878.653123218332,-3322310.795400128,weighted_peak_minutes
Road,27,scenario_100,-186.8810310040678,-11212.86186024407,-3136097.301537013,weighted_peak_minutes
Road,28,scenario_100,-29.405735086888306,-1764.3441052132985,-493464.9919268444,weighted_peak_minutes
Road,57,scenario_100,61.706219423676764,3702.373165420606,1035507.4947035756,weighted_peak_minutes
Road,62,scenario_100,14.122964382214317,847.377862932859,237000.996039034,weighted_peak_minutes
Road,63,scenario_100,-208.87747885806598,-12532.64873148396,-3505225.1920869206,weighted_peak_minutes
Road,73,scenario_100,-89.16985687314202,-5350.191412388522,-1496381.660652415,weighted_peak_minutes
Road,90,scenario_100,1.2096839360000256,72.58103616000153,20300.00855100043,weighted_peak_minutes
Road,94,scenario_100,1.916795009886846,115.00770059321076,32166.216259663634,weighted_peak_minutes
Road,103,scenario_100,-184.27766281446966,-11056.65976886818,-3092409.529105319,weighted_peak_minutes
Road,104,scenario_100,1.683460748733099,101.00764492398594,28250.575689677316,weighted_peak_minutes
Road,109,scenario_100,-374.4488114291026,-22466.928685746156,-6283719.116794628,weighted_peak_minutes
Road,114,scenario_100,-8.347784344450337,-500.8670606670202,-140086.25603030724,weighted_peak_minutes
Road,126,scenario_100,-214.10750641239764,-12846.45038474386,-3592991.5919830487,weighted_peak_minutes
Road,140,scenario_100,-3.8653800955129554,-231.92280573077733,-64865.90972782679,weighted_peak_minutes
Road,143,scenario_100,-1.2827373843009506,-76.96424305805704,-21525.936730300327,weighted_peak_minutes
Road,144,scenario_100,-160.14774525880736,-9608.864715528442,-2687479.350124361,weighted_peak_minutes
Road,150,scenario_100,-160.55644053576106,-9633.386432145664,-2694337.7677407404,weighted_peak_minutes
Road,176,scenario_100,39.26967976996772,2356.1807861980633,658994.3136397708,weighted_peak_minutes
Road,177,scenario_100,3.4417321588795553,206.50392953277333,57756.567791197536,weighted_peak_minutes
Road,195,scenario_100,-155.0123539957994,-9300.741239747964,-2601301.065492009,weighted_peak_minutes
Road,197,scenario_100,-15.471987776565948,-928.3192665939569,-259639.29487549732,weighted_peak_minutes
Road,201,scenario_100,-203.40470121910136,-12204.282073146082,-3413385.1423330447,weighted_peak_minutes
Road,202,scenario_100,-78.22758603444575,-4693.655162066745,-1312756.6781405427,weighted_peak_minutes
Road,206,scenario_100,0.8830249978986103,52.98149987391662,14818.263245986054,weighted_peak_minutes
Road,209,scenario_100,-7.714959073261707,-462.8975443957024,-129466.65694817304,weighted_peak_minutes
Road,227,scenario_100,2.2091189634248924,132.54713780549355,37071.77760497398,weighted_peak_minutes
Road,233,scenario_100,-11.15725304496009,-669.4351826976053,-187232.6526607365,weighted_peak_minutes
Road,240,scenario_100,-0.4094391081773211,-24.566346490639265,-6870.900034100669,weighted_peak_minutes
Road,243,scenario_100,-114.92469196362363,-6895.481517817418,-1928579.987014559,weighted_peak_minutes
Road,245,scenario_100,-180.65000147696603,-10839.000088617962,-3031532.837285336,weighted_peak_minutes
Road,249,scenario_100,-197.3439286672607,-11840.635720035643,-3311677.802947469,weighted_peak_minutes
Road,250,scenario_100,12.484761148347753,749.0856689008651,209509.8980207107,weighted_peak_minutes
Road,255,scenario_100,-17.46958324376028,-1048.1749946256168,-293161.44380935223,weighted_peak_minutes
Road,261,scenario_100,-82.26518977823629,-4935.911386694177,-1380512.7159660277,weighted_peak_minutes
Road,267,scenario_100,1.1830031147537132,70.98018688522279,19852.27101946075,weighted_peak_minutes
Road,270,scenario_100,-17.921169588190967,-1075.270175291458,-300739.6271518297,weighted_peak_minutes
Road,273,scenario_100,2.0085363858786875,120.51218315272126,33705.75122552673,weighted_peak_minutes
Road,277,scenario_100,-114.69491065385519,-6881.694639231311,-1924723.9694100071,weighted_peak_minutes
Road,284,scenario_100,-10.650000761036063,-639.0000456621638,-178720.32527113642,weighted_peak_minutes
Road,285,scenario_100,-194.96712765842483,-11698.02765950549,-3271792.1110179415,weighted_peak_minutes
Road,289,scenario_100,-190.23776069099162,-11414.265641459497,-3192427.421595703,weighted_peak_minutes
Road,308,scenario_100,-32.14435814583364,-1928.6614887500184,-539422.5101347708,weighted_peak_minutes
Road,331,scenario_100,-217.5430741322887,-13052.58444793732,-3650644.712782469,weighted_peak_minutes
Road,334,scenario_100,126.63308792805182,7597.98527568311,2125061.50679262,weighted_peak_minutes
Road,348,scenario_100,-223.56953935427785,-13414.172361256671,-3751776.3322889754,weighted_peak_minutes
Road,351,scenario_100,-338.61463210553535,-20316.87792633212,-5682376.795021014,weighted_peak_minutes
Road,356,scenario_100,-149.57538205915867,-8974.52292354952,-2510061.8801802564,weighted_peak_minutes
Road,358,scenario_100,-170.2266773687006,-10213.600642122035,-2856616.429593507,weighted_peak_minutes
Road,390,scenario_100,-125.08880855865041,-7505.328513519024,-2099146.568624852,weighted_peak_minutes
Road,392,scenario_100,5.547249002139627,332.83494012837764,93089.7723171556,weighted_peak_minutes
Road,394,scenario_100,0.30236051166721156,18.141630700032692,5073.987336415394,weighted_peak_minutes
Road,423,scenario_100,82.77284533092752,4966.370719855651,1389031.810709627,weighted_peak_minutes
Road,459,scenario_100,-51.42104679921855,-3085.262807953113,-862909.4415993864,weighted_peak_minutes
Road,464,scenario_100,-0.162727662336935,-9.7636597402161,-2730.77358359169,weighted_peak_minutes
Road,469,scenario_100,-116.80438902907578,-7008.263341744547,-1960123.653394178,weighted_peak_minutes
Road,486,scenario_100,-201.64178512885118,-12098.507107731071,-3383801.206693534,weighted_peak_minutes
Road,493,scenario_100,-0.3436828684284895,-20.62097210570937,-5767.4281358155895,weighted_peak_minutes
Road,499,scenario_100,-162.65976838818557,-9759.586103291134,-2729634.238264239,weighted_peak_minutes
Road,517,scenario_100,-5.077507741958835,-304.65046451753005,-85206.92679474669,weighted_peak_minutes
Road,521,scenario_100,-331.2686824437522,-19876.12094662513,-5559102.577259216,weighted_peak_minutes
Road,531,scenario_100,-177.15214011427307,-10629.128406856384,-2972834.3512926446,weighted_peak_minutes
Road,533,scenario_100,-17.99220915652307,-1079.5325493913842,-301931.7599079028,weighted_peak_minutes
Road,538,scenario_100,4.211992885327588,252.71957311965525,70682.50560690358,weighted_peak_minutes
Road,540,scenario_100,27.29930994257253,1637.958596554352,458116.5449737953,weighted_peak_minutes
Road,546,scenario_100,-27.96165360273347,-1677.6992161640082,-469231.49952087103,weighted_peak_minutes
Road,550,scenario_100,2.00250971619486,120.15058297169162,33604.616174894996,weighted_peak_minutes
Road,552,scenario_100,-68.061877461517,-4083.71264769102,-1142163.381151082,weighted_peak_minutes
Road,556,scenario_100,-22.099931784600873,-1325.9959070760524,-370864.4802603334,weighted_peak_minutes
Road,558,scenario_100,-168.02936094897058,-10081.761656938235,-2819742.713424913,weighted_peak_minutes
Road,564,scenario_100,-182.71694632163855,-10963.016779298312,-3066218.755459997,weighted_peak_minutes
Road,565,scenario_100,-21.312644813752073,-1278.7586888251244,-357652.82078077696,weighted_peak_minutes
Road,569,scenario_100,17.57483770584222,1054.4902623505332,294927.7452511648,weighted_peak_minutes
Road,594,scenario_100,-30.778186595367153,-1846.691195722029,-516496.443803505,weighted_peak_minutes
Road,602,scenario_100,-24.739397745555227,-1484.3638647333137,-415158.0184175987,weighted_peak_minutes
Road,612,scenario_100,-374.36825413993694,-22462.095248396217,-6282367.264785817,weighted_peak_minutes
Road,614,scenario_100,-29.551456127913358,-1773.0873676748015,-495910.3731465461,weighted_peak_minutes
Road,625,scenario_100,-29.881043519625866,-1792.862611177552,-501441.2615637216,weighted_peak_minutes
Road,627,scenario_100,9.26521612770739,555.9129676624434,155481.90814308965,weighted_peak_minutes
Road,628,scenario_100,-46.2137910785755,-2772.82746471453,-775525.181537345,weighted_peak_minutes
Road,629,scenario_100,-21.242121698409512,-1274.5273019045708,-356469.35475143464,weighted_peak_minutes
Road,648,scenario_100,-25.722296758239583,-1543.337805494375,-431652.2924742081,weighted_peak_minutes
Road,662,scenario_100,-312.3904901462646,-18743.429408775875,-5242302.912767002,weighted_peak_minutes
Road,669,scenario_100,75.85179259714205,4551.107555828523,1272887.89452079,weighted_peak_minutes
Road,670,scenario_100,5.993234217683979,359.5940530610387,100573.96171550929,weighted_peak_minutes
Road,673,scenario_100,38.859693155375616,2331.581589322537,652114.2257636471,weighted_peak_minutes
Road,678,scenario_100,-177.28427806958013,-10637.056684174808,-2975051.7913551414,weighted_peak_minutes
Road,680,scenario_100,-17.506501064815286,-1050.3900638889172,-293780.9709939315,weighted_peak_minutes
Road,682,scenario_100,-168.177399301364,-10090.64395808184,-2822226.982026015,weighted_peak_minutes
Road,689,scenario_100,-204.32716963814164,-12259.630178288498,-3428865.315490064,weighted_peak_minutes
Road,694,scenario_100,16.492043898143066,989.522633888584,276757.11166571337,weighted_peak_minutes
Road,726,scenario_100,-44.126099455700995,-2647.5659673420596,-740491.1064909823,weighted_peak_minutes
Road,736,scenario_100,-1.679558265847542,-100.77349595085252,-28185.087148754064,weighted_peak_minutes
Road,750,scenario_100,-206.18254873276263,-12370.952923965757,-3460000.8959216727,weighted_peak_minutes
Road,755,scenario_100,12.920678903211956,775.2407341927174,216825.14284452563,weighted_peak_minutes
Road,759,scenario_100,-363.5733961363663,-21814.403768181975,-6101216.053913396,weighted_peak_minutes
Road,761,scenario_100,43.230900523297414,2593.8540313978447,725468.5494065847,weighted_peak_minutes
Road,764,scenario_100,-37.773050982428444,-2266.3830589457066,-633879.0117988773,weighted_peak_minutes
Road,767,scenario_100,34.31223475559576,2058.7340853357455,575802.1894923414,weighted_peak_minutes
Road,770,scenario_100,19.817079355942163,1189.0247613565298,332555.3629419044,weighted_peak_minutes
Road,775,scenario_100,-222.69515363077517,-13361.70921784651,-3737103.046866446,weighted_peak_minutes
Road,776,scenario_100,-70.30754291203242,-4218.452574721945,-1179848.454492544,weighted_peak_minutes
Road,780,scenario_100,4.118088222737424,247.08529336424544,69106.6679878124,weighted_peak_minutes
Road,789,scenario_100,-176.11789494844075,-10567.073696906446,-2955478.424603522,weighted_peak_minutes
Road,791,scenario_100,-45.537529941735556,-2732.2517965041334,-764176.6743347498,weighted_peak_minutes
Road,809,scenario_100,-47.87495801254311,-2872.497480752587,-803401.6391479891,weighted_peak_minutes
Road,810,scenario_100,-34.095945220720026,-2045.7567132432016,-572172.5807352079,weighted_peak_minutes
Road,811,scenario_100,-4.6573144052235875,-279.43886431341525,-78155.55736265832,weighted_peak_minutes
Road,813,scenario_100,61.00973759617093,3660.584255770256,1023819.6590357436,weighted_peak_minutes
Road,822,scenario_100,-24.950069957889113,-1497.0041974733467,-418693.3614808267,weighted_peak_minutes
Road,831,scenario_100,-48.4216383661192,-2905.298301967152,-812575.6188314378,weighted_peak_minutes
Road,837,scenario_100,1.3993171094519008,83.95902656711405,23482.29024298971,weighted_peak_minutes
Road,858,scenario_100,-37.6991920420803,-2261.951522524818,-632639.56645616,weighted_peak_minutes
