mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Rail,100001,100,112812.66440212239,108966.88457679556,29893.549809637454,45491.971784592024,205443.59989929566,95041.82483387012,129960.63563156415,17321632.534516543,16731138.680869779,4589955.282937767,100,0,34918.81079769402
Rail,101001,100,103749.58478587106,100282.27521640243,27058.314436147,42700.14218741577,187215.23053074314,87566.47946357778,119504.00130272283,15930057.079971928,15397674.810977146,4154623.7929074643,100,0,31937.521839145047
Rail,101023,100,92459.44612168906,89361.410545588,24169.08374466533,37940.51102536905,167062.75538181915,78020.24847799522,106499.68137481977,14196531.555677876,13720848.846538067,3711001.681768397,100,0,28479.432896824554
Rail,101007,100,87221.52245026006,84261.28456461614,22918.61646535853,35581.239953636104,158028.18441916286,73503.1952763191,100513.92862278466,13392283.295421097,12937758.502999712,3519000.767479366,100,0,27010.733346465568
Rail,101012,100,86479.74007521117,83572.20206689954,22635.789000449517,35435.55386805441,156366.7017228625,72948.31105384295,99624.51044142254,13278387.556948174,12831954.479358647,3475574.495759021,100,0,26676.19938757959
Rail,101027,100,77268.04008775218,75767.62498533652,17723.431045964226,36068.920974611756,130665.00820208079,66220.41194545865,87593.225971254,11863992.435207095,11633613.69899852,2721314.680900834,100,0,21372.81402579535
Rail,101011,100,75303.08467611806,73863.01654779854,17223.36505618399,35243.34239470925,127154.78527498458,64590.6729751821,85337.40328744141,11562286.63145342,11341173.770804144,2644532.8819433437,100,0,20746.730312259315
Rail,101031,100,65786.59741809587,63554.02211064269,17287.883806690967,26833.445657251938,119199.58916688367,55439.80344030344,75811.70830485286,10101093.456232501,9758296.401608447,2654439.305958688,100,0,20371.90486454942
Rail,101016,100,63760.93946505688,61606.4260576362,16788.704939660973,25921.497197806093,115694.3625414357,53758.919281303315,73446.43619191847,9790067.181929715,9459256.011642985,2577793.7187853456,100,0,19687.51691061516
Rail,101026,100,53369.78662692083,51560.25173068192,14014.246029876907,21790.058057188,96658.65155530453,44979.78190141981,61502.49739259671,8194574.937986179,7916732.918234671,2151794.0495807338,100,0,16522.715491176903
Rail,101010,100,52560.37762743061,50777.52513653097,13803.165450615064,21457.395325839097,95197.30310511484,44295.64831623404,60570.97224506776,8070295.582174453,7796550.467880087,2119384.033838939,100,0,16275.32392883372
Rail,101008,100,47814.49500848397,46211.97860997927,12505.568513565771,19607.40932822162,86424.46471167379,40345.056048424085,55074.46708697549,7341596.945252658,7095541.2357049165,1920146.674801267,100,0,14729.411038551407
Rail,101024,100,46398.77226023799,44854.58051896232,12096.827597424186,19097.67761558309,83723.48205304239,39176.978866933496,53432.077538585145,7124222.155411141,6887121.8081498705,1857387.2320671675,100,0,14255.098671651649
Rail,101000,100,46220.1373940509,44664.08468431313,12108.018878574849,18920.09842491112,83611.0666258377,38981.59133252262,53247.74198636456,7096793.962607222,6857872.442711718,1859105.5786793109,100,0,14266.150653841942
Rail,101002,100,44944.60214896673,43423.73580467691,11846.066535890533,18248.953409313326,81598.40733004035,37888.689951240194,51773.27370399253,6900944.029292849,6667425.141236108,1818884.5428090857,100,0,13884.583752752333
Rail,101029,100,43652.46531735096,42202.05416441022,11394.814159080011,17932.573097346685,78833.64106393157,36865.77051991135,50259.706989318074,6702545.033043791,6479844.0699174255,1749597.7486990083,100,0,13393.936469406726
Rail,101030,100,43196.130234038195,41754.02950948686,11262.639855320254,17783.61636990143,77936.92361044872,36460.21224474833,49754.23334002771,6632477.823235004,6411052.870984977,1729303.2655187233,100,0,13294.021095279386
Rail,101003,100,43019.71651248754,41560.02453082823,11302.795817398564,17551.69165277468,77938.81090069101,36254.40248206225,49575.45775306571,6605390.672382377,6381264.699878469,1735468.9457894326,100,0,13321.05527100346
Rail,100005,100,42751.761700158335,41300.83851099145,11233.08749003669,17441.270487307484,77455.61250877159,36027.75796914211,49267.168047669475,6564247.997314644,6341468.414439331,1724765.6968451994,100,0,13239.410078527362
Rail,100002,100,41773.40026168448,40356.67237556008,10967.622757404393,17059.8550151581,75649.36605620313,35204.57210778979,48140.49440139643,6414027.120846574,6196497.998784747,1684005.3569143945,100,0,12935.922293606636
Rail,101014,100,38485.63196063151,37184.14195639038,10112.717966473743,15693.28579396024,69739.4698848721,32445.029734371055,44340.61257925656,5909212.21667523,5709377.103124032,1552740.425632266,100,0,11895.582844885503
Rail,101013,100,37301.23475273375,36038.550497592005,9765.873433914652,15291.433192849074,67435.4488115359,31439.842661170078,42990.79308852488,5727355.921383915,5533479.171901936,1499484.7599547023,100,0,11550.950427354801
Rail,100000,100,35632.9442613139,34419.409551621065,9452.508775746981,14345.166061997734,64937.91142439644,30022.214434147972,41061.2203540498,5471201.038363007,5284870.87392107,1451369.7057907772,100,0,11039.005919901829
Rail,101028,100,32087.943548987143,30999.148231088184,8431.526075007785,13089.752506137884,58137.50292277459,27041.54153457199,36977.743045482785,4926889.812323316,4759712.549895383,1294604.6186436114,100,0,9936.201510910796
Rail,101006,100,30379.333206315296,29684.245570539133,7205.612151311868,13744.848830817498,52266.45165968657,25847.60471230562,34573.88522407375,4664544.084941671,4557818.0123858135,1106373.7084195951,100,0,8726.280511768127
Rail,101015,100,25334.66555530069,24709.82950603873,6112.148566612344,11275.327890276967,43970.10957956314,21623.067398964922,28890.53477659887,3889968.998246052,3794029.58845554,938479.6647462145,100,0,7267.467377633948
Rail,101020,100,22431.347748885226,21676.59745723191,5868.792341217507,9198.29869180976,40546.17919063603,18918.231616673984,25844.168449551944,3444183.904523,3328297.028908245,901113.9387116737,100,0,6925.93683287796
Rail,101017,100,22153.584122033008,21422.517030120653,5758.312422389892,9148.630640149568,39912.71716022951,18720.390849409596,25503.969616295944,3401535.1513773543,3289284.673194825,884150.4837084854,100,0,6783.578766886349
Rail,101021,100,19630.20015901096,18962.812391281477,5179.338505982225,7963.008264541713,35655.843560218345,16540.100583076382,22618.08462595931,3014086.3664150727,2911613.4239319954,795252.8986701976,100,0,6077.984042882927
