development,scenario,total_mmin,top_edge,top_delta_delay,top_vcr,top_sq_vcr,n_more_delay,n_less_delay,max_delta_delay,min_delta_delay
0,scenario_100,0.00656830421717395,86,3.6799568947643024e-08,1.1212101773890506,1.1212101386263622,0,24,3.6799568947643024e-08,-0.2763291697779451
2,scenario_100,-0.0071360629969030856,178,0.4739318399205956,2.8866952245278403,2.850853725237624,31,1,0.4739318399205956,-0.05781792398989216
9,scenario_100,0.049440933116255435,0,0.0,0.0,0.0,0,39,0.0,-2.012069629593494
12,scenario_100,-0.0008163629763517529,103,0.00011886501879621036,0.2361149332172819,0.23568070167341842,0,3,0.00011886501879621036,-0.22077656676777369
15,scenario_100,0.00467409383385349,86,3.6879354903263106e-08,1.121210177473093,1.1212101386263622,0,13,3.6879354903263106e-08,-0.1928288618637346
17,scenario_100,0.0003886941362716025,103,0.002051942720346922,0.2430255325472728,0.23568070167341842,0,3,0.002051942720346922,-0.19027878497009043
25,scenario_100,-0.0063280049037964786,178,0.5066205265815391,2.889144429398097,2.850853725237624,36,1,0.5066205265815391,-0.10734746252819205
27,scenario_100,-0.005974378788758302,178,0.4713083170259402,2.886498530533076,2.850853725237624,36,1,0.4713083170259402,-0.13650154043646345
28,scenario_100,0.000850273147431435,103,0.0006887763677960734,0.23818154783919052,0.23568070167341842,0,17,0.0006887763677960734,-0.54226150994981
57,scenario_100,0.004234000240878318,86,3.77649576055461e-08,1.1212101784059392,1.1212101386263622,0,7,3.77649576055461e-08,-0.09900611333737075
62,scenario_100,0.001153612795862602,91,0.017959696564072924,0.6514951329232022,0.6282437703819919,1,3,0.017959696564072924,-0.05635678733769467
63,scenario_100,-0.0165848214233038,178,0.5380459743650476,2.891496248601325,2.850853725237624,32,1,0.5380459743650476,-0.09414607779029338
73,scenario_100,-0.006743909486633842,178,0.26630433710347035,2.871070302975553,2.850853725237624,21,0,0.26630433710347035,-0.00685806396433053
90,scenario_100,0.00020739651235588823,124,4.503966264834958e-06,1.2954475382612374,1.2954438741217198,0,2,4.503966264834958e-06,-0.013480074672791886
94,scenario_100,0.00015919597125356086,91,0.0016165887279662172,0.6303860439174533,0.6282437703819919,0,0,0.0016165887279662172,-0.008959970969979025
103,scenario_100,-0.00788840131873684,178,0.4867104038156995,2.8876530066291815,2.850853725237624,31,1,0.4867104038156995,-0.09742423457042326
104,scenario_100,0.00013481768383609598,0,0.0,0.0,0.0,0,0,0.0,-0.009247436739357795
109,scenario_100,-0.028733405971065162,178,1.0311482074431844,2.92805396093484,2.850853725237624,36,1,1.0311482074431844,-0.09262036211747438
114,scenario_100,-0.0009372624828618718,86,0.26607898105345873,1.3637348330782035,1.1212101386263622,3,0,0.26607898105345873,-0.008442148683230566
126,scenario_100,-0.017630474620924798,178,0.5531131817792385,2.892622899769281,2.850853725237624,33,1,0.5531131817792385,-0.05787477542622632
140,scenario_100,-0.00034020573224511464,178,0.013180282034138457,2.851859033923801,2.850853725237624,1,0,0.013180282034138457,-4.467293583942933e-07
143,scenario_100,-8.688983921019826e-05,89,0.00283152185631641,0.5411201838701919,0.5323382869805667,0,0,0.00283152185631641,-0.0017366689380988731
144,scenario_100,-0.005925054756380268,178,0.3890738859261056,2.8803236111162067,2.850853725237624,31,1,0.3890738859261056,-0.08913310806240349
150,scenario_100,-0.010377231251096351,178,0.45290438604042293,2.8851182004751847,2.850853725237624,29,0,0.45290438604042293,-0.004153044458585775
152,scenario_100,0.05021351641301741,0,0.0,0.0,0.0,0,40,0.0,-2.080085166163496
176,scenario_100,0.003754251882192795,91,0.00013402384244098897,0.6284217651319425,0.6282437703819919,0,16,0.00013402384244098897,-0.21470432813057272
177,scenario_100,0.00033575453032751103,87,0.0067738385158231385,1.370457042420361,1.3550955891025764,0,2,0.0067738385158231385,-0.14911976654215064
195,scenario_100,-0.010970086372857448,178,0.4353916071864177,2.8838038495018536,2.850853725237624,29,0,0.4353916071864177,-0.005856273825162184
197,scenario_100,-0.0012343455573311075,178,0.044249427410370856,2.854226831138107,2.850853725237624,2,0,0.044249427410370856,-5.050794866789943e-07
201,scenario_100,-0.01643700708365801,178,0.5419519143972416,2.891788374463222,2.850853725237624,32,1,0.5419519143972416,-0.0737474181044373
202,scenario_100,-0.004029273575170431,178,0.1943367428700249,2.8656265411335213,2.850853725237624,12,0,0.1943367428700249,-0.003932140237954851
206,scenario_100,0.0003762144737144699,124,3.8299393834151374e-07,1.2954441857017103,1.2954438741217198,0,3,3.8299393834151374e-07,-0.020247870919089195
209,scenario_100,-0.00018599514950974844,0,0.0,0.0,0.0,0,3,0.0,-0.4438439580584137
227,scenario_100,0.00020279902577213942,178,0.0026610671730793456,2.8510567346227984,2.850853725237624,0,1,0.0026610671730793456,-0.015023642149889493
233,scenario_100,-0.0004844986008969136,178,0.012759527788514191,2.8518269491128043,2.850853725237624,2,0,0.012759527788514191,-0.0017141090880776755
240,scenario_100,-1.8517207815893928e-05,178,0.002752273155834928,2.8510636922509884,2.850853725237624,0,1,0.002752273155834928,-0.010925862967343214
243,scenario_100,-0.006453215462372638,178,0.2073524279266259,2.866612143838781,2.850853725237624,13,1,0.2073524279266259,-0.5250822930667631
245,scenario_100,-0.006385759457774926,178,0.4358863931237238,2.883840995177533,2.850853725237624,34,1,0.4358863931237238,-0.07783752616097295
249,scenario_100,-0.016304792438582984,178,0.510837957997186,2.889460209443426,2.850853725237624,31,1,0.510837957997186,-0.08362864163198935
250,scenario_100,0.0005648203639450948,178,0.002276245269893451,2.8510273783074243,2.850853725237624,0,2,0.002276245269893451,-0.06626251662828098
254,scenario_100,0.056980856125664656,0,0.0,0.0,0.0,0,40,0.0,-2.396432979120899
255,scenario_100,-0.00013284850764647127,178,0.05869093228589506,2.855326490793705,2.850853725237624,2,1,0.05869093228589506,-0.0547715594012943
261,scenario_100,-0.004346235876782332,178,0.23108321298104428,2.8684079192151404,2.850853725237624,15,0,0.23108321298104428,-0.0020467206725522935
267,scenario_100,-0.00036339090640773067,178,0.0118072943701506,2.8517543342437883,2.850853725237624,1,5,0.0118072943701506,-0.05533050589759836
270,scenario_100,0.0001271709009951446,178,0.04690078505434059,2.854428765284463,2.850853725237624,2,1,0.04690078505434059,-0.056341556686116956
273,scenario_100,2.0698075057705864e-05,178,0.002715678747790662,2.8510609006575325,2.850853725237624,0,2,0.002715678747790662,-0.02239834854333378
277,scenario_100,-0.0046015259337010795,178,0.34607206605979,2.877087245785909,2.850853725237624,25,1,0.34607206605979,-0.04636982632614872
284,scenario_100,-0.0011015361905420433,178,0.0383642052549753,2.853778526152348,2.850853725237624,2,5,0.0383642052549753,-0.05896034009993478
285,scenario_100,-0.016171560712842155,178,0.49776112566533826,2.888480924618222,2.850853725237624,31,1,0.49776112566533826,-0.09322625230867776
