development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
100000,scenario_1,3810720.0354669527,,,,,,0.0,0.0,0.0,0.0,4244551.543058681,1132535.0372548352,1194824.4643038511,1132535.0372548352,1194824.4643038511,3.3647701043349625,3.5524478028927153,3049727.07875483,Rail,2050.0,71616.76420937371,70929.9004683018,686.8637410719093,3810720.0354669527,119680000.0,4.99,0.0,0.0,1132535.0372548352
100001,scenario_1,12067890.867471954,,,,,,0.0,0.0,0.0,0.0,13441760.172947258,1470832.908922622,1551728.718913366,1470832.908922622,1551728.718913366,8.204800690998699,8.662442093847538,11890031.454033893,Rail,2050.0,71616.76420937371,69441.58561033406,2175.1785990396456,12067890.867471954,435010000.0,12.16,0.0,0.0,1470832.908922622
100002,scenario_1,4473564.686304182,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,4982857.75798234,1491223.5000004936,1573240.7925005206,20340223.50000049,2734800.5300781676,0.2199368500697189,1.822018718798448,2248057.227904172,Rail,2050.0,71616.76420937371,70810.4259458005,806.3382635732123,4473564.686304182,102460000.0,2.41,18300000.0,549000.0,1491223.5000004936
100003,scenario_1,1393584.0175640758,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,1552236.621184556,1249186.448497714,1317891.7031650883,20098186.448497713,2479451.4407427353,0.0693387943800393,0.6260403392774547,-927214.8195581792,Rail,2050.0,71616.76420937371,71365.57747224969,251.18673712402233,1393584.0175640758,-11820000.0,0.82,18300000.0,549000.0,1249186.448497714
100004,scenario_1,1540152.662415608,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,1715491.3766844205,1366327.1115340572,1441475.1026684302,20215327.11153406,2603034.840246077,0.0761873727750296,0.659035119377137,-887543.4635616569,Rail,2050.0,71616.76420937371,71339.15918730889,277.6050220648176,1540152.662415608,-9090000.0,0.87,18300000.0,549000.0,1366327.1115340572
100005,scenario_1,4577990.430201294,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,5099171.853026906,1772511.8780511147,1870000.031343926,20621511.878051113,3031559.7689215727,0.2220007173709684,1.6820291340786766,2067612.0841053333,Rail,2050.0,71616.76420937371,70791.60371366331,825.1604957103991,4577990.430201294,99130000.0,2.23,18300000.0,549000.0,1772511.8780511147
101000,scenario_1,4948015.543760891,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5511322.483908243,6764695.075241824,7136753.3043801235,71331669.07524182,10455078.391334634,0.0693663222508034,0.5271431047782608,-4943755.907426392,Rail,2050.0,71616.76420937371,70724.90848771529,891.8557216584159,4948015.543760891,-83440000.0,0.7,63332000.0,1234974.0,6764695.075241824
101001,scenario_1,11106912.344781118,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,12371379.028866747,9194709.592311688,9700418.61988883,73761683.59231168,13018743.70684334,0.1505783464240072,0.9502744126043204,-647364.6779765934,Rail,2050.0,71616.76420937371,69614.79731233313,2001.9668970405764,11106912.344781118,92810000.0,1.27,63332000.0,1234974.0,9194709.592311688
101002,scenario_1,4808966.075440352,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5356442.925759565,8754960.406377172,9236483.228727916,73321934.40637717,12554808.315682426,0.0655870049579882,0.426644739694571,-7198365.389922861,Rail,2050.0,71616.76420937371,70749.97147767934,866.7927316943678,4808966.075440352,-141370000.0,0.57,63332000.0,1234974.0,8754960.406377172
101003,scenario_1,4606629.736040764,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5131071.6012796415,8286864.190406665,8742641.720879031,72853838.19040667,12060966.80783354,0.0632311193269068,0.4254278850968261,-6929895.2065539,Rail,2050.0,71616.76420937371,70786.44161816232,830.3225912113849,4606629.736040764,-136960000.0,0.57,63332000.0,1234974.0,8286864.190406665
101004,scenario_1,1131558.145160145,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,1260380.407481594,7895035.997189831,8329262.977035271,72462009.99718983,11647588.06398978,0.0156158812763271,0.1082095624053055,-10387207.656508189,Rail,2050.0,71616.76420937371,71412.80636057051,203.95784880319843,1131558.145160145,-265170000.00000003,0.14,63332000.0,1234974.0,7895035.997189831
101005,scenario_1,118057.1217800497,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,131497.33744719284,3806954.046847058,4016336.519423646,70174849.04684706,7620060.286290589,0.0016823281187429,0.0172567319032596,-7488562.948843396,Rail,2050.0,71616.76420937371,71595.48498771184,21.279221661869087,118057.1217800497,-201750000.0,0.02,64910000.0,1457895.0,3806954.046847058
101006,scenario_1,3215821.821289975,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,3581927.128395186,2758437.9295488927,2910152.0156740816,69126332.92954889,6513875.7825410245,0.0465209376080664,0.5498918382809408,-2931948.6541458387,Rail,2050.0,71616.76420937371,71037.12797626448,579.6362331092241,3215821.821289975,-57440000.0,0.68,64910000.0,1457895.0,2758437.9295488927
101007,scenario_1,9339903.45180204,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,10403204.968981052,2864178.3156979834,3021708.1230613724,69232073.31569798,6625431.889928315,0.1349071753089369,1.5701927273292988,3777773.079052737,Rail,2050.0,71616.76420937371,69933.29206593426,1683.472143439445,9339903.45180204,184820000.0,2.02,64910000.0,1457895.0,2864178.3156979834
101008,scenario_1,5117763.736674717,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,5700395.66363752,2348724.399368907,2477904.2413341966,68716619.39936891,6081628.008201139,0.0744763607611598,0.9373140968093536,-381232.3445636192,Rail,2050.0,71616.76420937371,70694.31220204229,922.4520073314196,5117763.736674717,32580000.0,1.19,64910000.0,1457895.0,2348724.399368907
101009,scenario_1,154900.22400326165,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,172534.8434662989,6029353.94372662,6360968.410631583,24878353.94372662,7522528.14820923,0.0062263051789373,0.0229357524580843,-7349993.304742931,Rail,2050.0,71616.76420937371,71588.84419783743,27.920011536276434,154900.22400326165,-187100000.0,0.03,18300000.0,549000.0,6029353.94372662
101010,scenario_1,5628515.6065797405,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,6269294.091585094,3678039.6755888616,3880331.8577462486,22527039.67558886,5041891.595323896,0.2498559814177008,1.2434408739369869,1227402.496261198,Rail,2050.0,71616.76420937371,70602.25166312646,1014.5125462472496,5628515.6065797405,89790000.0,1.69,18300000.0,549000.0,3678039.6755888616
101011,scenario_1,7945938.764801037,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,8850544.341039015,6382115.932128592,6733132.308395664,25231115.932128593,7894692.045973311,0.3149261723570023,1.1210753110443663,955852.2950657038,Rail,2050.0,71616.76420937371,70184.54741687172,1432.2167925019894,7945938.764801037,92810000.0,1.46,18300000.0,549000.0,6382115.932128592
101012,scenario_1,9257861.08560318,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,10311822.48776897,4781397.43325049,5044374.292079266,23630397.43325049,6205934.029656913,0.3917776292910072,1.661606848943421,4105888.4581120578,Rail,2050.0,71616.76420937371,69948.0798031727,1668.684406201006,9257861.08560318,202390000.0,2.26,18300000.0,549000.0,4781397.43325049
101013,scenario_1,3995848.6332455464,,,,,,40721000.0,1295872.922344227,794059.5,837732.7725,4450756.110188245,2672944.478542223,2819956.4248620453,44188003.97854222,4953562.119706273,0.0904283577775076,0.898496072650878,-502806.00951802824,Rail,2050.0,71616.76420937371,70896.53193950249,720.2322698712233,3995848.6332455464,22730000.0,1.17,40721000.0,794059.5,2672944.478542223
101014,scenario_1,4119667.6326042702,,,,,,40721000.0,1295872.922344227,794059.5,837732.7725,4588671.286295811,3637776.376419882,3837854.077122975,45152835.87641988,5971459.771967202,0.0912382921834524,0.7684337601732091,-1382788.4856713917,Rail,2050.0,71616.76420937371,70874.21416744792,742.5500419257878,4119667.6326042702,2090000.0,1.01,40721000.0,794059.5,3637776.376419882
101015,scenario_1,2685848.3475054763,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,2991618.8126449534,3141343.089817573,3314116.959757539,21990343.089817572,4475676.6973351855,0.122137628164116,0.6684170942074884,-1484057.884690232,Rail,2050.0,71616.76420937371,71132.65311573537,484.11109363833384,2685848.3475054763,-14810000.0,0.87,18300000.0,549000.0,3141343.089817573
101016,scenario_1,6822447.320592518,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,7599148.988259142,1845066.0495133616,1946544.6822365965,20694066.04951336,3108104.419814243,0.3296813349425331,2.4449464888677412,4491044.568444898,Rail,2050.0,71616.76420937371,70387.05128208594,1229.7129272877646,6822447.320592518,185210000.0,3.25,18300000.0,549000.0,1845066.0495133616
101017,scenario_1,2370172.8934484064,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,2640005.2794667017,9328074.887254942,9841119.006053964,73895048.88725494,13159444.093008474,0.0320748538520447,0.2006167783994248,-10519438.813541772,Rail,2050.0,71616.76420937371,71189.55208005712,427.21212931658374,2370172.8934484064,-252600000.0,0.27,63332000.0,1234974.0,9328074.887254942
101018,scenario_1,226657.10132967093,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,252460.8840954057,8422318.666801453,8885546.193475531,72989292.66680145,12203871.28043004,0.0031053472783243,0.0206869507465429,-11951410.396334635,Rail,2050.0,71616.76420937371,71575.9103699127,40.85383946100774,226657.10132967093,-312270000.0,0.03,63332000.0,1234974.0,8422318.666801453
101019,scenario_1,139271.01298955147,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,155126.32457548397,12379848.634120692,13060740.30899733,76946822.63412069,16379065.39595184,0.0018099644432594,0.0094710119793418,-16223939.071376355,Rail,2050.0,71616.76420937371,71591.66128706124,25.102922312464216,139271.01298955147,-420710000.0,0.01,63332000.0,1234974.0,12379848.634120692
101020,scenario_1,2401802.9549652957,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,2675236.266043784,12074664.945059828,12738771.517038118,76641638.94505984,16057096.603992628,0.0313380949053949,0.1666077206870999,-13381860.337948844,Rail,2050.0,71616.76420937371,71183.85091540015,432.9132939735573,2401802.9549652957,-323910000.0,0.23,63332000.0,1234974.0,12074664.945059828
101021,scenario_1,2101032.973788411,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,2340225.119638839,14349670.091337211,15138901.946360758,78916644.0913372,18457227.033315267,0.0266234455098812,0.1267918043926498,-16117001.91367643,Rail,2050.0,71616.76420937371,71238.0632407745,378.70096859920886,2101032.973788411,-395800000.0,0.17,63332000.0,1234974.0,14349670.091337211
101022,scenario_1,1730424.6060709846,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,1927424.8340170423,14714211.47990382,15523493.11129853,79281185.47990382,18841818.19825304,0.0218264219385267,0.102295055272094,-16914393.364235997,Rail,2050.0,71616.76420937371,71304.86359544599,311.90061392771895,1730424.6060709846,-419910000.0,0.14,63332000.0,1234974.0,14714211.47990382
101023,scenario_1,9896933.66965006,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,11023650.304427324,15720251.003409136,16584864.808596635,80287225.00340913,19903189.895551145,0.1232690962881058,0.553863494358328,-8879539.591123821,Rail,2050.0,71616.76420937371,69832.89008002078,1783.874129352931,9896933.66965006,-127240000.0,0.75,63332000.0,1234974.0,15720251.003409136
101024,scenario_1,4965505.388935825,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5530803.460897943,15838427.061850354,16709540.550252125,80405401.06185035,20027865.637206633,0.061755868677481,0.2761554107205078,-14497062.17630869,Rail,2050.0,71616.76420937371,70721.75602823892,895.0081811347918,4965505.388935825,-323550000.0,0.38,63332000.0,1234974.0,15838427.061850354
101025,scenario_1,1571461.3421884633,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,1750364.393805637,9194299.763564669,9699986.250560723,73761273.76356468,13018311.337515237,0.0213046936692775,0.1344540277479432,-11267946.943709595,Rail,2050.0,71616.76420937371,71333.51595014724,283.2482592264714,1571461.3421884633,-279970000.0,0.18,63332000.0,1234974.0,9194299.763564669
101026,scenario_1,5715052.22872659,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,6365682.4774139915,8716102.867589945,9195488.52530739,73283076.86758995,12513813.6122619,0.0779859753849134,0.5086924477743903,-6148131.134847909,Rail,2050.0,71616.76420937371,70586.65385812522,1030.1103512484842,5715052.22872659,-104910000.0,0.68,63332000.0,1234974.0,8716102.867589945
101027,scenario_1,8155302.29576842,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,9083742.867867798,7133884.724548768,7526248.38439895,71700858.72454877,10844573.47135346,0.1137406502633172,0.8376302573690894,-1760830.6034856625,Rail,2050.0,71616.76420937371,70146.8106593073,1469.953550066406,8155302.29576842,16430000.0,1.06,63332000.0,1234974.0,7133884.724548768
101028,scenario_1,3435999.9751679637,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,3827171.4691214943,11059719.811672827,11668004.401314832,75626693.81167282,14986329.488269342,0.0454336928138675,0.2553775073554362,-11159158.019147849,Rail,2050.0,71616.76420937371,70997.44193555108,619.3222738226323,3435999.9751679637,-256339999.99999997,0.34,63332000.0,1234974.0,11059719.811672827
101029,scenario_1,4669885.886347949,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5201529.149432064,12898231.613368692,13607634.35210397,77465205.61336869,16925959.43905848,0.0602836570221668,0.307310741713641,-11724430.289626416,Rail,2050.0,71616.76420937371,70775.04000491301,841.7242044606974,4669885.886347949,-257180000.0,0.42,63332000.0,1234974.0,12898231.613368692
101030,scenario_1,4624197.767469375,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,5150639.6656388175,14397753.92824565,15189630.39429916,78964727.92824565,18507955.48125367,0.0585602950683415,0.2782932815488882,-13357315.815614851,Rail,2050.0,71616.76420937371,70783.27506599422,833.4891433794837,4624197.767469375,-298670000.0,0.38,63332000.0,1234974.0,14397753.92824565
101031,scenario_1,7044464.777440836,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,7846442.027443538,7843392.589073221,8274779.181472248,72410366.58907323,11593104.268426755,0.0972853074673406,0.6768197581740839,-3746662.240983219,Rail,2050.0,71616.76420937371,70347.03371596332,1269.7304934103886,7044464.777440836,-29610000.0,0.9,63332000.0,1234974.0,7843392.589073221
101032,scenario_1,570294.0234669356,,,,,,52197000.0,1661076.076903849,1017841.5,1073822.7825,635219.1593122658,6209265.796334621,6550775.415133025,59424107.296334624,9285674.274536874,0.0095970145689022,0.0684085119218709,-8650455.11522461,Rail,2050.0,71616.76420937371,71513.9714870473,102.79272232641232,570294.0234669356,-223760000.0,0.09,52197000.0,1017841.5,6209265.796334621
