mode_rail,vtt_chf_per_hour_rail,base_vtt_chf_per_hour_rail,mean_net_benefit_rows_rail,median_net_benefit_rows_rail,share_positive_rows_rail,mean_net_benefit_developments_rail,median_net_benefit_developments_rail,share_positive_developments_rail,positive_developments_rail,total_developments_rail,total_rows_rail,mode_road,vtt_chf_per_hour_road,base_vtt_chf_per_hour_road,mean_net_benefit_rows_road,median_net_benefit_rows_road,share_positive_rows_road,mean_net_benefit_developments_road,median_net_benefit_developments_road,share_positive_developments_road,positive_developments_road,total_developments_road,total_rows_road,combined_mean_net_benefit_developments,delta_mean_net_benefit_developments,delta_share_positive_developments
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,26.85,31.4,-1141850742.8244197,-1055142737.048475,0.021739130434782608,-1141850742.8244197,-1017611022.9381344,0.014492753623188406,2,138,414,-1147647508.289498,1136053977.3593414,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,26.96375,31.4,-1142228712.5335739,-1056650121.3639016,0.021739130434782608,-1142228712.5335739,-1019309993.3892503,0.014492753623188406,2,138,414,-1148025477.9986522,1136431947.0684955,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.0775,31.4,-1142606682.2427273,-1056646178.2519085,0.021739130434782608,-1142606682.2427273,-1021008963.840366,0.014492753623188406,2,138,414,-1148403447.7078056,1136809916.777649,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.19125,31.4,-1142984651.9518814,-1058097196.4290655,0.021739130434782608,-1142984651.9518814,-1022707934.2914817,0.014492753623188406,2,138,414,-1148781417.4169598,1137187886.486803,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.305,31.4,-1143362621.661035,-1060072789.6978059,0.021739130434782608,-1143362621.661035,-1024406904.7425975,0.014492753623188406,2,138,414,-1149159387.1261134,1137565856.1959567,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.418750000000003,31.4,-1143740591.370189,-1061460866.1354997,0.021739130434782608,-1143740591.370189,-1026105875.1937134,0.014492753623188406,2,138,414,-1149537356.8352673,1137943825.9051106,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.532500000000002,31.4,-1144118561.0793428,-1062629966.0333118,0.021739130434782608,-1144118561.0793428,-1027804845.644829,0.014492753623188406,2,138,414,-1149915326.5444212,1138321795.6142645,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.646250000000002,31.4,-1144496530.7884967,-1063493923.6835575,0.021739130434782608,-1144496530.7884965,-1029503816.0959449,0.014492753623188406,2,138,414,-1150293296.2535748,1138699765.3234181,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.76,31.4,-1144874500.4976504,-1063915943.2233078,0.021739130434782608,-1144874500.4976506,-1031202786.5470607,0.014492753623188406,2,138,414,-1150671265.962729,1139077735.0325723,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.87375,31.4,-1145252470.2068043,-1063568489.858017,0.021739130434782608,-1145252470.206804,-1032901756.9981763,0.014492753623188406,2,138,414,-1151049235.6718824,1139455704.7417257,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.9875,31.4,-1145630439.9159582,-1063221036.492726,0.021739130434782608,-1145630439.9159582,-1034600727.4492922,0.014492753623188406,2,138,414,-1151427205.3810365,1139833674.4508798,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.10125,31.4,-1146008409.6251118,-1062873583.1274351,0.021739130434782608,-1146008409.6251118,-1036299697.9004079,0.014492753623188406,2,138,414,-1151805175.0901902,1140211644.1600335,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.215,31.4,-1146386379.3342657,-1062526129.7621442,0.021739130434782608,-1146386379.3342657,-1037998668.3515236,0.014492753623188406,2,138,414,-1152183144.799344,1140589613.8691874,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.32875,31.4,-1146764349.0434196,-1062178676.3968532,0.021739130434782608,-1146764349.0434194,-1039697638.8026395,0.014492753623188406,2,138,414,-1152561114.5084977,1140967583.578341,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.4425,31.4,-1147142318.7525733,-1061831223.0315624,0.021739130434782608,-1147142318.7525735,-1041396609.2537553,0.014492753623188406,2,138,414,-1152939084.2176518,1141345553.2874951,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.55625,31.4,-1147520288.4617271,-1061483769.6662714,0.021739130434782608,-1147520288.4617271,-1043095579.7048708,0.014492753623188406,2,138,414,-1153317053.9268055,1141723522.9966488,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.67,31.4,-1147898258.170881,-1061136316.3009806,0.021739130434782608,-1147898258.1708813,-1044794550.1559868,0.014492753623188406,2,138,414,-1153695023.6359596,1142101492.705803,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.78375,31.4,-1148276227.880035,-1060788862.9356897,0.021739130434782608,-1148276227.8800347,-1046493520.6071025,0.014492753623188406,2,138,414,-1154072993.345113,1142479462.4149563,0.1906354515050167
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.8975,31.4,-1148654197.5891886,-1060441409.5703988,0.024154589371980676,-1148654197.5891886,-1048192491.0582184,0.021739130434782608,3,138,414,-1154450963.054267,1142857432.1241102,0.18338907469342253
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.01125,31.4,-1149032167.2983425,-1060093956.2051079,0.024154589371980676,-1149032167.2983425,-1049891461.5093341,0.021739130434782608,3,138,414,-1154828932.7634208,1143235401.833264,0.18338907469342253
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.125,31.4,-1149410137.0074964,-1059746502.839817,0.024154589371980676,-1149410137.0074964,-1051590431.9604497,0.021739130434782608,3,138,414,-1155206902.4725747,1143613371.542418,0.18338907469342253
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.23875,31.4,-1149788106.71665,-1059030890.2203157,0.024154589371980676,-1149788106.71665,-1053289402.4115655,0.021739130434782608,3,138,414,-1155584872.1817284,1143991341.2515717,0.18338907469342253
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.3525,31.4,-1150166076.425804,-1058332336.4286506,0.024154589371980676,-1150166076.425804,-1054988372.8626813,0.021739130434782608,3,138,414,-1155962841.8908823,1144369310.9607255,0.18338907469342253
