ID_new,ID_current,total_low,total_medium,total_high
0,6,-837571038.1592256,-7233459611.82367,-8207593295.950945
2,38,148587287.54323524,-5903335467.860592,-6774522148.283875
15,6,-810687029.6512207,-7275632244.68783,-8249387798.107889
57,4,-161903837.91698635,-6614278203.272004,-7551808834.777312
63,38,-337520509.7365018,-6796284132.506034,-7662757148.233045
73,169,-717111943.7404647,-7425445386.775516,-8413516830.565528
103,38,50041624.43481666,-6083637586.535572,-6958862486.454637
109,39,-919816721.7381516,-7492119420.780055,-8357747225.683537
114,0,-246288939.19160715,-6950001512.406847,-7904624384.59125
126,38,24753582.52772349,-6425572430.179902,-7291247006.399795
150,37,-973920626.9710486,-7235099470.447815,-8167002475.289885
177,1,-609596878.3661659,-7432783531.0749,-8426790514.964318
195,37,-720397427.9082069,-6957623497.824054,-7886193912.111819
201,38,134555521.73370516,-6291053476.444834,-7163763726.596305
202,38,-557224002.2746079,-6847496008.044037,-7790182736.409333
227,4,-434736732.9964367,-7080646858.6088505,-8046642824.702314
240,4,-611456683.8245094,-7291141315.850025,-8271463550.726444
249,38,226537491.97833085,-6151238032.073027,-7028465200.118614
250,3,-2290473892.12768,-8917176570.356972,-9856182759.685646
254,39,-1094574538.8755517,-7532911843.992764,-8381163267.8098545
255,38,-619262601.3342985,-6827679920.343966,-7778050032.071798
261,38,-430630354.7183393,-6769816988.086695,-7715880070.87341
267,35,-763921745.8280082,-7429071859.484618,-8421815048.683624
270,38,-1015200836.2102276,-7288406694.424551,-8237368819.437105
273,3,-474045344.262586,-7174655193.691747,-8153271764.778984
277,38,-1487607294.2748082,-7596871573.182429,-8502227855.088491
284,35,-1404470061.309564,-8004096409.034076,-9041380302.66022
285,38,-1106175797.3395562,-7408938715.326268,-8283648121.335395
289,38,-2606038071.6237216,-8814173522.751078,-9710894708.16589
331,38,-2065539591.065324,-8521762140.95129,-9385511325.167734
334,6,-732377965.3108215,-6991466419.18511,-7947536387.072792
348,169,-776450363.5846463,-7027039909.937515,-7939751163.934031
351,32,-1116598211.3094249,-8065519550.434438,-9097670281.41071
356,38,-1178239911.541881,-8038828219.545636,-9028841851.385294
358,38,-2060686152.6494389,-8120075007.208578,-8995883537.956963
390,169,-861118066.8898532,-7600006176.456523,-8577455284.302473
394,1,-152540125.30186164,-6802543731.400923,-7740263836.912573
469,38,-170405242.6622334,-6279797450.134734,-7185622937.461693
486,38,-1281915978.7431765,-7721068447.680823,-8585635492.37891
517,0,-437859731.1845043,-7080600388.636701,-8048215102.379438
521,39,-1469781518.4098358,-7930635257.57128,-8795545443.84436
531,37,-488805006.969701,-6800220293.471684,-7737521007.056444
533,36,-1912746791.2783904,-8570325314.837886,-9631676951.089909
540,38,-2235473119.1734614,-8902355543.04036,-10013106816.347576
552,169,-412608536.1894359,-7249020539.26325,-8228271382.002363
564,38,-787880405.5848314,-6900045573.436923,-7775924487.40496
612,39,-2361677685.8393755,-8931372473.273317,-9794764838.87801
614,169,-798758592.0247784,-7373615405.131708,-8364560627.195029
625,34,-989003855.2931691,-7606423260.9034195,-8607049369.259758
627,3,-119078951.73224938,-6768619407.792279,-7712829501.607509
628,35,-905603862.1006516,-7630998115.617332,-8633996433.399956
662,39,76257481.96681267,-6295911994.175275,-7147429949.247987
670,2,-17084652.0044446,-6610583572.278021,-7542424955.97676
673,6,-576448783.6315808,-7109512285.789026,-8080380607.82926
689,38,-223369353.52028203,-6487754239.334645,-7391759475.019213
726,35,-680510790.2553036,-7313324794.008357,-8291905141.445045
750,38,-286913557.79614043,-6550661621.505604,-7439148646.34997
755,3,-2269268508.33964,-8885912250.765553,-9818663262.176308
759,39,-2573301815.535595,-9025015197.632883,-9875413345.711468
761,6,-785958759.4177982,-7444697866.839656,-8429264558.317576
767,4,-501972090.3418349,-7285842809.858146,-8264934496.940638
775,38,257428247.52659065,-6192072694.407695,-7050704790.285355
776,35,-761900057.3444985,-7401212385.903875,-8380518510.13517
789,39,-489395016.224615,-6755719612.620411,-7677821711.930745
791,39,-1001501951.8803872,-7548747058.289355,-8535387968.393174
809,39,-1080521543.7283008,-7613771346.369796,-8605788037.673763
811,4,-449939774.74835086,-7346021739.857653,-8334241533.536496
822,169,-605854470.3432312,-7374479734.229856,-8355835266.582231
831,35,-915886246.3981544,-7629299975.080025,-8632209916.97202
866,37,-915013599.9860564,-7591576516.087999,-8595157907.746407
873,38,-484719318.6077252,-6867286942.277411,-7730051817.296272
895,38,-173351882.25154793,-6233242739.124825,-7124677860.768377
935,39,-1326323882.1011877,-7868241806.87641,-8900044472.089924
945,169,-747197198.9296151,-7032163415.853769,-7989970599.741534
964,36,-950450987.1478949,-7751499622.360257,-8770543316.589598
971,0,-719633108.0491856,-7361789819.705497,-8321360944.777834
987,169,-452921703.3080501,-7438266226.420155,-8427531829.75547
