step,vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_ratio_rail,mean_ratio_road
0,15.19,26.85,0.4945038117650264,5.320349078211993
1,15.44125,26.96375,0.5026831457153861,5.342888732128068
2,15.692499999999999,27.0775,0.5108624796657456,5.365428386044141
3,15.94375,27.19125,0.5190418136161052,5.387968039960218
4,16.195,27.305,0.5272211475664649,5.410507693876292
5,16.44625,27.418750000000003,0.5354004815168245,5.4330473477923675
6,16.697499999999998,27.532500000000002,0.5435798154671841,5.455587001708443
7,16.94875,27.646250000000002,0.5517591494175439,5.478126655624517
8,17.2,27.76,0.5599384833679033,5.500666309540593
9,17.451249999999998,27.87375,0.568117817318263,5.523205963456667
10,17.7025,27.9875,0.5762971512686228,5.545745617372742
11,17.95375,28.10125,0.5844764852189823,5.5682852712888184
12,18.205,28.215,0.592655819169342,5.590824925204892
13,18.456249999999997,28.32875,0.6008351531197016,5.613364579120967
14,18.7075,28.4425,0.6090144870700612,5.635904233037043
15,18.95875,28.55625,0.617193821020421,5.658443886953118
16,19.21,28.67,0.6253731549707805,5.680983540869192
17,19.46125,28.78375,0.6335524889211402,5.703523194785268
18,19.7125,28.8975,0.6417318228714999,5.726062848701343
19,19.963749999999997,29.01125,0.6499111568218595,5.748602502617417
20,20.215,29.125,0.658090490772219,5.771142156533493
21,20.46625,29.23875,0.6662698247225785,5.793681810449567
22,20.7175,29.3525,0.6744491586729384,5.8162214643656425
23,20.96875,29.46625,0.682628492623298,5.838761118281718
24,21.22,29.58,0.6908078265736576,5.861300772197792
25,21.471249999999998,29.69375,0.6989871605240171,5.883840426113867
26,21.722499999999997,29.8075,0.707166494474377,5.906380080029942
27,21.97375,29.92125,0.7153458284247367,5.9289197339460165
28,22.224999999999998,30.035,0.7235251623750962,5.9514593878620925
29,22.47625,30.14875,0.7317044963254558,5.973999041778168
30,22.7275,30.2625,0.7398838302758154,5.996538695694242
31,22.978749999999998,30.37625,0.748063164226175,6.019078349610317
32,23.229999999999997,30.49,0.7562424981765347,6.041618003526391
33,23.48125,30.603749999999998,0.7644218321268943,6.064157657442468
34,23.732499999999998,30.7175,0.7726011660772539,6.0866973113585425
35,23.98375,30.831249999999997,0.7807805000276136,6.109236965274618
36,24.235,30.945,0.7889598339779733,6.131776619190694
37,24.48625,31.05875,0.7971391679283328,6.154316273106767
38,24.737499999999997,31.1725,0.8053185018786924,6.176855927022842
39,24.988749999999996,31.28625,0.813497835829052,6.199395580938918
40,25.24,31.4,0.8216771697794116,6.221935234854993
