development,mean_net_benefit,median_net_benefit,share_positive_scenarios,positive_scenarios,total_scenarios,mode,vtt_chf_per_hour,base_vtt_chf_per_hour
100000,2299409.7287735525,2153717.946314434,1.0,10,10,Rail,15.19,15.2
100001,-1523363.7327621616,-1524443.5902402718,0.0,0,10,Rail,15.19,15.2
100002,9490617.82016861,9028057.958452696,1.0,10,10,Rail,15.19,15.2
100003,2781225.4397901255,2608228.751678646,1.0,10,10,Rail,15.19,15.2
100004,-164208.75002547426,-217868.697009149,0.3,3,10,Rail,15.19,15.2
100005,-457819.1734250729,-516743.2992352941,0.2,2,10,Rail,15.19,15.2
100006,2817672.3083560634,2640705.6654876983,1.0,10,10,Rail,15.19,15.2
100007,2952142.578644274,2762028.2941567213,1.0,10,10,Rail,15.19,15.2
100008,8310667.129741766,7885126.295036368,1.0,10,10,Rail,15.19,15.2
100009,3748967.1998796007,3564737.2336006663,1.0,10,10,Rail,15.19,15.2
100010,3256828.536085202,3078790.4544459106,1.0,10,10,Rail,15.19,15.2
100011,-421210.12823726574,-451641.7656930758,0.2,2,10,Rail,15.19,15.2
100012,-1625687.6271957892,-1636568.9954479118,0.0,0,10,Rail,15.19,15.2
101000,-8161435.09634227,-8165951.816154959,0.0,0,10,Rail,15.19,15.2
101001,-7859786.720292467,-7955357.197831944,0.0,0,10,Rail,15.19,15.2
101002,-1810899.7316494212,-2171920.7547927434,0.3,3,10,Rail,15.19,15.2
101003,-5184236.037421379,-5380182.741188861,0.0,0,10,Rail,15.19,15.2
101004,-9320170.284714123,-9326099.309128439,0.0,0,10,Rail,15.19,15.2
101005,-3399503.765277476,-3461138.113974343,0.0,0,10,Rail,15.19,15.2
101006,-3608924.4856666075,-3615245.8348099636,0.0,0,10,Rail,15.19,15.2
101007,1286239.8435552514,1068614.3729191674,0.6,6,10,Rail,15.19,15.2
101008,4039089.1358635006,3824180.6345088193,0.9,9,10,Rail,15.19,15.2
101009,2124448.6732528047,1768986.2855161605,0.6,6,10,Rail,15.19,15.2
101010,-219436.47173771838,-374341.7615133,0.4,4,10,Rail,15.19,15.2
101011,-2957246.195006511,-3115729.6743530524,0.0,0,10,Rail,15.19,15.2
101012,-2563920.9303944,-2647120.412926172,0.0,0,10,Rail,15.19,15.2
101013,2671427.510087447,2410191.6348189586,0.9,9,10,Rail,15.19,15.2
101014,-2427436.390031861,-2517256.7179169506,0.0,0,10,Rail,15.19,15.2
101015,-3106376.72238482,-3115103.1746246405,0.0,0,10,Rail,15.19,15.2
101016,-1946535.1919232688,-1946535.19192333,0.0,0,10,Rail,15.19,15.2
101017,-10845688.661784146,-10850302.532845523,0.0,0,10,Rail,15.19,15.2
101018,-7817338.541310342,-7909805.421517182,0.0,0,10,Rail,15.19,15.2
101019,-12268037.827445365,-12348915.037648337,0.0,0,10,Rail,15.19,15.2
101020,-12285061.804923898,-12351260.87594956,0.0,0,10,Rail,15.19,15.2
101021,-7199833.371053746,-7578869.990342605,0.0,0,10,Rail,15.19,15.2
101022,-12103934.932329554,-12293275.309384875,0.0,0,10,Rail,15.19,15.2
101023,-16277536.286413178,-16338069.028662577,0.0,0,10,Rail,15.19,15.2
101024,-16854831.352292992,-16890745.0544416,0.0,0,10,Rail,15.19,15.2
101025,-5595959.95066998,-5816842.11303657,0.0,0,10,Rail,15.19,15.2
101026,-2769236.5036919056,-2991502.9659642074,0.2,2,10,Rail,15.19,15.2
101027,-5510601.589069927,-5643390.604182891,0.0,0,10,Rail,15.19,15.2
101028,-8518595.628736395,-8695883.336741462,0.0,0,10,Rail,15.19,15.2
101029,-10501871.823366705,-10678948.259156471,0.0,0,10,Rail,15.19,15.2
101030,-9867373.92396314,-10139613.857455146,0.0,0,10,Rail,15.19,15.2
101031,-8880579.17737709,-8897754.067388158,0.0,0,10,Rail,15.19,15.2
