mode,vtt_chf_per_hour,base_vtt_chf_per_hour,mean_net_benefit_rows,median_net_benefit_rows,share_positive_rows,mean_net_benefit_developments,median_net_benefit_developments,share_positive_developments,positive_developments,total_developments,total_rows
Rail,15.19,15.2,-3594046.5473097824,-3068662.5862734746,0.27391304347826084,-3594046.547309783,-2863241.349349208,0.2608695652173913,12,46,460
Rail,15.44125,15.2,-3535891.9902077233,-3027754.316888732,0.2782608695652174,-3535891.990207724,-2769497.653592524,0.2608695652173913,12,46,460
Rail,15.692499999999999,15.2,-3477737.4331056653,-2988737.679793993,0.2826086956521739,-3477737.433105666,-2675753.95783584,0.2608695652173913,12,46,460
Rail,15.94375,15.2,-3419582.8760036062,-2941692.551734156,0.2891304347826087,-3419582.8760036067,-2605359.789136774,0.2608695652173913,12,46,460
Rail,16.195,15.2,-3361428.318901548,-2904158.8439282835,0.29347826086956524,-3361428.3189015477,-2553618.5312822135,0.2826086956521739,13,46,460
Rail,16.44625,15.2,-3303273.76179949,-2850822.7935377154,0.2956521739130435,-3303273.761799489,-2501877.273427653,0.2826086956521739,13,46,460
Rail,16.697499999999998,15.2,-3245119.2046974315,-2810642.258772803,0.2956521739130435,-3245119.2046974315,-2450136.0155730927,0.2826086956521739,13,46,460
Rail,16.94875,15.2,-3186964.6475953716,-2770461.72400789,0.30217391304347824,-3186964.6475953725,-2398394.7577185314,0.2826086956521739,13,46,460
Rail,17.2,15.2,-3128810.090493313,-2740881.991238799,0.30869565217391304,-3128810.0904933135,-2346653.499863971,0.30434782608695654,14,46,460
Rail,17.451249999999998,15.2,-3070655.5333912554,-2711775.3179163374,0.30869565217391304,-3070655.533391255,-2294912.2420094106,0.30434782608695654,14,46,460
Rail,17.7025,15.2,-3012500.9762891955,-2649855.0192362927,0.30869565217391304,-3012500.976289196,-2243170.98415485,0.30434782608695654,14,46,460
Rail,17.95375,15.2,-2954346.4191871374,-2583061.1134102507,0.3108695652173913,-2954346.4191871374,-2191429.726300289,0.30434782608695654,14,46,460
Rail,18.205,15.2,-2896191.86208508,-2540652.6615132643,0.31521739130434784,-2896191.8620850793,-2139688.468445729,0.30434782608695654,14,46,460
Rail,18.456249999999997,15.2,-2838037.3049830208,-2478962.797603121,0.31956521739130433,-2838037.304983021,-2087947.2105911686,0.32608695652173914,15,46,460
Rail,18.7075,15.2,-2779882.747880962,-2402193.3793548485,0.32608695652173914,-2779882.7478809617,-2036205.9527366075,0.32608695652173914,15,46,460
Rail,18.95875,15.2,-2721728.190778903,-2318580.4415433914,0.3282608695652174,-2721728.1907789037,-1984464.6948820471,0.32608695652173914,15,46,460
Rail,19.21,15.2,-2663573.6336768446,-2202795.767369406,0.33043478260869563,-2663573.6336768446,-1952251.994353441,0.32608695652173914,15,46,460
Rail,19.46125,15.2,-2605419.0765747856,-2122992.7908749646,0.3347826086956522,-2605419.076574786,-1921024.5756589759,0.32608695652173914,15,46,460
Rail,19.7125,15.2,-2547264.5194727276,-2068690.3718635119,0.3347826086956522,-2547264.519472728,-1889797.1569645107,0.32608695652173914,15,46,460
Rail,19.963749999999997,15.2,-2489109.962370669,-1993725.075068438,0.33695652173913043,-2489109.9623706695,-1865465.1171170236,0.32608695652173914,15,46,460
Rail,20.215,15.2,-2430955.40526861,-1946535.1919238395,0.33695652173913043,-2430955.40526861,-1844951.2779569281,0.34782608695652173,16,46,460
Rail,20.46625,15.2,-2372800.848166552,-1946535.1919238463,0.33695652173913043,-2372800.8481665514,-1824437.4387968327,0.34782608695652173,16,46,460
Rail,20.7175,15.2,-2314646.2910644924,-1946535.1919234057,0.33695652173913043,-2314646.291064493,-1803923.5996367373,0.34782608695652173,16,46,460
Rail,20.96875,15.2,-2256491.7339624343,-1946535.1919233769,0.3391304347826087,-2256491.733962435,-1783409.7604766418,0.3695652173913043,17,46,460
Rail,21.22,15.2,-2198337.176860376,-1946535.1919233475,0.3456521739130435,-2198337.1768603763,-1762895.9213165469,0.3695652173913043,17,46,460
Rail,21.471249999999998,15.2,-2140182.619758317,-1946535.1919233482,0.35,-2140182.6197583172,-1742382.0821564514,0.391304347826087,18,46,460
Rail,21.722499999999997,15.2,-2082028.062656259,-1946535.191923349,0.3565217391304348,-2082028.0626562594,-1728851.4476447732,0.391304347826087,18,46,460
Rail,21.97375,15.2,-2023873.5055542002,-1946535.191923223,0.3630434782608696,-2023873.5055542002,-1728616.9086179293,0.391304347826087,18,46,460
Rail,22.224999999999998,15.2,-1965718.9484521418,-1946535.1919228062,0.3673913043478261,-1965718.9484521418,-1728382.3695910852,0.391304347826087,18,46,460
Rail,22.47625,15.2,-1907564.3913500824,-1895277.5214361604,0.3695652173913043,-1907564.391350083,-1728147.8305642414,0.391304347826087,18,46,460
Rail,22.7275,15.2,-1849409.8342480247,-1799473.2679083906,0.3695652173913043,-1849409.8342480254,-1727913.2915373975,0.391304347826087,18,46,460
Rail,22.978749999999998,15.2,-1791255.2771459664,-1755407.0984189603,0.3717391304347826,-1791255.2771459667,-1727678.7525105537,0.391304347826087,18,46,460
Rail,23.229999999999997,15.2,-1733100.7200439074,-1743002.3918880946,0.3739130434782609,-1733100.720043908,-1727444.2134837096,0.391304347826087,18,46,460
Rail,23.48125,15.2,-1674946.1629418489,-1698940.3148364674,0.3739130434782609,-1674946.1629418493,-1727209.6744568655,0.391304347826087,18,46,460
