mode_rail,vtt_chf_per_hour_rail,base_vtt_chf_per_hour_rail,mean_net_benefit_rows_rail,median_net_benefit_rows_rail,share_positive_rows_rail,mean_net_benefit_developments_rail,median_net_benefit_developments_rail,share_positive_developments_rail,positive_developments_rail,total_developments_rail,total_rows_rail,mode_road,vtt_chf_per_hour_road,base_vtt_chf_per_hour_road,mean_net_benefit_rows_road,median_net_benefit_rows_road,share_positive_rows_road,mean_net_benefit_developments_road,median_net_benefit_developments_road,share_positive_developments_road,positive_developments_road,total_developments_road,total_rows_road,combined_mean_net_benefit_developments,delta_mean_net_benefit_developments,delta_share_positive_developments
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,26.85,31.4,-4145941645.5586987,-1128380906.1848278,0.10047619047619048,-4145941645.558698,-3830177839.9219346,0.01904761904761905,2,105,2100,-4151738411.0237765,4140144880.09362,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,26.96375,31.4,-4158907725.421807,-1128629514.274984,0.10047619047619048,-4158907725.421807,-3842950509.708068,0.01904761904761905,2,105,2100,-4164704490.886885,4153110959.9567285,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.0775,31.4,-4171873805.2849145,-1128878122.3651395,0.10047619047619048,-4171873805.284915,-3855723179.4942007,0.01904761904761905,2,105,2100,-4177670570.7499933,4166077039.8198366,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.19125,31.4,-4184839885.1480227,-1129126730.455295,0.10047619047619048,-4184839885.148023,-3868495849.2803345,0.01904761904761905,2,105,2100,-4190636650.6131015,4179043119.682945,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.305,31.4,-4197805965.011131,-1129375338.5454507,0.10047619047619048,-4197805965.0111313,-3881268519.0664682,0.01904761904761905,2,105,2100,-4203602730.4762096,4192009199.546053,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.418750000000003,31.4,-4210772044.8742394,-1129623946.6356063,0.10047619047619048,-4210772044.8742385,-3893495777.8551016,0.01904761904761905,2,105,2100,-4216568810.339317,4204975279.40916,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.532500000000002,31.4,-4223738124.7373476,-1129872554.725762,0.10047619047619048,-4223738124.7373466,-3901909725.170789,0.01904761904761905,2,105,2100,-4229534890.202425,4217941359.2722683,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.646250000000002,31.4,-4236704204.600455,-1130121162.8159175,0.10047619047619048,-4236704204.6004553,-3910323672.4864755,0.01904761904761905,2,105,2100,-4242500970.0655336,4230907439.135377,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.76,31.4,-4249670284.463563,-1130369770.9060733,0.10047619047619048,-4249670284.463563,-3918737619.802162,0.01904761904761905,2,105,2100,-4255467049.9286413,4243873518.9984846,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.87375,31.4,-4262636364.32667,-1130618378.996229,0.10047619047619048,-4262636364.326671,-3927151567.117849,0.01904761904761905,2,105,2100,-4268433129.7917495,4256839598.861593,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,27.9875,31.4,-4275602444.189779,-1130053142.5673504,0.10047619047619048,-4275602444.1897793,-3939412550.3008804,0.01904761904761905,2,105,2100,-4281399209.6548576,4269805678.724701,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.10125,31.4,-4288568524.052887,-1128985213.0862138,0.10047619047619048,-4288568524.0528865,-3953394607.081622,0.01904761904761905,2,105,2100,-4294365289.517965,4282771758.587808,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.215,31.4,-4301534603.915996,-1128174086.3538113,0.10047619047619048,-4301534603.915995,-3967376663.8623643,0.01904761904761905,2,105,2100,-4307331369.381073,4295737838.450916,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.32875,31.4,-4314500683.779103,-1128436425.5764236,0.10047619047619048,-4314500683.779103,-3981358720.643106,0.01904761904761905,2,105,2100,-4320297449.244182,4308703918.314025,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.4425,31.4,-4327466763.642212,-1128721958.5330625,0.10047619047619048,-4327466763.642211,-3995340777.423848,0.01904761904761905,2,105,2100,-4333263529.107289,4321669998.177133,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.55625,31.4,-4340432843.505318,-1129007491.4897013,0.10047619047619048,-4340432843.505319,-4009322834.20459,0.01904761904761905,2,105,2100,-4346229608.970397,4334636078.04024,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.67,31.4,-4353398923.368427,-1129293024.4463398,0.10047619047619048,-4353398923.368427,-4019144236.3541107,0.01904761904761905,2,105,2100,-4359195688.833506,4347602157.903349,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.78375,31.4,-4366365003.231536,-1129578557.4029787,0.10047619047619048,-4366365003.231535,-4028344187.013256,0.01904761904761905,2,105,2100,-4372161768.696613,4360568237.766457,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,28.8975,31.4,-4379331083.094643,-1129864090.3596172,0.10047619047619048,-4379331083.094644,-4040200881.5714808,0.01904761904761905,2,105,2100,-4385127848.559722,4373534317.629565,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.01125,31.4,-4392297162.957751,-1130149623.316256,0.10047619047619048,-4392297162.957751,-4052944831.792468,0.01904761904761905,2,105,2100,-4398093928.42283,4386500397.492673,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.125,31.4,-4405263242.820859,-1130435156.2728949,0.10047619047619048,-4405263242.82086,-4065688782.0134554,0.01904761904761905,2,105,2100,-4411060008.285938,4399466477.355782,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.23875,31.4,-4418229322.683968,-1130720689.2295337,0.10047619047619048,-4418229322.683967,-4078432732.2344427,0.01904761904761905,2,105,2100,-4424026088.149045,4412432557.218888,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.3525,31.4,-4431195402.547075,-1131006222.1861722,0.10047619047619048,-4431195402.547075,-4091176682.4554305,0.01904761904761905,2,105,2100,-4436992168.012154,4425398637.081997,0.18608058608058609
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780,Road,29.46625,31.4,-4444161482.410184,-1131318836.6494703,0.10047619047619048,-4444161482.410183,-4103920632.6764183,0.01904761904761905,2,105,2100,-4449958247.875261,4438364716.945105,0.18608058608058609
