development,n_municipalities,base_total_accessibility,dev_total_accessibility,delta_total_accessibility,delta_pct_total_accessibility,base_mean_accessibility,dev_mean_accessibility,delta_mean_accessibility,n_improved,n_worsened,n_unchanged,base_valid_total
101023,162,1165501.9255386724,1044922.3166359627,120579.60890270968,10.345723697280047,7194.456330485632,6450.137757012116,744.3185734735162,113,2,47,162
101017,162,1165501.9255386724,1049362.4271173896,116139.49842128274,9.964762466403075,7194.456330485632,6477.54584640364,716.9104840819919,113,2,47,162
101030,162,1165501.9255386724,1063927.25113282,101574.67440585233,8.715101380798362,7194.456330485632,6567.452167486544,627.0041629990883,112,3,47,162
101001,162,1165501.9255386724,1065960.3699170845,99541.5556215879,8.540659902863887,7194.456330485632,6580.002283438793,614.4540470468392,112,3,47,162
101012,162,1165501.9255386724,1068608.8416927345,96893.08384593786,8.313421172698257,7194.456330485632,6596.3508746465095,598.1054558391224,113,2,47,162
101000,162,1165501.9255386724,1069494.4542817874,96007.47125688498,8.237435662108597,7194.456330485632,6601.817619023379,592.638711462253,113,2,47,162
101027,162,1165501.9255386724,1086201.3955935354,79300.52994513698,6.803981032333843,7194.456330485632,6704.946886379848,489.5094441057836,115,0,47,162
101029,162,1165501.9255386724,1086738.1598525308,78763.76568614156,6.757926688944635,7194.456330485632,6708.260246003277,486.1960844823552,113,2,47,162
101020,162,1165501.9255386724,1087083.1009500478,78418.82458862453,6.728330762077538,7194.456330485632,6710.389512037333,484.0668184482993,113,2,47,162
101014,162,1165501.9255386724,1087156.715030316,78345.21050835634,6.722014678109323,7194.456330485632,6710.843919940223,483.61241054540915,113,2,47,162
101011,162,1165501.9255386724,1087619.9141668384,77882.01137183397,6.682272218112245,7194.456330485632,6713.703173869373,480.7531566162588,114,1,47,162
101006,162,1165501.9255386724,1087929.4330265808,77572.49251209153,6.655715517264292,7194.456330485632,6715.6137841146965,478.84254637093545,114,1,47,162
101025,162,1165501.9255386724,1088214.0988335116,77287.82670516078,6.631291206957024,7194.456330485632,6717.370980453775,477.08535003185716,115,0,47,162
101018,162,1165501.9255386724,1088224.6714718947,77277.25406677765,6.630384075175303,7194.456330485632,6717.436243653671,477.0200868319607,115,0,47,162
101009,162,1165501.9255386724,1088298.2670802833,77203.65845838911,6.624069576093328,7194.456330485632,6717.890537532613,476.5657929530189,115,0,47,162
101005,162,1165501.9255386724,1088373.2733943881,77128.65214428422,6.617634038539821,7194.456330485632,6718.353539471532,476.10279101410015,115,0,47,162
101004,162,1165501.9255386724,1088436.21299814,77065.71254053246,6.612233824059466,7194.456330485632,6718.742055544073,475.71427494155887,115,0,47,162
101032,162,1165501.9255386724,1088466.2834694115,77035.64206926082,6.6096537793068375,7194.456330485632,6718.927675737108,475.5286547485239,115,0,47,162
101019,162,1165501.9255386724,1088500.6832625614,77001.24227611092,6.606702278979286,7194.456330485632,6719.140020139268,475.31631034636393,115,0,47,162
