development,delta_sum,delta_min,delta_max,negative_cell_share,positive_cell_share
334,220107850.27042452,-10592.746034817264,32040.644468076327,0.0041057099557428615,0.38688467181490493
201,143156782.44788495,-1060.4282720703668,21964.365358022715,0.3226121975812538,0.06837818418939398
249,139073441.9159386,-1157.078478570038,20591.229303171407,0.3233850371023348,0.06760534466831297
775,111036025.83553982,-827.6243273274958,22638.139712803557,0.3324538258575198,0.05853655591312801
895,102952885.62238507,-1361.3596356994276,21612.053789411075,0.3258303496495052,0.06516003212114259
750,102846558.16343474,-1327.1719970146733,16883.26774164181,0.32978511438628694,0.06120526738436087
103,101045066.37413557,-1327.2205114737444,20758.835868119,0.3234333395724024,0.06755704219824542
2,95573162.51982147,-1378.0208374163522,24195.565582766256,0.32850509892949653,0.06248528284115129
689,93015112.11881758,-1280.504571784215,17816.484037803522,0.33159645701382057,0.059393924756827254
469,91574980.32816221,-1337.5617876657125,25388.53614443986,0.33154211673499456,0.05944826503565326
789,68284692.40924406,-1871.7047491984267,18508.127315422982,0.3231918272220646,0.06779855454858323
662,54434043.415069245,-1540.1420435994805,11611.727989579089,0.32420014128472496,0.06679024048592284
