origin,accessibility
1,31783.815093747795
2,37875.95790484619
3,34878.854786729644
4,36732.166581699064
5,35127.84230469832
6,26185.038064233595
7,16967.234502190884
8,1656.7190817926921
9,1767.2280590958592
10,1826.6797951868148
23,1751.5567173036693
24,1837.6133390807483
25,2052.2259640900593
26,2030.9548571003302
27,1953.78337866169
28,1579.2395517442073
29,1589.5538394517025
32,1514.543822312033
34,1676.5886253654808
35,1674.6734419285744
36,1755.787431299417
37,1715.5260935557633
38,1237.5572770709748
39,1772.4670899334612
40,1288.9946906931516
41,7331.002131356834
101,1820.9333421656324
153,22721.062506258768
168,1701.3043946764453
169,9998.435850657512
171,1682.8671148968626
